GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,133            ,不详              ,133         ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,133       ,0      ,0     ,0       ,
0        ,451            ,239             ,451         ,239          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,451       ,0      ,0     ,0       ,
1        ,1021           ,126             ,1021        ,126          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1021      ,0      ,0     ,0       ,
2        ,1518           ,48              ,1518        ,48           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1518      ,0      ,0     ,0       ,
3        ,1443           ,-5              ,1443        ,-5           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1443      ,0      ,0     ,0       ,
4        ,1767           ,22              ,1767        ,22           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1767      ,0      ,0     ,0       ,
5        ,2511           ,42              ,2511        ,42           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2511      ,0      ,0     ,0       ,
6        ,2120           ,-16             ,2120        ,-16          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2120      ,0      ,0     ,0       ,
7        ,2468           ,16              ,2468        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2468      ,0      ,0     ,0       ,
8        ,2106           ,-15             ,2106        ,-15          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2106      ,0      ,0     ,0       ,
9        ,2975           ,41              ,2975        ,41           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2975      ,0      ,0     ,0       ,
10       ,3504           ,17              ,3504        ,17           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3504      ,0      ,0     ,0       ,
11       ,3868           ,10              ,3868        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3868      ,0      ,0     ,0       ,
12       ,4397           ,13              ,4397        ,13           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4397      ,0      ,0     ,0       ,
13       ,4762           ,8               ,4762        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4762      ,0      ,0     ,0       ,
14       ,5098           ,7               ,5098        ,7            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5098      ,0      ,0     ,0       ,
15       ,5337           ,4               ,5337        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5337      ,0      ,0     ,0       ,
