GrowthDay,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,TotalWater,Coolpad,Fogger,Flushing,
-2       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
-1       ,14             ,不详              ,14          ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,14        ,0      ,0     ,0       ,
0        ,940            ,6614            ,940         ,6614         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,940       ,0      ,0     ,0       ,
1        ,733            ,-23             ,733         ,-23          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,733       ,0      ,0     ,0       ,
2        ,1110           ,51              ,1110        ,51           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1110      ,0      ,0     ,0       ,
3        ,1634           ,47              ,1634        ,47           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1634      ,0      ,0     ,0       ,
4        ,1569           ,-4              ,1569        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1569      ,0      ,0     ,0       ,
5        ,1730           ,10              ,1730        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,1730      ,0      ,0     ,0       ,
6        ,2088           ,20              ,2088        ,20           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2088      ,0      ,0     ,0       ,
7        ,2588           ,23              ,2588        ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2588      ,0      ,0     ,0       ,
8        ,2243           ,-14             ,2243        ,-14          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2243      ,0      ,0     ,0       ,
9        ,3091           ,37              ,3091        ,37           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3091      ,0      ,0     ,0       ,
10       ,3548           ,14              ,3548        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3548      ,0      ,0     ,0       ,
11       ,3794           ,6               ,3794        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,3794      ,0      ,0     ,0       ,
12       ,4329           ,14              ,4329        ,14           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4329      ,0      ,0     ,0       ,
13       ,4774           ,10              ,4774        ,10           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,4774      ,0      ,0     ,0       ,
14       ,5027           ,5               ,5027        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5027      ,0      ,0     ,0       ,
15       ,5350           ,6               ,5350        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5350      ,0      ,0     ,0       ,
16       ,5796           ,8               ,5796        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5796      ,0      ,0     ,0       ,
17       ,6100           ,5               ,6100        ,5            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6100      ,0      ,0     ,0       ,
18       ,6383           ,4               ,6383        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6383      ,0      ,0     ,0       ,
19       ,6631           ,3               ,6631        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6631      ,0      ,0     ,0       ,
20       ,7171           ,8               ,7171        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7171      ,0      ,0     ,0       ,
21       ,7496           ,4               ,7496        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7496      ,0      ,0     ,0       ,
22       ,7958           ,6               ,7958        ,6            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7958      ,0      ,0     ,0       ,
23       ,7964           ,0               ,7964        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7964      ,0      ,0     ,0       ,
24       ,8244           ,3               ,8244        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8244      ,0      ,0     ,0       ,
25       ,8582           ,4               ,8582        ,4            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8582      ,0      ,0     ,0       ,
26       ,8477           ,-2              ,8477        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8477      ,0      ,0     ,0       ,
27       ,8455           ,不详              ,8455        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8455      ,0      ,0     ,0       ,
28       ,8726           ,3               ,8726        ,3            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8726      ,0      ,0     ,0       ,
29       ,8784           ,0               ,8784        ,0            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8784      ,0      ,0     ,0       ,
30       ,8750           ,不详              ,8750        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8750      ,0      ,0     ,0       ,
31       ,8648           ,-2              ,8648        ,-2           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,8648      ,0      ,0     ,0       ,
32       ,7850           ,-10             ,7850        ,-10          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,7850      ,0      ,0     ,0       ,
33       ,6701           ,-15             ,6701        ,-15          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,6701      ,0      ,0     ,0       ,
34       ,5371           ,-20             ,5371        ,-20          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5371      ,0      ,0     ,0       ,
35       ,5163           ,-4              ,5163        ,-4           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,5163      ,0      ,0     ,0       ,
36       ,2215           ,-58             ,2215        ,-58          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,2215      ,0      ,0     ,0       ,
37       ,0              ,-100            ,0           ,-100         ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
38       ,0              ,不详              ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0         ,0      ,0     ,0       ,
