Message,GrowthDay,Time,
报警器测试  ,28       ,11:00:00,
传感器4低温 ,28       ,19:21:05,
低温     ,28       ,19:26:10,
传感器4低温 ,28       ,19:30:21,
低温     ,28       ,19:30:26,
传感器4低温 ,28       ,19:31:23,
传感器5低温 ,28       ,19:35:23,
传感器5低温 ,28       ,20:10:22,
低温     ,28       ,20:11:00,
传感器5低温 ,28       ,20:15:26,
传感器5低温 ,28       ,20:20:27,
传感器5低温 ,28       ,20:25:25,
传感器5低温 ,28       ,20:35:21,
传感器5低温 ,28       ,21:05:26,
传感器5低温 ,28       ,21:25:23,
传感器5低温 ,28       ,21:30:20,
低温     ,28       ,21:30:25,
传感器5低温 ,28       ,21:35:16,
低温     ,28       ,21:36:01,
传感器5低温 ,28       ,21:40:17,
低温     ,28       ,21:40:27,
传感器5低温 ,28       ,21:41:23,
传感器5低温 ,28       ,21:45:08,
低温     ,28       ,21:45:27,
传感器5低温 ,28       ,21:50:18,
低温     ,28       ,21:50:28,
传感器5低温 ,28       ,21:51:18,
传感器5低温 ,28       ,21:55:12,
低温     ,28       ,21:56:03,
传感器5低温 ,28       ,22:00:24,
传感器5低温 ,28       ,22:05:14,
传感器5低温 ,28       ,22:15:19,
低温     ,28       ,22:16:01,
传感器5低温 ,28       ,22:20:24,
低温     ,28       ,22:21:00,
传感器5低温 ,28       ,22:25:10,
低温     ,28       ,22:25:21,
传感器5低温 ,28       ,22:30:21,
低温     ,28       ,22:30:28,
传感器5低温 ,28       ,22:35:15,
低温     ,28       ,22:35:17,
传感器1低温 ,28       ,22:35:28,
传感器5低温 ,28       ,22:40:18,
低温     ,28       ,22:41:02,
传感器5低温 ,28       ,22:45:20,
传感器5低温 ,28       ,22:50:19,
低温     ,28       ,22:50:22,
传感器1低温 ,28       ,22:51:02,
传感器5低温 ,28       ,22:55:07,
低温     ,28       ,22:55:17,
低温     ,28       ,22:56:07,
传感器1低温 ,28       ,22:56:07,
传感器5低温 ,28       ,22:56:07,
传感器1低温 ,28       ,23:00:13,
传感器5低温 ,28       ,23:00:13,
低温     ,28       ,23:00:21,
传感器1低温 ,28       ,23:02:14,
传感器5低温 ,28       ,23:02:14,
传感器1低温 ,28       ,23:05:12,
传感器5低温 ,28       ,23:05:12,
低温     ,28       ,23:05:14,
传感器1低温 ,28       ,23:10:05,
传感器5低温 ,28       ,23:10:14,
低温     ,28       ,23:10:19,
传感器5低温 ,28       ,23:15:07,
低温     ,28       ,23:15:22,
传感器5低温 ,28       ,23:20:13,
传感器1低温 ,28       ,23:20:15,
低温     ,28       ,23:20:17,
传感器5低温 ,28       ,23:25:06,
传感器1低温 ,28       ,23:25:18,
低温     ,28       ,23:25:23,
传感器5低温 ,28       ,23:30:19,
低温     ,28       ,23:30:23,
传感器5低温 ,28       ,23:35:14,
低温     ,28       ,23:35:21,
传感器5低温 ,28       ,23:40:22,
低温     ,28       ,23:40:25,
传感器5低温 ,28       ,23:45:20,
低温     ,28       ,23:45:25,
传感器5低温 ,28       ,23:50:26,
传感器5低温 ,28       ,23:55:19,
低温     ,28       ,23:55:27,
传感器5低温 ,28       ,00:00:11,
低温     ,28       ,00:00:15,
传感器5低温 ,29       ,00:50:19,
低温     ,29       ,00:50:25,
低温     ,29       ,00:55:24,
传感器1低温 ,29       ,00:55:25,
传感器5低温 ,29       ,00:55:26,
传感器5低温 ,29       ,01:00:21,
低温     ,29       ,01:00:27,
传感器5低温 ,29       ,01:05:21,
低温     ,29       ,01:05:25,
传感器1低温 ,29       ,01:05:27,
传感器5低温 ,29       ,01:20:20,
传感器4低温 ,29       ,01:20:25,
低温     ,29       ,01:21:00,
传感器4低温 ,29       ,01:25:13,
传感器5低温 ,29       ,01:25:18,
低温     ,29       ,01:25:18,
低温     ,29       ,01:30:20,
传感器5低温 ,29       ,01:30:20,
传感器4低温 ,29       ,01:31:00,
传感器3低温 ,29       ,01:31:05,
传感器5低温 ,29       ,01:35:17,
低温     ,29       ,01:35:21,
传感器5低温 ,29       ,01:40:16,
低温     ,29       ,01:40:26,
传感器5低温 ,29       ,01:45:06,
低温     ,29       ,01:45:24,
传感器5低温 ,29       ,01:50:08,
低温     ,29       ,01:50:19,
传感器5低温 ,29       ,01:54:27,
低温     ,29       ,01:55:17,
传感器5低温 ,29       ,02:00:14,
低温     ,29       ,02:00:25,
传感器5低温 ,29       ,02:05:17,
传感器5低温 ,29       ,02:10:14,
低温     ,29       ,02:11:00,
传感器5低温 ,29       ,02:14:28,
低温     ,29       ,02:15:21,
传感器1低温 ,29       ,02:15:22,
传感器5低温 ,29       ,02:20:08,
低温     ,29       ,02:21:00,
传感器5低温 ,29       ,02:25:17,
低温     ,29       ,02:25:28,
低温     ,29       ,02:30:26,
传感器1低温 ,29       ,02:40:21,
低温     ,29       ,02:40:23,
传感器5低温 ,29       ,02:45:17,
低温     ,29       ,02:45:19,
传感器1低温 ,29       ,02:45:28,
传感器5低温 ,29       ,02:50:16,
传感器1低温 ,29       ,02:50:16,
