GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
11        ,18:00       ,28.4       ,27.8          ,28.0          ,28.7          ,27.9      ,28.1      ,28.5      ,27.9      ,27.6      ,8.5        ,8.8        ,12.1       ,78               ,81.1             ,84               ,307      ,644     ,6    ,
11        ,19:00       ,28.4       ,27.5          ,28.1          ,28.5          ,27.8      ,28.0      ,28.4      ,28.2      ,27.9      ,2.2        ,7.0        ,9.1        ,80               ,83               ,85               ,255      ,0       ,6    ,
11        ,20:00       ,28.4       ,27.3          ,28.1          ,28.5          ,27.9      ,28.2      ,27.9      ,28.4      ,28.0      ,1.6        ,6.3        ,7.0        ,78               ,81.8             ,84               ,166      ,0       ,6    ,
11        ,21:00       ,28.4       ,27.6          ,28.1          ,28.3          ,27.8      ,27.7      ,28.7      ,28.4      ,27.7      ,-0.4       ,6.0        ,6.3        ,76               ,79.1             ,85               ,2        ,0       ,6    ,
11        ,22:00       ,28.4       ,27.3          ,28.6          ,28.7          ,27.7      ,28.3      ,28.9      ,29.0      ,28.9      ,5.3        ,5.3        ,6.0        ,75               ,76.9             ,81               ,0        ,0       ,6    ,
11        ,23:00       ,28.4       ,27.1          ,28.5          ,28.6          ,27.9      ,27.8      ,29.0      ,28.9      ,29.0      ,4.8        ,5.5        ,5.7        ,74               ,77               ,81               ,0        ,0       ,6    ,
11        ,00:00       ,28.4       ,27.2          ,28.2          ,28.5          ,28.0      ,27.8      ,28.4      ,28.4      ,28.6      ,5.3        ,5.6        ,5.7        ,74               ,77.5             ,79               ,1        ,0       ,6    ,
12        ,01:00       ,28.4       ,27.3          ,28.5          ,28.6          ,28.0      ,27.9      ,29.0      ,28.8      ,28.9      ,4.8        ,6.2        ,6.3        ,73               ,76.9             ,80               ,1        ,0       ,6    ,
12        ,02:00       ,28.3       ,27.1          ,28.4          ,28.5          ,27.9      ,27.7      ,28.7      ,28.7      ,29.0      ,5.1        ,6.3        ,6.4        ,73               ,75.9             ,78               ,0        ,0       ,6    ,
12        ,03:00       ,28.3       ,27.2          ,28.0          ,28.7          ,27.9      ,28.0      ,28.1      ,28.3      ,27.8      ,3.0        ,6.3        ,6.3        ,74               ,82.7             ,84               ,334      ,0       ,6    ,
12        ,04:00       ,28.3       ,27.3          ,28.5          ,28.6          ,27.7      ,28.9      ,29.4      ,28.8      ,27.6      ,2.8        ,6.1        ,6.3        ,80               ,83.9             ,87               ,209      ,0       ,6    ,
12        ,05:00       ,28.3       ,27.4          ,28.0          ,28.5          ,27.9      ,28.1      ,28.2      ,28.1      ,27.8      ,2.5        ,5.8        ,6.1        ,81               ,85.8             ,87               ,182      ,0       ,6    ,
12        ,06:00       ,28.3       ,27.5          ,27.9          ,28.4          ,27.9      ,27.9      ,28.1      ,27.8      ,27.7      ,5.8        ,6.0        ,6.0        ,79               ,82.1             ,86               ,243      ,738     ,6    ,
12        ,07:00       ,28.3       ,27.3          ,27.8          ,28.4          ,27.4      ,27.8      ,28.0      ,28.1      ,27.5      ,6.0        ,6.2        ,6.3        ,80               ,85               ,87               ,250      ,0       ,6    ,
12        ,08:00       ,28.3       ,27.3          ,27.9          ,28.5          ,27.5      ,28.0      ,28.4      ,28.1      ,27.6      ,6.1        ,6.4        ,6.4        ,83               ,86               ,88               ,231      ,0       ,6    ,
12        ,09:00       ,28.1       ,27.0          ,27.9          ,28.5          ,27.4      ,27.5      ,28.2      ,28.0      ,28.5      ,6.4        ,6.7        ,6.7        ,84               ,86               ,89               ,185      ,0       ,7    ,
12        ,10:00       ,28.0       ,27.0          ,27.9          ,28.2          ,27.7      ,27.8      ,28.3      ,28.1      ,27.6      ,6.7        ,7.9        ,7.9        ,85               ,88               ,89               ,201      ,0       ,7    ,
12        ,11:00       ,28.0       ,27.1          ,27.9          ,28.4          ,27.8      ,27.6      ,28.6      ,28.0      ,27.6      ,4.0        ,10.2       ,10.2       ,85               ,88.9             ,90               ,188      ,0       ,7    ,
12        ,12:00       ,28.0       ,27.3          ,27.9          ,28.3          ,27.8      ,27.4      ,28.7      ,27.8      ,27.8      ,10.2       ,10.5       ,11.0       ,85               ,89.9             ,90               ,202      ,559     ,7    ,
12        ,13:00       ,28.0       ,27.4          ,27.8          ,28.2          ,27.1      ,27.8      ,28.8      ,27.8      ,27.7      ,10.5       ,11.4       ,11.5       ,85               ,88.9             ,91               ,219      ,0       ,7    ,
12        ,14:00       ,28.0       ,27.6          ,28.1          ,28.3          ,27.3      ,28.2      ,29.3      ,28.2      ,27.7      ,11.4       ,11.9       ,12.0       ,86               ,88.9             ,92               ,202      ,0       ,7    ,
12        ,15:00       ,28.0       ,27.6          ,28.0          ,28.2          ,27.1      ,28.1      ,28.8      ,28.4      ,27.6      ,11.9       ,12.2       ,12.4       ,84               ,87.2             ,90               ,192      ,0       ,7    ,
12        ,16:00       ,28.0       ,27.5          ,28.0          ,28.5          ,27.3      ,27.4      ,28.7      ,28.5      ,27.8      ,11.8       ,11.8       ,12.3       ,84               ,88.9             ,91               ,188      ,0       ,7    ,
12        ,17:00       ,28.0       ,27.5          ,28.1          ,28.4          ,27.7      ,27.9      ,28.6      ,28.4      ,28.2      ,11.3       ,11.3       ,11.8       ,83               ,86.1             ,90               ,233      ,0       ,7    ,
12        ,18:00       ,28.0       ,27.5          ,27.9          ,28.3          ,27.6      ,27.4      ,28.7      ,28.0      ,27.8      ,5.4        ,10.3       ,11.3       ,84               ,89.9             ,90               ,324      ,727     ,7    ,
12        ,19:00       ,27.9       ,27.4          ,28.1          ,28.1          ,27.5      ,27.7      ,28.8      ,28.0      ,28.2      ,9.8        ,9.8        ,10.3       ,84               ,89.9             ,90               ,278      ,0       ,7    ,
12        ,20:00       ,27.9       ,27.1          ,28.0          ,28.2          ,27.7      ,27.6      ,28.7      ,28.3      ,27.7      ,8.1        ,8.9        ,9.8        ,85               ,88.9             ,90               ,195      ,0       ,7    ,
12        ,21:00       ,27.9       ,27.1          ,28.0          ,28.1          ,27.4      ,28.3      ,28.4      ,27.9      ,27.9      ,8.8        ,9.0        ,9.0        ,83               ,84.9             ,89               ,1        ,0       ,7    ,
12        ,22:00       ,27.9       ,27.1          ,28.0          ,28.1          ,27.2      ,28.4      ,28.5      ,28.0      ,27.9      ,9.0        ,9.3        ,9.3        ,82               ,83.9             ,87               ,0        ,0       ,7    ,
12        ,23:00       ,27.9       ,27.1          ,28.0          ,28.1          ,27.7      ,28.0      ,28.6      ,27.9      ,27.7      ,9.1        ,9.1        ,9.3        ,82               ,83.9             ,86               ,0        ,0       ,7    ,
12        ,00:00       ,27.9       ,27.0          ,28.0          ,28.1          ,27.6      ,28.3      ,28.6      ,27.8      ,27.7      ,8.8        ,8.8        ,9.1        ,82               ,84               ,85               ,0        ,0       ,7    ,
13        ,01:00       ,27.9       ,26.9          ,28.1          ,28.1          ,27.7      ,28.2      ,28.1      ,27.9      ,28.5      ,8.4        ,8.4        ,8.8        ,81               ,82.9             ,85               ,1        ,0       ,7    ,
13        ,02:00       ,27.9       ,26.8          ,27.5          ,28.4          ,27.4      ,27.4      ,27.7      ,27.9      ,27.1      ,7.3        ,8.1        ,8.4        ,79               ,82.4             ,85               ,0        ,0       ,7    ,
13        ,03:00       ,27.9       ,27.2          ,27.8          ,28.2          ,27.2      ,27.6      ,28.1      ,28.1      ,27.8      ,7.9        ,7.9        ,8.1        ,80               ,90.9             ,91               ,395      ,0       ,7    ,
13        ,04:00       ,27.8       ,27.0          ,27.9          ,27.9          ,27.6      ,28.0      ,28.6      ,27.7      ,27.5      ,7.6        ,7.6        ,7.9        ,85               ,90.9             ,91               ,214      ,0       ,7    ,
13        ,05:00       ,27.8       ,27.0          ,27.6          ,28.2          ,27.3      ,27.6      ,28.3      ,27.6      ,27.1      ,7.4        ,7.4        ,7.6        ,86               ,90.9             ,92               ,179      ,0       ,7    ,
13        ,06:00       ,27.8       ,26.8          ,28.3          ,28.4          ,27.4      ,28.4      ,29.2      ,28.3      ,28.2      ,7.3        ,7.3        ,7.4        ,83               ,87.9             ,92               ,274      ,802     ,10   ,
13        ,07:00       ,27.8       ,27.0          ,27.6          ,28.3          ,26.8      ,28.2      ,28.1      ,27.4      ,27.6      ,7.1        ,7.1        ,7.3        ,83               ,88.9             ,89               ,278      ,0       ,7    ,
