GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,44          ,46          ,69          ,
-1       ,38          ,46          ,48          ,
0        ,35          ,46          ,48          ,
1        ,41          ,52          ,53          ,
2        ,48          ,59          ,62          ,
3        ,50          ,57          ,65          ,
4        ,51          ,61          ,66          ,
5        ,57          ,66          ,68          ,
6        ,60          ,68          ,72          ,
7        ,62          ,67          ,75          ,
8        ,60          ,60          ,74          ,
9        ,58          ,62          ,72          ,
10       ,60          ,66          ,79          ,
11       ,64          ,76          ,85          ,
12       ,73          ,83          ,92          ,
13       ,79          ,83          ,93          ,
14       ,74          ,76          ,92          ,
15       ,69          ,74          ,91          ,
16       ,68          ,77          ,88          ,
17       ,70          ,78          ,91          ,
18       ,66          ,74          ,89          ,
19       ,62          ,77          ,90          ,
20       ,70          ,83          ,93          ,
21       ,78          ,82          ,96          ,
22       ,77          ,81          ,94          ,
23       ,72          ,77          ,94          ,
24       ,70          ,78          ,95          ,
25       ,72          ,80          ,93          ,
26       ,67          ,79          ,95          ,
27       ,70          ,77          ,93          ,
28       ,72          ,77          ,95          ,
29       ,70          ,73          ,96          ,
30       ,68          ,81          ,95          ,
31       ,78          ,90          ,95          ,
32       ,74          ,76          ,97          ,
33       ,67          ,80          ,92          ,
34       ,76          ,82          ,92          ,
35       ,49          ,80          ,91          ,
36       ,37          ,68          ,90          ,
37       ,68          ,100         ,100         ,
38       ,50          ,81          ,100         ,
39       ,59          ,59          ,100         ,
