GROWTH_DAY,HISTORY_TIME,TARGET_TEMP,HOUSE_TEMP_MIN,HOUSE_TEMP_AVG,HOUSE_TEMP_MAX,TEMP_1_AVG,TEMP_2_AVG,TEMP_3_AVG,TEMP_4_AVG,TEMP_5_AVG,OUTSIDE_MIN,OUTSIDE_AVG,OUTSIDE_MAX,HUMIDITY_IN_1_MIN,HUMIDITY_IN_1_AVG,HUMIDITY_IN_1_MAX,WATER_CON,FEED_CON,LEVEL,
11        ,18:00       ,28.6       ,28.0          ,28.6          ,28.8          ,28.3      ,28.0      ,28.8      ,28.8      ,29.0      ,8.9        ,8.9        ,11.9       ,67               ,72.9             ,74               ,300      ,657     ,6    ,
11        ,19:00       ,28.6       ,27.7          ,28.2          ,28.7          ,27.4      ,27.6      ,28.3      ,28.8      ,28.8      ,7.5        ,7.8        ,8.9        ,68               ,72.9             ,74               ,250      ,0       ,6    ,
11        ,20:00       ,28.6       ,27.5          ,27.6          ,28.7          ,27.4      ,27.5      ,27.9      ,27.6      ,27.7      ,6.8        ,6.8        ,8.4        ,67               ,71.9             ,75               ,180      ,0       ,6    ,
11        ,21:00       ,28.6       ,27.2          ,27.4          ,28.7          ,27.4      ,27.3      ,27.6      ,27.2      ,27.2      ,6.1        ,6.1        ,6.8        ,65               ,69.9             ,73               ,0        ,0       ,6    ,
11        ,22:00       ,28.6       ,27.3          ,27.5          ,28.6          ,27.5      ,27.5      ,27.9      ,27.4      ,27.2      ,5.6        ,6.5        ,6.5        ,64               ,67.9             ,70               ,0        ,0       ,6    ,
11        ,23:00       ,28.6       ,27.3          ,27.6          ,28.6          ,28.2      ,27.5      ,27.9      ,27.3      ,27.3      ,5.9        ,6.1        ,6.5        ,64               ,68.2             ,69               ,0        ,0       ,6    ,
11        ,00:00       ,28.4       ,27.2          ,27.3          ,28.5          ,27.3      ,27.2      ,27.5      ,27.2      ,27.2      ,5.9        ,6.1        ,6.1        ,63               ,68.9             ,69               ,0        ,0       ,6    ,
12        ,01:00       ,28.4       ,27.2          ,27.3          ,28.5          ,27.9      ,27.0      ,27.5      ,27.1      ,27.1      ,6.1        ,6.3        ,6.3        ,64               ,67.9             ,69               ,0        ,0       ,6    ,
12        ,02:00       ,28.3       ,27.2          ,27.3          ,28.4          ,27.9      ,27.2      ,27.4      ,27.1      ,27.0      ,6.3        ,6.3        ,6.3        ,63               ,67.9             ,68               ,0        ,0       ,6    ,
12        ,03:00       ,28.3       ,27.2          ,27.8          ,28.9          ,28.0      ,27.4      ,28.0      ,27.7      ,27.7      ,6.1        ,6.1        ,6.3        ,66               ,74.9             ,75               ,390      ,0       ,6    ,
12        ,04:00       ,28.3       ,27.3          ,27.6          ,28.4          ,27.1      ,27.4      ,28.3      ,27.8      ,27.4      ,5.9        ,5.9        ,6.1        ,69               ,74.9             ,76               ,200      ,0       ,6    ,
12        ,05:00       ,28.3       ,27.3          ,27.5          ,28.4          ,27.7      ,27.4      ,27.9      ,27.3      ,27.3      ,5.7        ,5.8        ,5.9        ,69               ,73.7             ,76               ,170      ,0       ,6    ,
12        ,06:00       ,28.3       ,27.1          ,27.3          ,28.4          ,27.2      ,27.4      ,27.5      ,27.1      ,27.2      ,5.8        ,5.9        ,5.9        ,68               ,72.9             ,75               ,260      ,770     ,6    ,
12        ,07:00       ,28.3       ,27.1          ,27.5          ,28.4          ,27.3      ,27.3      ,27.6      ,27.8      ,27.6      ,5.9        ,6.0        ,6.0        ,69               ,74.9             ,75               ,270      ,0       ,6    ,
12        ,08:00       ,28.3       ,27.5          ,27.9          ,28.3          ,28.0      ,27.2      ,27.8      ,28.0      ,28.4      ,6.0        ,6.1        ,6.1        ,70               ,75.9             ,77               ,230      ,0       ,6    ,
12        ,09:00       ,28.1       ,26.9          ,27.9          ,28.3          ,27.5      ,28.1      ,28.0      ,27.7      ,28.2      ,6.1        ,6.5        ,6.5        ,71               ,74.9             ,78               ,210      ,0       ,7    ,
12        ,10:00       ,28.0       ,27.1          ,27.9          ,28.1          ,27.3      ,27.7      ,28.3      ,27.8      ,28.1      ,6.5        ,7.8        ,7.8        ,71               ,76.9             ,78               ,190      ,0       ,7    ,
12        ,11:00       ,28.0       ,27.2          ,28.0          ,28.3          ,27.3      ,28.2      ,28.8      ,27.5      ,27.9      ,7.8        ,10.4       ,10.4       ,73               ,74.9             ,78               ,200      ,0       ,7    ,
12        ,12:00       ,28.0       ,26.8          ,27.3          ,28.2          ,27.4      ,27.2      ,28.2      ,27.5      ,26.4      ,10.4       ,10.6       ,11.0       ,73               ,75.9             ,79               ,200      ,570     ,7    ,
12        ,13:00       ,28.0       ,24.0          ,27.9          ,28.4          ,27.3      ,27.8      ,29.1      ,27.6      ,27.8      ,10.6       ,11.6       ,11.9       ,73               ,78.7             ,79               ,250      ,0       ,7    ,
12        ,14:00       ,28.0       ,27.5          ,27.6          ,28.3          ,27.2      ,27.5      ,28.5      ,27.6      ,27.4      ,11.6       ,12.2       ,12.2       ,72               ,76.9             ,80               ,190      ,0       ,7    ,
12        ,15:00       ,28.0       ,27.5          ,27.8          ,28.3          ,27.2      ,27.6      ,28.7      ,28.2      ,27.5      ,12.2       ,12.2       ,12.7       ,73               ,75.9             ,79               ,210      ,0       ,7    ,
12        ,16:00       ,28.0       ,27.5          ,27.9          ,28.3          ,27.1      ,27.9      ,28.9      ,28.1      ,27.7      ,11.5       ,11.5       ,12.3       ,72               ,74.9             ,78               ,190      ,0       ,7    ,
12        ,17:00       ,28.0       ,27.5          ,27.8          ,28.2          ,27.3      ,27.7      ,28.9      ,27.5      ,27.4      ,11.1       ,11.1       ,11.6       ,72               ,75.5             ,77               ,250      ,0       ,7    ,
12        ,18:00       ,28.0       ,27.3          ,27.8          ,28.3          ,27.3      ,27.4      ,28.7      ,27.9      ,27.6      ,10.2       ,10.2       ,11.1       ,72               ,76.2             ,78               ,330      ,720     ,7    ,
12        ,19:00       ,27.9       ,27.3          ,27.4          ,28.0          ,27.0      ,27.1      ,28.3      ,27.4      ,27.1      ,9.7        ,9.7        ,10.2       ,73               ,76.4             ,78               ,300      ,0       ,7    ,
