GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,13.4        ,31.8        ,32.5        ,
-1       ,29.5        ,32.5        ,33.6        ,
0        ,31.0        ,33.5        ,35.9        ,
1        ,32.6        ,32.9        ,34.6        ,
2        ,31.9        ,33.0        ,34.1        ,
3        ,31.1        ,31.3        ,33.3        ,
4        ,30.5        ,31.4        ,32.6        ,
5        ,29.6        ,30.1        ,31.8        ,
6        ,28.9        ,29.3        ,30.9        ,
7        ,28.5        ,29.0        ,30.6        ,
8        ,28.2        ,28.8        ,30.1        ,
9        ,27.5        ,28.3        ,30.1        ,
10       ,27.2        ,27.9        ,29.4        ,
11       ,27.0        ,28.2        ,29.2        ,
12       ,26.7        ,27.2        ,28.6        ,
13       ,26.0        ,27.6        ,28.5        ,
14       ,25.5        ,25.8        ,28.1        ,
15       ,25.0        ,26.3        ,27.5        ,
16       ,24.8        ,25.5        ,26.9        ,
17       ,24.5        ,25.6        ,26.8        ,
18       ,24.1        ,25.5        ,26.6        ,
19       ,23.9        ,25.1        ,27.0        ,
20       ,23.6        ,25.1        ,25.9        ,
21       ,23.4        ,24.7        ,25.6        ,
22       ,23.1        ,24.2        ,25.7        ,
23       ,22.5        ,22.6        ,26.1        ,
24       ,22.1        ,22.5        ,25.3        ,
25       ,21.7        ,22.3        ,24.7        ,
26       ,21.8        ,22.1        ,25.0        ,
27       ,21.3        ,21.8        ,24.2        ,
28       ,21.1        ,21.6        ,24.2        ,
29       ,20.9        ,21.6        ,24.0        ,
30       ,20.7        ,22.1        ,24.5        ,
31       ,20.9        ,22.6        ,23.5        ,
32       ,20.4        ,22.0        ,24.1        ,
33       ,19.5        ,21.1        ,23.5        ,
34       ,19.4        ,21.8        ,22.4        ,
35       ,10.4        ,11.3        ,21.9        ,
36       ,7.8         ,8.1         ,18.9        ,
37       ,2.0         ,6.0         ,11.7        ,
38       ,0.4         ,3.9         ,14.5        ,
39       ,0.5         ,16.3        ,16.9        ,
