GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,35          ,43          ,49          ,
-1       ,36          ,43          ,76          ,
0        ,32          ,42          ,44          ,
1        ,37          ,48          ,49          ,
2        ,46          ,56          ,58          ,
3        ,49          ,56          ,61          ,
4        ,48          ,54          ,60          ,
5        ,50          ,58          ,61          ,
6        ,54          ,62          ,64          ,
7        ,56          ,60          ,67          ,
8        ,53          ,54          ,67          ,
9        ,53          ,56          ,65          ,
10       ,53          ,60          ,69          ,
11       ,56          ,66          ,75          ,
12       ,63          ,71          ,79          ,
13       ,66          ,69          ,79          ,
14       ,61          ,64          ,76          ,
15       ,58          ,61          ,75          ,
16       ,56          ,62          ,74          ,
17       ,57          ,62          ,75          ,
18       ,55          ,58          ,74          ,
19       ,51          ,61          ,74          ,
20       ,59          ,70          ,78          ,
21       ,66          ,67          ,79          ,
22       ,65          ,68          ,78          ,
23       ,61          ,67          ,79          ,
24       ,59          ,64          ,79          ,
25       ,60          ,66          ,77          ,
26       ,55          ,68          ,79          ,
27       ,61          ,67          ,78          ,
28       ,62          ,69          ,79          ,
29       ,61          ,64          ,81          ,
30       ,56          ,70          ,79          ,
31       ,66          ,76          ,80          ,
32       ,63          ,66          ,81          ,
33       ,55          ,69          ,77          ,
34       ,66          ,70          ,80          ,
35       ,51          ,64          ,78          ,
36       ,41          ,63          ,75          ,
37       ,45          ,65          ,79          ,
38       ,36          ,64          ,78          ,
39       ,50          ,51          ,83          ,
