Message,GrowthDay,Time,
系统锁定   ,20       ,07:00:09,
报警测试   ,20       ,11:30:00,
报警测试   ,21       ,11:30:00,
管理员登陆  ,22       ,02:30:04,
系统锁定   ,22       ,02:35:12,
报警测试   ,22       ,11:30:00,
报警测试   ,23       ,11:30:00,
报警测试   ,24       ,11:30:00,
报警测试   ,25       ,11:30:00,
管理员登陆  ,25       ,15:47:21,
重置报警   ,25       ,15:47:27,
重置报警   ,25       ,15:49:04,
系统锁定   ,25       ,15:54:05,
管理员登陆  ,26       ,07:06:21,
系统锁定   ,26       ,07:11:28,
备用设置提醒 ,26       ,09:21:18,
报警测试   ,26       ,11:30:00,
管理员登陆  ,27       ,02:10:04,
系统锁定   ,27       ,02:15:28,
报警测试   ,27       ,11:30:00,
管理员登陆  ,27       ,13:34:24,
更改开关   ,27       ,13:34:26,
系统锁定   ,27       ,13:39:26,
更改开关   ,27       ,17:31:05,
系统锁定   ,27       ,17:36:07,
管理员登陆  ,28       ,10:21:08,
更改开关   ,28       ,10:21:10,
系统锁定   ,28       ,10:26:10,
报警测试   ,28       ,11:30:00,
更改开关   ,28       ,19:21:22,
系统锁定   ,28       ,19:28:26,
管理员登陆  ,29       ,09:14:02,
更改开关   ,29       ,09:14:04,
系统锁定   ,29       ,09:19:04,
报警测试   ,29       ,11:30:00,
报警测试   ,30       ,11:30:00,
更改开关   ,30       ,15:11:11,
系统锁定   ,30       ,15:16:13,
重置报警   ,30       ,23:49:10,
重置报警   ,31       ,04:04:11,
重置报警   ,31       ,06:34:11,
管理员登陆  ,31       ,08:01:13,
系统锁定   ,31       ,08:06:19,
管理员登陆  ,31       ,08:15:09,
系统锁定   ,31       ,08:20:09,
管理员登陆  ,31       ,08:28:08,
系统锁定   ,31       ,08:35:28,
管理员登陆  ,31       ,09:08:15,
系统锁定   ,31       ,09:13:24,
报警测试   ,31       ,11:30:00,
系统锁定   ,31       ,18:19:29,
备用设置提醒 ,32       ,09:00:25,
报警测试   ,32       ,11:30:00,
管理员登陆  ,32       ,11:47:26,
更改开关   ,32       ,11:47:28,
系统锁定   ,32       ,11:52:28,
管理员登陆  ,32       ,12:02:03,
系统锁定   ,32       ,12:07:17,
更改开关   ,32       ,19:56:23,
系统锁定   ,32       ,20:01:23,
报警测试   ,33       ,11:30:00,
管理员登陆  ,33       ,11:53:18,
更改开关   ,33       ,11:53:20,
系统锁定   ,33       ,11:58:20,
系统锁定   ,33       ,12:35:04,
更改开关   ,33       ,21:53:03,
系统锁定   ,33       ,21:58:03,
管理员登陆  ,34       ,02:06:26,
系统锁定   ,34       ,02:12:06,
管理员登陆  ,34       ,10:35:15,
系统锁定   ,34       ,10:40:25,
管理员登陆  ,34       ,10:44:08,
更改开关   ,34       ,10:44:10,
系统锁定   ,34       ,10:49:10,
报警测试   ,34       ,11:30:00,
报警测试   ,35       ,11:30:00,
报警测试   ,36       ,11:30:00,
备用设置提醒 ,36       ,13:37:27,
报警测试   ,37       ,11:30:00,
系统锁定   ,37       ,19:41:19,
重置报警   ,37       ,20:34:02,
重置报警   ,37       ,21:03:20,
重置报警   ,37       ,21:35:28,
管理员登陆  ,38       ,02:57:13,
更改开关   ,38       ,02:57:25,
更改开关   ,38       ,02:58:06,
更改开关   ,38       ,02:58:11,
更改开关   ,38       ,02:58:20,
系统锁定   ,38       ,03:03:20,
空鸡舍模式  ,38       ,03:17:23,
重置报警   ,38       ,03:17:23,
报警测试   ,38       ,11:30:00,
报警测试   ,39       ,11:30:00,
报警测试   ,40       ,11:30:00,
报警测试   ,41       ,11:30:00,
报警测试   ,42       ,11:30:00,
报警测试   ,43       ,11:30:00,
报警测试   ,44       ,11:30:00,
报警测试   ,45       ,11:30:00,
报警测试   ,46       ,11:30:00,
报警测试   ,47       ,11:30:00,
报警测试   ,48       ,11:30:00,
报警测试   ,49       ,11:30:00,
报警测试   ,50       ,11:30:00,
报警测试   ,51       ,11:30:00,
报警测试   ,52       ,11:30:00,
