GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,14.1        ,26.2        ,29.3        ,
-1       ,24.9        ,31.0        ,32.3        ,
0        ,27.8        ,34.0        ,34.9        ,
1        ,33.0        ,33.2        ,34.6        ,
2        ,31.9        ,32.3        ,34.0        ,
3        ,31.5        ,31.5        ,33.1        ,
4        ,30.9        ,31.3        ,32.5        ,
5        ,30.2        ,30.5        ,31.7        ,
6        ,29.2        ,29.9        ,31.1        ,
7        ,29.1        ,29.8        ,30.3        ,
8        ,28.6        ,29.0        ,30.1        ,
9        ,28.4        ,29.2        ,29.9        ,
10       ,28.0        ,28.8        ,29.6        ,
11       ,27.6        ,28.5        ,29.1        ,
12       ,27.0        ,27.5        ,28.7        ,
13       ,26.2        ,27.5        ,28.5        ,
14       ,25.7        ,26.5        ,27.9        ,
15       ,25.1        ,25.8        ,27.4        ,
16       ,25.0        ,25.4        ,27.1        ,
17       ,24.6        ,25.3        ,27.1        ,
18       ,24.3        ,25.2        ,27.4        ,
19       ,24.0        ,24.3        ,26.7        ,
20       ,23.7        ,25.1        ,26.4        ,
21       ,23.5        ,25.2        ,26.1        ,
22       ,23.2        ,24.3        ,26.0        ,
23       ,22.9        ,23.7        ,26.0        ,
24       ,22.6        ,23.3        ,25.2        ,
25       ,21.6        ,23.7        ,25.7        ,
26       ,21.9        ,23.8        ,25.1        ,
27       ,21.7        ,23.5        ,24.6        ,
28       ,21.2        ,23.0        ,24.6        ,
29       ,21.2        ,23.3        ,25.0        ,
30       ,21.7        ,23.3        ,24.2        ,
31       ,20.7        ,22.4        ,24.5        ,
32       ,20.1        ,21.6        ,24.2        ,
33       ,20.0        ,21.9        ,23.0        ,
34       ,19.4        ,20.3        ,24.1        ,
35       ,19.0        ,19.6        ,25.4        ,
36       ,18.5        ,19.2        ,21.9        ,
37       ,3.9         ,5.0         ,20.9        ,
38       ,2.0         ,13.6        ,14.0        ,
