GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
0        ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
1        ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,862        ,不详         ,862     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,605        ,-30        ,605     ,-30           ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,697        ,15         ,697     ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,871        ,24         ,871     ,24            ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,238        ,-73        ,238     ,-73           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,926        ,288        ,926     ,288           ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1092       ,17         ,1092    ,17            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1660       ,52         ,1660    ,52            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1486       ,-11        ,1486    ,-11           ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1908       ,28         ,1908    ,28            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,2027       ,6          ,2027    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1926       ,-5         ,1926    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2073       ,7          ,2073    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2532       ,22         ,2532    ,22            ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,2357       ,-7         ,2357    ,-7            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2523       ,7          ,2523    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2651       ,5          ,2651    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,2871       ,8          ,2871    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,2954       ,2          ,2954    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,3128       ,5          ,3128    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,3146       ,0          ,3146    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3376       ,7          ,3376    ,7             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3229       ,-5         ,3229    ,-5            ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3550       ,9          ,3550    ,9             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3220       ,-10        ,3220    ,-10           ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3247       ,0          ,3247    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3330       ,2          ,3330    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3146       ,-6         ,3146    ,-6            ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,2578       ,-19        ,2578    ,-19           ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,1669       ,-36        ,1669    ,-36           ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,1248       ,-26        ,1248    ,-26           ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,1119       ,-11        ,1119    ,-11           ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,1055       ,-6         ,1055    ,-6            ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,1302       ,23         ,1302    ,23            ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,1504       ,15         ,1504    ,15            ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,422        ,-72        ,422     ,-72           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,1293       ,206        ,1293    ,206           ,0       ,0             ,0       ,0             ,0       ,0             ,
39       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
