GrowthDay,PerBird,FeederTotal,ChangeTotal,Feeder_1,ChangeFeeder_1,Feeder_2,ChangeFeeder_2,Feeder_3,ChangeFeeder_3,Feeder_4,ChangeFeeder_4,
0        ,0.000  ,0          ,不详         ,0       ,不详            ,0       ,不详            ,0       ,不详            ,0       ,不详            ,
1        ,0.000  ,0          ,0          ,0       ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
2        ,0.000  ,752        ,不详         ,752     ,不详            ,0       ,0             ,0       ,0             ,0       ,0             ,
3        ,0.000  ,679        ,-10        ,679     ,-10           ,0       ,0             ,0       ,0             ,0       ,0             ,
4        ,0.000  ,725        ,6          ,725     ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
5        ,0.000  ,605        ,-17        ,605     ,-17           ,0       ,0             ,0       ,0             ,0       ,0             ,
6        ,0.000  ,449        ,-26        ,449     ,-26           ,0       ,0             ,0       ,0             ,0       ,0             ,
7        ,0.000  ,798        ,77         ,798     ,77            ,0       ,0             ,0       ,0             ,0       ,0             ,
8        ,0.000  ,1046       ,31         ,1046    ,31            ,0       ,0             ,0       ,0             ,0       ,0             ,
9        ,0.000  ,1523       ,45         ,1523    ,45            ,0       ,0             ,0       ,0             ,0       ,0             ,
10       ,0.000  ,1541       ,1          ,1541    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
11       ,0.000  ,1890       ,22         ,1890    ,22            ,0       ,0             ,0       ,0             ,0       ,0             ,
12       ,0.000  ,1835       ,-3         ,1835    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
13       ,0.000  ,1890       ,3          ,1890    ,3             ,0       ,0             ,0       ,0             ,0       ,0             ,
14       ,0.000  ,2156       ,14         ,2156    ,14            ,0       ,0             ,0       ,0             ,0       ,0             ,
15       ,0.000  ,2330       ,8          ,2330    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
16       ,0.000  ,4091       ,75         ,4091    ,75            ,0       ,0             ,0       ,0             ,0       ,0             ,
17       ,0.000  ,2624       ,-36        ,2624    ,-36           ,0       ,0             ,0       ,0             ,0       ,0             ,
18       ,0.000  ,2596       ,-2         ,2596    ,-2            ,0       ,0             ,0       ,0             ,0       ,0             ,
19       ,0.000  ,2770       ,6          ,2770    ,6             ,0       ,0             ,0       ,0             ,0       ,0             ,
20       ,0.000  ,2835       ,2          ,2835    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
21       ,0.000  ,2844       ,0          ,2844    ,0             ,0       ,0             ,0       ,0             ,0       ,0             ,
22       ,0.000  ,2963       ,4          ,2963    ,4             ,0       ,0             ,0       ,0             ,0       ,0             ,
23       ,0.000  ,3211       ,8          ,3211    ,8             ,0       ,0             ,0       ,0             ,0       ,0             ,
24       ,0.000  ,3376       ,5          ,3376    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
25       ,0.000  ,3449       ,2          ,3449    ,2             ,0       ,0             ,0       ,0             ,0       ,0             ,
26       ,0.000  ,3192       ,-8         ,3192    ,-8            ,0       ,0             ,0       ,0             ,0       ,0             ,
27       ,0.000  ,3100       ,-3         ,3100    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
28       ,0.000  ,3137       ,1          ,3137    ,1             ,0       ,0             ,0       ,0             ,0       ,0             ,
29       ,0.000  ,3311       ,5          ,3311    ,5             ,0       ,0             ,0       ,0             ,0       ,0             ,
30       ,0.000  ,3183       ,-4         ,3183    ,-4            ,0       ,0             ,0       ,0             ,0       ,0             ,
31       ,0.000  ,2513       ,-22        ,2513    ,-22           ,0       ,0             ,0       ,0             ,0       ,0             ,
32       ,0.000  ,2101       ,-17        ,2101    ,-17           ,0       ,0             ,0       ,0             ,0       ,0             ,
33       ,0.000  ,2055       ,-3         ,2055    ,-3            ,0       ,0             ,0       ,0             ,0       ,0             ,
34       ,0.000  ,1376       ,-34        ,1376    ,-34           ,0       ,0             ,0       ,0             ,0       ,0             ,
35       ,0.000  ,2055       ,49         ,2055    ,49            ,0       ,0             ,0       ,0             ,0       ,0             ,
36       ,0.000  ,1587       ,-23        ,1587    ,-23           ,0       ,0             ,0       ,0             ,0       ,0             ,
37       ,0.000  ,449        ,-72        ,449     ,-72           ,0       ,0             ,0       ,0             ,0       ,0             ,
38       ,0.000  ,789        ,75         ,789     ,75            ,0       ,0             ,0       ,0             ,0       ,0             ,
39       ,0.000  ,0          ,-100       ,0       ,-100          ,0       ,0             ,0       ,0             ,0       ,0             ,
