GrowthDay,MinimumValue,AverageValue,MaximumValue,
0        ,30.9        ,34.9        ,35.6        ,
1        ,32.6        ,32.6        ,35.1        ,
2        ,31.8        ,33.4        ,34.3        ,
3        ,30.9        ,32.7        ,33.6        ,
4        ,30.3        ,31.5        ,32.8        ,
5        ,29.7        ,30.2        ,31.9        ,
6        ,29.2        ,29.2        ,31.1        ,
7        ,28.7        ,29.1        ,30.5        ,
8        ,28.1        ,28.9        ,30.1        ,
9        ,27.6        ,27.7        ,30.0        ,
10       ,27.3        ,27.7        ,29.7        ,
11       ,26.9        ,27.9        ,29.2        ,
12       ,26.6        ,27.6        ,28.8        ,
13       ,25.8        ,26.4        ,28.2        ,
14       ,25.8        ,26.8        ,28.1        ,
15       ,25.2        ,27.2        ,28.0        ,
16       ,24.9        ,26.6        ,27.9        ,
17       ,24.7        ,25.2        ,27.5        ,
18       ,24.3        ,25.0        ,27.2        ,
19       ,24.3        ,24.3        ,26.3        ,
20       ,23.6        ,24.9        ,26.6        ,
21       ,23.1        ,23.9        ,26.1        ,
22       ,23.1        ,24.6        ,25.7        ,
23       ,23.2        ,23.3        ,25.9        ,
24       ,22.8        ,23.7        ,25.8        ,
25       ,22.3        ,22.9        ,25.1        ,
26       ,21.6        ,22.8        ,25.3        ,
27       ,21.4        ,22.9        ,24.7        ,
28       ,21.9        ,22.7        ,24.8        ,
29       ,22.0        ,23.3        ,24.7        ,
30       ,21.7        ,23.1        ,24.6        ,
31       ,21.4        ,22.1        ,24.7        ,
32       ,21.3        ,22.9        ,24.7        ,
33       ,21.9        ,23.7        ,24.8        ,
34       ,22.0        ,23.7        ,25.9        ,
35       ,22.0        ,22.5        ,26.4        ,
36       ,21.6        ,23.5        ,25.9        ,
37       ,16.7        ,16.7        ,27.1        ,
38       ,5.9         ,5.9         ,23.6        ,
39       ,3.0         ,3.4         ,5.9         ,
