GrowthDay,PerBird,TotalDrinkDaily,TotalDrinkChange,Water_1Daily,Water_1Change,Water_2Daily,Water_2Change,Water_3Daily,Water_3Change,Water_4Daily,Water_4Change,Water_5Daily,Water_5Change,Water_6Daily,Water_6Change,Water_7Daily,Water_7Change,Water_8Daily,Water_8Change,Water_9Daily,Water_9Change,Water_10Daily,Water_10Change,Water_11Daily,Water_11Change,Water_12Daily,Water_12Change,Water_13Daily,Water_13Change,Water_14Daily,Water_14Change,Water_15Daily,Water_15Change,Water_16Daily,Water_16Change,Water_17Daily,Water_17Change,Water_18Daily,Water_18Change,Water_19Daily,Water_19Change,Water_20Daily,Water_20Change,TotalWater,Coolpad,Fogger,Flushing,
0        ,0.00   ,1430           ,不详              ,1430        ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1430      ,0      ,0     ,0       ,
1        ,0.00   ,2440           ,70              ,2440        ,70           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,2440      ,0      ,0     ,0       ,
2        ,0.00   ,920            ,-63             ,920         ,-63          ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,920       ,0      ,0     ,0       ,
3        ,0.00   ,1240           ,34              ,1240        ,34           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1240      ,0      ,0     ,0       ,
4        ,0.00   ,1350           ,8               ,1350        ,8            ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1350      ,0      ,0     ,0       ,
5        ,0.00   ,1570           ,16              ,1570        ,16           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1570      ,0      ,0     ,0       ,
6        ,0.00   ,1810           ,15              ,1810        ,15           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1810      ,0      ,0     ,0       ,
7        ,0.00   ,2010           ,11              ,2010        ,11           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,2010      ,0      ,0     ,0       ,
8        ,0.00   ,1950           ,-3              ,1950        ,-3           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,1950      ,0      ,0     ,0       ,
9        ,0.00   ,2400           ,23              ,2400        ,23           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0           ,不详           ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,0            ,不详            ,2400      ,0      ,0     ,0       ,
