GrowthDay,MinimumValue,AverageValue,MaximumValue,
-2       ,29          ,36          ,72          ,
-1       ,34          ,38          ,86          ,
0        ,34          ,55          ,57          ,
1        ,54          ,61          ,64          ,
2        ,56          ,68          ,70          ,
3        ,60          ,73          ,74          ,
4        ,67          ,74          ,78          ,
5        ,71          ,80          ,81          ,
6        ,77          ,85          ,85          ,
7        ,77          ,82          ,85          ,
8        ,72          ,73          ,85          ,
9        ,70          ,75          ,82          ,
10       ,68          ,68          ,83          ,
11       ,68          ,73          ,81          ,
12       ,68          ,70          ,81          ,
13       ,68          ,70          ,81          ,
14       ,67          ,69          ,82          ,
15       ,67          ,73          ,83          ,
16       ,67          ,71          ,81          ,
17       ,71          ,80          ,86          ,
18       ,70          ,72          ,86          ,
19       ,66          ,75          ,83          ,
20       ,68          ,77          ,85          ,
21       ,59          ,75          ,85          ,
22       ,57          ,72          ,86          ,
23       ,67          ,71          ,84          ,
24       ,60          ,72          ,85          ,
25       ,66          ,71          ,84          ,
26       ,69          ,76          ,86          ,
27       ,71          ,77          ,86          ,
28       ,72          ,76          ,86          ,
29       ,70          ,77          ,88          ,
30       ,65          ,69          ,83          ,
31       ,63          ,72          ,83          ,
32       ,65          ,71          ,82          ,
33       ,60          ,78          ,83          ,
34       ,67          ,80          ,85          ,
35       ,66          ,81          ,84          ,
36       ,68          ,82          ,85          ,
37       ,不详          ,不详          ,不详          ,
