Message,GrowthDay,Time,
报警测试   ,11       ,11:20:00,
报警测试   ,12       ,11:20:00,
备用设置提醒 ,13       ,07:07:29,
报警测试   ,13       ,11:20:00,
报警测试   ,14       ,11:20:00,
报警测试   ,15       ,11:20:00,
隧道通风   ,16       ,10:20:18,
最小通风   ,16       ,10:25:18,
报警测试   ,16       ,11:20:00,
隧道通风   ,16       ,11:33:07,
最小通风   ,16       ,12:36:22,
隧道通风   ,16       ,12:44:19,
最小通风   ,16       ,13:25:15,
隧道通风   ,16       ,13:45:14,
最小通风   ,16       ,16:53:13,
备用设置提醒 ,17       ,01:51:29,
隧道通风   ,17       ,08:21:20,
最小通风   ,17       ,10:28:00,
报警测试   ,17       ,11:20:00,
隧道通风   ,17       ,12:35:11,
最小通风   ,17       ,14:45:27,
电源关闭   ,17       ,14:55:18,
电源开启   ,17       ,14:55:20,
电源关闭   ,17       ,14:55:20,
电源开启   ,17       ,14:56:18,
电源关闭   ,17       ,18:15:02,
电源开启   ,17       ,18:15:14,
隧道通风   ,18       ,08:19:20,
报警测试   ,18       ,11:20:00,
管理员登陆  ,18       ,11:37:20,
系统锁定   ,18       ,11:43:03,
管理员登陆  ,18       ,11:49:04,
更改开关   ,18       ,11:49:04,
更改开关   ,18       ,11:49:06,
更改开关   ,18       ,11:50:00,
更改开关   ,18       ,11:50:02,
系统锁定   ,18       ,11:55:02,
最小通风   ,19       ,02:10:13,
隧道通风   ,19       ,09:28:13,
报警测试   ,19       ,11:20:00,
最小通风   ,20       ,04:01:23,
隧道通风   ,20       ,06:06:18,
备用设置提醒 ,20       ,06:44:08,
报警测试   ,20       ,11:20:00,
报警测试   ,21       ,11:20:00,
管理员登陆  ,22       ,08:05:12,
系统锁定   ,22       ,08:11:03,
报警测试   ,22       ,11:20:00,
最小通风   ,22       ,16:37:21,
管理员登陆  ,23       ,07:31:26,
更改开关   ,23       ,07:32:02,
更改开关   ,23       ,07:32:09,
更改开关   ,23       ,07:33:11,
更改开关   ,23       ,07:33:14,
更改开关   ,23       ,07:33:17,
更改开关   ,23       ,07:34:03,
更改开关   ,23       ,07:34:09,
更改开关   ,23       ,07:34:19,
更改开关   ,23       ,07:35:26,
更改开关   ,23       ,07:36:08,
系统锁定   ,23       ,07:41:08,
报警测试   ,23       ,11:20:00,
隧道通风   ,23       ,11:43:15,
最小通风   ,23       ,17:01:12,
报警测试   ,24       ,11:20:00,
备用设置提醒 ,24       ,15:37:10,
隧道通风   ,25       ,09:47:01,
报警测试   ,25       ,11:20:00,
最小通风   ,25       ,19:40:26,
隧道通风   ,26       ,09:07:05,
报警测试   ,26       ,11:20:00,
最小通风   ,27       ,00:41:14,
隧道通风   ,27       ,09:25:03,
最小通风   ,27       ,09:54:17,
报警测试   ,27       ,11:20:00,
隧道通风   ,27       ,13:26:09,
管理员登陆  ,27       ,19:21:27,
系统锁定   ,27       ,19:27:08,
最小通风   ,27       ,23:17:14,
隧道通风   ,28       ,09:14:07,
报警测试   ,28       ,11:20:00,
报警测试   ,29       ,11:20:00,
备用设置提醒 ,29       ,12:29:26,
报警测试   ,30       ,11:20:00,
报警测试   ,31       ,11:20:00,
报警测试   ,32       ,11:20:00,
报警测试   ,33       ,11:20:00,
备用设置提醒 ,33       ,12:22:12,
报警测试   ,34       ,11:20:00,
重置报警   ,34       ,16:14:00,
重置报警   ,34       ,16:20:26,
重置报警   ,34       ,16:24:09,
报警测试   ,35       ,11:20:00,
重置报警   ,35       ,11:47:22,
报警测试   ,36       ,11:20:00,
备用设置提醒 ,36       ,12:57:04,
报警测试   ,37       ,11:20:00,
管理员登陆  ,37       ,22:57:23,
系统锁定   ,37       ,23:03:13,
管理员登陆  ,38       ,10:22:27,
空鸡舍模式  ,38       ,10:23:09,
更改开关   ,38       ,10:28:00,
系统锁定   ,38       ,10:33:22,
