Date,Age,Dead,Swollen_Head,Weak,Navel_Disease,Stick_Anus,Lame_Paralysis,Mortality,Mortality_rate,Remark,ID_NUM
2024-10-29 00:00:00,0,1.0,,1.0,,,,2,7.042253521126761e-05,,G00_71_H1
2024-10-30 00:00:00,1,7.0,,3.0,,,,10,0.00035211267605633805,,G00_71_H1
2024-10-31 00:00:00,2,11.0,,6.0,,,,17,0.0005985915492957748,,G00_71_H1
2024-11-01 00:00:00,3,10.0,,14.0,,,,24,0.0008450704225352112,,G00_71_H1
2024-11-02 00:00:00,4,15.0,,16.0,,,,31,0.001091549295774648,,G00_71_H1
2024-11-03 00:00:00,5,13.0,,15.0,,,,28,0.0009859154929577462,,G00_71_H1
2024-11-04 00:00:00,6,9.0,,17.0,,,,26,0.0009154929577464788,,G00_71_H1
2024-11-05 00:00:00,7,8.0,,25.0,,,,33,0.0011619718309859154,,G00_71_H1
2024-11-06 00:00:00,8,15.0,,165.0,,,27.0,207,0.007288732394366197,,G00_71_H1
2024-11-07 00:00:00,9,12.0,,15.0,,,,27,0.0009507042253521126,,G00_71_H1
2024-11-08 00:00:00,10,6.0,,8.0,,,,14,0.0004929577464788731,,G00_71_H1
2024-11-09 00:00:00,11,6.0,,19.0,,,4.0,29,0.0010211267605633805,,G00_71_H1
2024-11-10 00:00:00,12,6.0,,17.0,,,4.0,27,0.0009507042253521126,,G00_71_H1
2024-11-11 00:00:00,13,5.0,,17.0,,,5.0,27,0.0009507042253521126,,G00_71_H1
2024-11-12 00:00:00,14,7.0,,17.0,,,4.0,28,0.0009859154929577462,,G00_71_H1
2024-11-13 00:00:00,15,7.0,,25.0,,,6.0,38,0.0013380281690140846,,G00_71_H1
2024-11-14 00:00:00,16,8.0,,21.0,,,8.0,37,0.0013028169014084507,,G00_71_H1
2024-11-15 00:00:00,17,5.0,,18.0,,,7.0,30,0.001056338028169014,,G00_71_H1
2024-11-16 00:00:00,18,5.0,,18.0,,,7.0,30,0.001056338028169014,,G00_71_H1
2024-11-17 00:00:00,19,5.0,,12.0,,,6.0,23,0.0008098591549295773,,G00_71_H1
2024-11-18 00:00:00,20,7.0,,8.0,,,3.0,18,0.0006338028169014084,,G00_71_H1
2024-11-19 00:00:00,21,5.0,,9.0,,,4.0,18,0.0006338028169014084,,G00_71_H1
2024-11-20 00:00:00,22,7.0,,11.0,,,4.0,22,0.0007746478873239436,,G00_71_H1
2024-11-21 00:00:00,23,5.0,,11.0,,,4.0,20,0.0007042253521126762,,G00_71_H1
2024-11-22 00:00:00,24,7.0,,10.0,,,5.0,22,0.0007746478873239436,,G00_71_H1
2024-11-23 00:00:00,25,8.0,,11.0,,,4.0,23,0.0008098591549295773,,G00_71_H1
2024-11-24 00:00:00,26,11.0,,28.0,,,9.0,48,0.0016901408450704224,,G00_71_H1
2024-11-25 00:00:00,27,8.0,,19.0,,,7.0,34,0.0011971830985915493,,G00_71_H1
2024-11-26 00:00:00,28,14.0,,15.0,,,7.0,36,0.0012676056338028169,,G00_71_H1
2024-11-27 00:00:00,29,12.0,,15.0,,,7.0,34,0.0011971830985915493,,G00_71_H1
2024-11-28 00:00:00,30,14.0,,27.0,,,7.0,48,0.0016901408450704224,,G00_71_H1
2024-11-29 00:00:00,31,13.0,,10.0,,,11.0,34,0.0011971830985915493,,G00_71_H1
2024-11-30 00:00:00,32,16.0,,9.0,,,11.0,36,0.0012676056338028169,,G00_71_H1
2024-12-01 00:00:00,33,25.0,,11.0,,,19.0,55,0.0019366197183098594,,G00_71_H1
2024-12-02 00:00:00,34,22.0,,9.0,,,11.0,42,0.0014788732394366195,,G00_71_H1
2024-12-03 00:00:00,35,27.0,,4.0,,,13.0,44,0.0015492957746478873,,G00_71_H1
2024-12-04 00:00:00,36,25.0,,6.0,,,11.0,42,0.0014788732394366195,,G00_71_H1
2024-12-05 00:00:00,37,36.0,,3.0,,,4.0,43,0.0015140845070422534,,G00_71_H1
2024-12-06 00:00:00,38,,,,,,,0,0.0,,G00_71_H1
2024-12-07 00:00:00,39,,,,,,,0,0.0,,G00_71_H1
2024-12-08 00:00:00,40,,,,,,,0,0.0,,G00_71_H1
2024-12-09 00:00:00,41,,,,,,,0,0.0,,G00_71_H1
2024-12-10 00:00:00,42,,,,,,,0,0.0,,G00_71_H1
2024-12-11 00:00:00,43,,,,,,,0,0.0,,G00_71_H1
2024-12-12 00:00:00,44,,,,,,,0,0.0,,G00_71_H1
2024-12-13 00:00:00,45,,,,,,,0,0.0,,G00_71_H1
2024-10-29 00:00:00,0,1.0,,1.0,,,,2,8.368200836820084e-05,,G00_71_H2
2024-10-30 00:00:00,1,7.0,,,,,,7,0.00029288702928870295,,G00_71_H2
2024-10-31 00:00:00,2,7.0,,15.0,,,1.0,23,0.0009623430962343095,,G00_71_H2
2024-11-01 00:00:00,3,12.0,,48.0,,,7.0,67,0.002803347280334728,,G00_71_H2
2024-11-02 00:00:00,4,12.0,,65.0,,,5.0,82,0.0034309623430962342,,G00_71_H2
2024-11-03 00:00:00,5,3.0,,18.0,,,2.0,23,0.0009623430962343095,,G00_71_H2
2024-11-04 00:00:00,6,4.0,,20.0,,,3.0,27,0.0011297071129707113,,G00_71_H2
2024-11-05 00:00:00,7,4.0,,25.0,,,4.0,33,0.0013807531380753135,,G00_71_H2
2024-11-06 00:00:00,8,17.0,,134.0,,,12.0,163,0.0068200836820083675,,G00_71_H2
2024-11-07 00:00:00,9,14.0,,22.0,,,6.0,42,0.0017573221757322176,,G00_71_H2
2024-11-08 00:00:00,10,8.0,,27.0,,,4.0,39,0.0016317991631799164,,G00_71_H2
2024-11-09 00:00:00,11,8.0,,29.0,,,2.0,39,0.0016317991631799164,,G00_71_H2
2024-11-10 00:00:00,12,9.0,,21.0,,,4.0,34,0.0014225941422594142,,G00_71_H2
2024-11-11 00:00:00,13,10.0,,20.0,,,3.0,33,0.0013807531380753135,,G00_71_H2
2024-11-12 00:00:00,14,8.0,,7.0,,,3.0,18,0.0007531380753138076,,G00_71_H2
2024-11-13 00:00:00,15,5.0,,14.0,,,2.0,21,0.0008786610878661088,,G00_71_H2
2024-11-14 00:00:00,16,6.0,,17.0,,,2.0,25,0.0010460251046025104,,G00_71_H2
2024-11-15 00:00:00,17,5.0,,14.0,,,1.0,20,0.0008368200836820082,,G00_71_H2
2024-11-16 00:00:00,18,3.0,,13.0,,,3.0,19,0.0007949790794979081,,G00_71_H2
2024-11-17 00:00:00,19,2.0,,5.0,,,1.0,8,0.00033472803347280337,,G00_71_H2
2024-11-18 00:00:00,20,6.0,,3.0,,,3.0,12,0.0005020920502092051,,G00_71_H2
2024-11-19 00:00:00,21,5.0,,6.0,,,2.0,13,0.0005439330543933054,,G00_71_H2
2024-11-20 00:00:00,22,0.0,,7.0,,,3.0,10,0.00041841004184100416,,G00_71_H2
2024-11-21 00:00:00,23,0.0,,0.0,,,1.0,1,4.184100418410042e-05,,G00_71_H2
2024-11-22 00:00:00,24,1.0,,,,,5.0,6,0.00025104602510460253,,G00_71_H2
2024-11-23 00:00:00,25,3.0,,8.0,,,2.0,13,0.0005439330543933054,,G00_71_H2
2024-11-24 00:00:00,26,1.0,,1.0,,,4.0,6,0.00025104602510460253,,G00_71_H2
2024-11-25 00:00:00,27,2.0,,1.0,,,4.0,7,0.00029288702928870295,,G00_71_H2
2024-11-26 00:00:00,28,6.0,,3.0,,,4.0,13,0.0005439330543933054,,G00_71_H2
2024-11-27 00:00:00,29,3.0,,,,,1.0,4,0.00016736401673640169,,G00_71_H2
2024-11-28 00:00:00,30,4.0,,2.0,,,3.0,9,0.0003765690376569038,,G00_71_H2
2024-11-29 00:00:00,31,15.0,,,,,,15,0.0006276150627615063,,G00_71_H2
2024-11-30 00:00:00,32,7.0,,1.0,,,1.0,9,0.0003765690376569038,,G00_71_H2
2024-12-01 00:00:00,33,9.0,,,,,2.0,11,0.0004602510460251046,,G00_71_H2
2024-12-02 00:00:00,34,10.0,,,,,,10,0.00041841004184100416,,G00_71_H2
2024-12-03 00:00:00,35,11.0,,,,,1.0,12,0.0005020920502092051,,G00_71_H2
2024-12-04 00:00:00,36,12.0,,,,,3.0,15,0.0006276150627615063,,G00_71_H2
2024-12-05 00:00:00,37,20.0,,,,,,20,0.0008368200836820082,,G00_71_H2
2024-12-06 00:00:00,38,,,,,,,0,0.0,,G00_71_H2
2024-12-07 00:00:00,39,,,,,,,0,0.0,,G00_71_H2
2024-12-08 00:00:00,40,,,,,,,0,0.0,,G00_71_H2
2024-12-09 00:00:00,41,,,,,,,0,0.0,,G00_71_H2
2024-12-10 00:00:00,42,,,,,,,0,0.0,,G00_71_H2
2024-12-11 00:00:00,43,,,,,,,0,0.0,,G00_71_H2
2024-12-12 00:00:00,44,,,,,,,0,0.0,,G00_71_H2
2024-12-13 00:00:00,45,,,,,,,0,0.0,,G00_71_H2
2024-10-29 00:00:00,0,1.0,,1.0,,,,2,7.067137809187281e-05,,G00_71_H3
2024-10-30 00:00:00,1,7.0,,5.0,,,,12,0.0004240282685512368,,G00_71_H3
2024-10-31 00:00:00,2,10.0,,8.0,,,,18,0.0006360424028268553,,G00_71_H3
2024-11-01 00:00:00,3,13.0,,16.0,,,,29,0.0010247349823321557,,G00_71_H3
2024-11-02 00:00:00,4,16.0,,17.0,,,,33,0.0011660777385159012,,G00_71_H3
2024-11-03 00:00:00,5,16.0,,21.0,,,,37,0.0013074204946996466,,G00_71_H3
2024-11-04 00:00:00,6,8.0,,14.0,,,,22,0.0007773851590106008,,G00_71_H3
2024-11-05 00:00:00,7,10.0,,38.0,,,,48,0.001696113074204947,,G00_71_H3
2024-11-06 00:00:00,8,17.0,,174.0,,,22.0,213,0.007526501766784452,,G00_71_H3
2024-11-07 00:00:00,9,11.0,,17.0,,,,28,0.0009893992932862188,,G00_71_H3
2024-11-08 00:00:00,10,5.0,,24.0,,,,29,0.0010247349823321557,,G00_71_H3
2024-11-09 00:00:00,11,6.0,,22.0,,,4.0,32,0.001130742049469965,,G00_71_H3
2024-11-10 00:00:00,12,4.0,,19.0,,,3.0,26,0.0009187279151943462,,G00_71_H3
2024-11-11 00:00:00,13,5.0,,11.0,,,5.0,21,0.0007420494699646642,,G00_71_H3
2024-11-12 00:00:00,14,3.0,,16.0,,,5.0,24,0.0008480565371024735,,G00_71_H3
2024-11-13 00:00:00,15,5.0,,14.0,,,5.0,24,0.0008480565371024735,,G00_71_H3
2024-11-14 00:00:00,16,5.0,,17.0,,,6.0,28,0.0009893992932862188,,G00_71_H3
2024-11-15 00:00:00,17,3.0,,15.0,,,5.0,23,0.0008127208480565371,,G00_71_H3
2024-11-16 00:00:00,18,6.0,,13.0,,,4.0,23,0.0008127208480565371,,G00_71_H3
