Date,Highest_Temp_Outside,Lowest_Temp_Outside,Age,Dead,Cull,Water,Feed,Fuel,Power,Highest_humidity,Lowest_Humidity,Highest_Temn,Lowest_Temn,Ventilation_Coefficient_Cold,Ventilation_Coefficient_Warm,Fan_Num_Less36,Fan_Num_More36,Fan_Num_Less50,Fan_Num_More50,DOCAmount,ID_NUM
2024-01-30 00:00:00,11.0,5.0,1.0,30.0,0.0,0.74,370.0,1088.0,60.0,0.62,0.52,34.8,33.4,0.56,0.56,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-01-31 00:00:00,8.0,3.0,2.0,15.0,2.0,0.97,485.0,1088.0,30.0,0.71,0.63,34.3,32.6,0.44,0.58,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-02-01 00:00:00,2.0,-1.0,3.0,16.0,14.0,1.2,600.0,176.0,60.0,0.72,0.61,33.5,31.7,0.47,0.58,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-02-02 00:00:00,1.0,-2.0,4.0,18.0,12.0,1.315,658.0,352.0,30.0,0.73,0.64,32.6,31.1,0.48,0.48,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-02-03 00:00:00,0.0,-1.0,5.0,16.0,7.0,1.53,765.0,272.0,30.0,0.8,0.67,32.4,30.5,0.5,0.5,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-02-04 00:00:00,0.0,-3.0,6.0,9.0,9.0,1.76,880.0,176.0,30.0,0.79,0.72,31.4,29.4,0.47,0.47,0.0,0.0,1.0,1.0,28500.0,GTF _66_H1
2024-02-05 00:00:00,-1.0,-7.0,7.0,17.0,6.0,1.99,995.0,336.0,30.0,0.82,0.74,30.9,29.1,0.46,0.46,0.0,0.0,1.0,1.5,28500.0,GTF _66_H1
2024-02-06 00:00:00,0.0,-3.0,8.0,8.0,138.0,2.21,1105.0,240.0,60.0,0.83,0.68,30.7,29.0,0.47,0.47,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-07 00:00:00,4.0,-4.0,9.0,26.0,2.0,2.31,1155.0,192.0,30.0,0.84,0.73,30.6,29.0,0.48,0.55,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-08 00:00:00,7.0,-4.0,10.0,10.0,12.0,2.496,1248.0,240.0,30.0,0.86,0.75,30.5,28.5,0.47,0.53,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-09 00:00:00,10.0,-1.0,11.0,12.0,14.0,2.69,1345.0,176.0,30.0,0.88,0.78,30.0,28.4,0.46,0.61,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-10 00:00:00,15.0,0.0,12.0,3.0,61.0,3.259,1630.0,160.0,15.0,0.85,0.75,29.8,28.1,0.45,0.81,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-11 00:00:00,15.0,1.0,13.0,7.0,39.0,3.461,1731.0,0.0,15.0,0.88,0.78,29.3,27.9,0.47,0.79,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-12 00:00:00,18.0,4.0,14.0,5.0,33.0,3.688,1844.0,160.0,30.0,0.86,0.75,29.3,27.3,0.42,0.84,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-13 00:00:00,20.0,6.0,15.0,9.0,24.0,4.35,2175.0,0.0,15.0,0.85,0.76,29.2,27.2,0.43,0.74,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-14 00:00:00,22.0,4.0,16.0,7.0,14.0,4.669,2335.0,0.0,15.0,0.89,0.64,31.4,27.1,0.49,2.18,0.0,0.0,1.5,2.0,28500.0,GTF _66_H1
2024-02-15 00:00:00,7.0,-2.0,17.0,6.0,18.0,5.047,2524.0,160.0,30.0,0.87,0.82,28.2,26.3,0.44,0.48,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-16 00:00:00,10.0,1.0,18.0,6.0,15.0,5.177,2589.0,192.0,30.0,0.89,0.77,28.4,26.2,0.36,0.66,0.0,0.0,1.5,1.5,28500.0,GTF _66_H1
2024-02-17 00:00:00,17.0,11.0,19.0,7.0,28.0,5.792,2896.0,0.0,30.0,0.89,0.75,28.9,26.1,0.36,0.91,0.0,0.0,1.5,1.7,28500.0,GTF _66_H1
2024-02-18 00:00:00,23.0,12.0,20.0,5.0,15.0,6.392,3196.0,80.0,30.0,0.89,0.76,30.2,26.0,0.46,1.46,0.0,0.0,1.7,2.0,28500.0,GTF _66_H1
2024-02-19 00:00:00,13.0,3.0,21.0,6.0,12.0,6.676,3338.0,0.0,60.0,0.91,0.87,27.9,25.5,0.37,0.45,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-20 00:00:00,2.0,0.0,22.0,5.0,10.0,6.462,3231.0,176.0,30.0,0.95,0.83,27.1,25.5,0.3,0.3,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-21 00:00:00,0.0,-4.0,23.0,5.0,10.0,6.485,3243.0,192.0,30.0,0.95,0.85,27.3,24.9,0.3,0.3,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-22 00:00:00,0.0,-3.0,24.0,5.0,9.0,7.226,3613.0,176.0,30.0,0.96,0.86,27.2,24.7,0.27,0.3,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-23 00:00:00,1.0,-2.0,25.0,6.0,6.0,7.511,3756.0,192.0,30.0,0.97,0.86,26.9,24.4,0.31,0.31,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-24 00:00:00,1.0,-3.0,26.0,5.0,11.0,8.062,4031.0,176.0,30.0,0.96,0.88,26.3,24.2,0.32,0.32,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-25 00:00:00,5.0,-1.0,27.0,5.0,12.0,8.363,4182.0,192.0,30.0,0.95,0.86,25.9,23.9,0.3,0.37,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-26 00:00:00,7.0,-2.0,28.0,3.0,10.0,8.827,4414.0,0.0,30.0,0.95,0.86,26.2,23.7,0.31,0.45,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-27 00:00:00,7.0,0.0,29.0,6.0,9.0,8.954,4477.0,0.0,60.0,0.92,0.77,26.1,23.0,0.33,0.53,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-28 00:00:00,5.0,2.0,30.0,7.0,8.0,9.094,4547.0,160.0,30.0,0.95,0.87,25.6,23.0,0.31,0.36,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-02-29 00:00:00,5.0,-2.0,31.0,5.0,17.0,9.698,4849.0,0.0,30.0,0.96,0.89,24.9,22.4,0.32,0.34,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-03-01 00:00:00,6.0,-1.0,32.0,7.0,12.0,9.619,4810.0,0.0,60.0,0.92,0.81,24.9,22.2,0.3,0.42,0.0,0.0,1.7,1.7,28500.0,GTF _66_H1
2024-03-02 00:00:00,11.0,0.0,33.0,5.0,7.0,9.632,4816.0,0.0,30.0,0.92,0.81,25.2,21.3,0.29,0.65,0.0,0.0,1.7,2.0,28500.0,GTF _66_H1
2024-03-03 00:00:00,14.0,3.0,34.0,7.0,13.0,10.068,5034.0,0.0,60.0,0.9,0.72,25.5,21.5,0.34,0.91,0.0,0.0,2.0,3.0,28500.0,GTF _66_H1
2024-03-04 00:00:00,10.0,7.0,35.0,16.0,10.0,10.04,5020.0,0.0,60.0,0.92,0.82,23.7,20.8,0.37,0.46,0.0,0.0,2.0,2.0,28500.0,GTF _66_H1
2024-03-05 00:00:00,9.0,5.0,36.0,40.0,5.0,9.898,4949.0,0.0,60.0,0.94,0.88,22.8,20.4,0.37,0.44,0.0,0.0,2.0,2.0,28500.0,GTF _66_H1
2024-03-06 00:00:00,10.0,0.0,37.0,41.0,0.0,9.187,4594.0,0.0,60.0,0.93,0.76,22.7,19.8,0.34,0.49,0.0,0.0,2.0,2.0,28500.0,GTF _66_H1
2024-03-07 00:00:00,14.0,1.0,38.0,36.0,0.0,8.887,4444.0,0.0,60.0,0.93,0.73,23.1,19.1,0.29,0.76,0.0,0.0,2.0,3.0,28500.0,GTF _66_H1
2024-01-30 00:00:00,11.0,5.0,1.0,24.0,1.0,0.61,305.0,1088.0,80.0,0.55,0.49,35.2,33.3,0.42,0.42,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
2024-01-31 00:00:00,8.0,3.0,2.0,17.0,10.0,0.8,400.0,1088.0,77.0,0.63,0.55,34.5,32.9,0.49,0.49,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
2024-02-01 00:00:00,2.0,-1.0,3.0,10.0,18.0,0.99,495.0,176.0,83.0,0.61,0.52,33.8,32.1,0.39,0.49,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
2024-02-02 00:00:00,1.0,-2.0,4.0,14.0,23.0,1.08,540.0,352.0,89.0,0.61,0.53,33.1,31.1,0.43,0.43,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
2024-02-03 00:00:00,0.0,-1.0,5.0,6.0,12.0,1.26,630.0,272.0,86.0,0.79,0.54,32.8,30.3,0.45,0.45,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
2024-02-04 00:00:00,0.0,-3.0,6.0,8.0,16.0,1.45,725.0,176.0,87.0,0.71,0.6,31.6,29.4,0.45,0.45,0.0,0.0,1.0,1.0,23500.0,GTF _66_H2
