index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
日龄,float64,1440228,0.00%,83,20.712940145551553,31.678784277915405,-2.0,-1.0,4.0,21.0,30.0,35.0,40.0,10000.0
时间,object,1440228,0.00%,223,13:00:2.80%,20:00:2.80%,14:00:2.80%,12:00:2.80%,21:00:2.80%,18:31:0.00%,18:32:0.00%,18:33:0.00%,18:34:0.00%,15:05:0.00%
目标温度,float64,1440228,0.00%,344,25.148236362613748,4.505533814408239,2.0,15.9,19.5,24.8,28.2,31.6,35.0,37.0
鸡舍温度-最低,float64,1440228,2.31%,242,26.221069128524707,4.569850965299606,10.5,10.5,20.7,26.5,29.4,32.0,34.6,34.6
鸡舍温度-平均,float64,1440228,0.06%,242,26.753441668253085,4.540419314660116,11.1,11.1,21.3,27.1,29.8,32.5,35.2,35.2
鸡舍温度-最高,float64,1440228,2.39%,240,27.11529093321287,4.475928938715876,11.6,11.6,21.7,27.4,30.1,32.8,35.5,35.5
温度1-平均,float64,1440228,0.01%,354,26.32075309629555,4.327923822200015,0.10000000000000009,15.5,20.7,26.5,29.3,31.9,35.1,43.3
温度2-平均,float64,1440228,0.01%,462,26.636285868247334,4.323835835848762,-1.0,15.7,21.1,26.700000000000003,29.6,32.3,35.2,44.6
温度3-平均,float64,1440228,0.05%,449,26.820925456872097,4.312519918251891,2.5999999999999996,15.899999999999999,21.3,27.0,29.8,32.5,35.3,42.8
温度4-平均,float64,1440228,0.05%,345,26.90205549303211,4.329062650502409,2.5999999999999996,15.899999999999999,21.4,27.1,29.9,32.6,35.3,40.0
温度5-平均,float64,1440228,0.01%,441,26.95800084858696,4.268118153744042,4.8,15.9,21.5,27.2,30.0,32.3,35.2,41.3
外部-平均,float64,1440228,8.84%,431,14.282385203013009,10.936559936453545,-5.3,-5.3,0.8,12.6,24.4,29.2,37.7,37.7
湿度内部平均,float64,1440228,4.11%,991,72.84161761564613,19.400431485859105,1.0,1.0,55.0,76.1,84.8,91.0,100.0,100.0
湿度外部平均,float64,1440228,94.73%,821,71.57135688980784,24.67269572456828,11.0,11.0,33.0,76.0,92.3,100.0,100.0,100.0
水,float64,1440228,0.27%,721,160.36146911119357,176.74014587841728,0.0,0.0,0.0,88.0,270.0,438.0,720.0,720.0
饲料,float64,1440228,0.00%,1287,75.22181341235807,244.86642745864535,0.0,0.0,0.0,0.0,0.0,158.0,1286.0,1286.0
水平,float64,1440228,0.00%,30,14.495662462210582,7.928786142446487,1.0,1.0,3.0,15.0,21.0,25.0,30.0,30.0
ID_NUM,object,1440228,0.00%,1209,G13_67_H6:0.39%,G13_67_H4:0.39%,G13_67_H8:0.39%,G13_67_H7:0.39%,G13_67_H3:0.39%,G28_24_H4:0.00%,G23_26_H5:0.00%,G23_26_H4:0.00%,G28_25_H8:0.00%,G28_25_H1:0.00%
温度1与目标差异,float64,1440228,0.01%,448,1.172379849289081,2.6818689057592477,-3.0,-3.0,-1.2999999999999972,0.20000000000000284,2.4000000000000057,5.800000000000001,7.5,7.5
温度2与目标差异,float64,1440228,0.01%,439,1.4877572632289442,2.577676365010407,-3.0,-3.0,-0.8999999999999986,0.6000000000000014,2.6999999999999993,5.9999999999999964,7.600000000000001,7.600000000000001
温度3与目标差异,float64,1440228,0.05%,455,1.6698139999527597,2.734630226010316,-3.0,-3.0,-0.8000000000000007,0.6999999999999993,3.0,6.399999999999999,8.100000000000001,8.100000000000001
温度4与目标差异,float64,1440228,0.05%,470,1.7505117891431508,2.877753756843842,-3.0,-3.0,-0.8000000000000007,0.6999999999999993,3.1999999999999993,6.699999999999999,8.5,8.5
温度5与目标差异,float64,1440228,0.01%,486,1.8099354810036656,3.0656161966686306,-3.0,-3.0,-1.0,0.7000000000000028,3.3999999999999986,7.099999999999998,8.899999999999999,8.899999999999999
