index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
HouseNo,object,1257,0.00%,25,H2:7.00%,H8:7.00%,H3:7.00%,H9:6.76%,H5:6.68%,H22:1.19%,H21:0.88%,H23:0.56%,H24:0.56%,H26:0.16%
DOCdate,object,1257,0.00%,182,2024-08-15:0.88%,2024-10-29:0.80%,2024-08-05:0.72%,2024-09-08:0.72%,2024-11-19:0.72%,2024-12-24:0.24%,2024-12-22:0.16%,2024-12-16:0.16%,2024-10-24:0.08%,2024-12-12:0.08%
DOCAmount,float64,1257,0.00%,192,30252.66507557677,4831.440091059875,15800.0,23456.0,25500.0,29000.0,31500.0,38200.0,42744.00000000001,44600.0
HouseArea,float64,1257,0.00%,26,1982.3630867143997,302.1880473857649,1120.0,1568.8,1670.0,1920.0,2041.06,2502.0,2698.0,2698.0
Density,float64,1257,0.00%,462,15.25552059651252,0.563640725033788,10.0,13.854166666666666,14.589972084440078,15.27777777777778,15.579336427711878,15.847945676465532,16.71875,17.14975845410628
Gender,object,1257,0.00%,1,M&F:100.00%,,,,,,,,,M&F:100.00%
BirdsVariety,object,1257,0.00%,35,Cobb:42.88%,SZ901:23.39%,SZ901Plus:5.81%,SZ901PLUS:4.30%,SZ901plus:3.98%,SZ901Plus/SZ901:0.08%,"SZ901
SZ901Plus:0.08%",sz901Plus:0.08%,SZ904PLUS:0.08%,Cobb/SZ901plus:0.08%
HESource,object,1257,0.00%,53,L6:20.60%,L4:19.25%,L5:15.43%,L7:12.73%,L3:8.99%,马头洋/樟树后/L6:0.08%,L7/L1:0.08%,L3/L1:0.08%,L4/L5:0.08%,L1&L7:0.08%
HEAge,object,1257,0.00%,161,36.0:3.50%,35.0:3.26%,39.0:2.70%,38.0:2.47%,29.0:2.47%,25W:0.08%,58W/63-64W:0.08%,27-28W:0.08%,27W&41W:0.08%,63W:0.08%
Age,float64,1257,0.00%,6,37.04773269689738,0.8711293086799503,34.0,35.0,36.0,37.0,38.0,38.0,39.0,39.0
Harveststatus,object,1257,0.00%,180,2025-01-07:0.80%,2025-01-09:0.80%,2024-09-07:0.72%,2024-09-09:0.72%,2024-12-09:0.72%,2025-01-26:0.24%,2025-01-30:0.24%,2025-01-27:0.16%,2025-03-22:0.16%,2025-03-31:0.08%
Houseid,float64,1257,0.00%,350,231951.22036595066,2341.4831113623454,230001.0,230101.0,230119.6,231402.0,232707.0,233203.4,242703.0,242709.0
HouseName,object,1257,0.00%,331,Growout Farm_32 肉鸡三十二场第二十栋:0.32%,Growout  Farm _01肉鸡一场第一栋:0.32%,Growout  Farm _01肉鸡一场第二栋:0.32%,Growout  Farm _01肉鸡一场第三栋:0.32%,Growout  Farm _01肉鸡一场第四栋:0.32%,Growout Farm_15 肉鸡十五场第六栋:0.24%,Growout Farm_01B肉鸡一场B区第九栋:0.24%,Growout Farm_01B肉鸡一场B区第十栋:0.24%,Growout Farm_31肉鸡三十一场第九栋:0.16%,Growout Farm_31肉鸡三十一场第二十六栋:0.16%
NumberofFloorEggs ,object,1257,8.59%,1,\:91.41%,,,,,,,,,\:91.41%
EstimatedSlaughterDate ,object,1257,6.21%,173,2021-06-30:1.67%,2025-01-20:0.80%,2025-03-29:0.72%,2024-10-15:0.72%,2024-09-09:0.72%,2021-07-01:0.16%,2025-01-16:0.16%,2025-01-27:0.16%,2024-03-11:0.16%,2024-09-28:0.08%
FarmName,object,1257,0.00%,24,G10:7.00%,G09:7.00%,G06:6.36%,G1A:6.36%,G16:6.36%,G27:2.86%,G07:2.86%,G11:2.15%,G02:1.59%,GTF:0.95%
FarmSupervisor,object,1257,0.00%,25,刘乾乾:7.00%,杨文杰:7.00%,李芳昌:6.36%,薄明龙:6.36%,张玉风:6.36%,丁家保:2.39%,余涛:2.15%,陈铁楠:1.59%,罗冲:0.95%,丁家宝:0.80%
HouseAmount,float64,1257,0.00%,11,16.034208432776452,5.357708376023134,3.0,5.0,9.0,17.0,20.0,22.0,24.0,24.0
Batch,float64,1257,0.00%,28,59.09307875894988,12.047481361422559,22.0,22.0,48.0,63.0,65.0,67.0,71.0,73.0
id_no,object,1257,0.00%,92,08_64:1.91%,08_65:1.91%,08_66:1.91%,10_60:1.75%,09_65:1.75%,02_61:0.40%,00_70:0.24%,00_71:0.24%,TF_72:0.24%,00_73:0.24%
