index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
Date,object,57822,0.00%,257,2024-12-10 00:00:00:0.53%,2025-02-19 00:00:00:0.51%,2025-02-07 00:00:00:0.51%,2025-02-06 00:00:00:0.51%,2024-12-12 00:00:00:0.50%,2025-04-02 00:00:00:0.04%,2024-07-24 00:00:00:0.04%,2024-07-23 00:00:00:0.04%,2024-07-25 00:00:00:0.04%,2025-04-05 00:00:00:0.01%
Age,float64,57822,0.00%,53,21.19928400954654,13.329388093816224,-7.0,-2.0,3.0,21.0,33.0,40.0,44.0,45.0
Dead,float64,57822,20.75%,537,22.712312325418996,67.32772596207506,0.0,1.0,3.0,8.0,15.0,34.0,328.0,2000.0
Swollen_Head,object,57822,96.22%,178,1.0:0.34%,2.0:0.34%,2.0:0.28%,1.0:0.25%,3.0:0.22%,68.0:0.00%,24.0:0.00%,50.0:0.00%,100.0:0.00%,21.0:0.00%
Weak,float64,57822,29.83%,424,21.963079804801104,47.24241449476504,0.0,1.0,3.0,10.0,19.0,38.0,250.0,1221.0
Navel_Disease,float64,57822,99.75%,10,2.528169014084507,1.9594964687255645,0.0,0.0,1.0,2.0,3.0,5.0,10.0,10.0
Stick_Anus,float64,57822,99.05%,18,2.8519195612431445,4.359530313037667,0.0,1.0,1.0,2.0,3.0,5.0,14.079999999999927,90.0
Lame_Paralysis,float64,57822,40.34%,274,15.083920340899208,27.190325062003588,0.0,1.0,3.0,8.0,16.0,30.0,124.0,818.0
Mortality,float64,57822,0.00%,696,43.13081526062744,83.90205690686797,0.0,0.0,0.0,23.0,41.0,84.0,420.0,2000.0
Mortality_rate,float64,57822,0.00%,12929,0.0014332719838814102,0.0028851375869165235,0.0,0.0,0.0,0.0007754010695187,0.0013442622950819,0.0027213114754098,0.013705583513060102,0.18
Remark,object,57822,99.97%,1,√‚“ﬂºØ÷–Ã‘Ã≠:0.03%,,,,,,,,,√‚“ﬂºØ÷–Ã‘Ã≠:0.03%
ID_NUM,object,57822,0.00%,1257,G30_64_H20:0.08%,G00_71_H1:0.08%,G00_71_H2:0.08%,G00_71_H3:0.08%,G00_73_H1:0.08%,G01A_62_H8:0.08%,G01A_62_H7:0.08%,G01A_62_H6:0.08%,G01A_62_H5:0.08%,G01A_62_H4:0.08%
