index,type,size,missing,unique,mean_or_top1,std_or_top2,min_or_top3,1%_or_top4,10%_or_top5,50%_or_bottom5,75%_or_bottom4,90%_or_bottom3,99%_or_bottom2,max_or_bottom1
house,object,1257,0.00%,25,H2:7.00%,H8:7.00%,H3:7.00%,H9:6.76%,H5:6.68%,H22:1.19%,H21:0.88%,H23:0.56%,H24:0.56%,H26:0.16%
birds_placed,float64,1257,0.00%,192,30252.66507557677,4831.440091059875,15800.0,23456.0,25500.0,29000.0,31500.0,38200.0,42744.00000000001,44600.0
gender,object,1257,0.00%,52,L6:20.60%,L4:19.25%,L5:15.43%,L7:12.97%,L3:8.99%,ÂíÍ·Ñó/ÕÁÊ÷ºó/L6:0.08%,L7/L1:0.08%,L3/L1:0.08%,L4/L5:0.08%,L1&L7:0.08%
house_area_m2,float64,1257,0.00%,27,1982.2102147971361,301.71219918804564,1120.0,1568.8,1670.0,1920.0,2041.6,2502.0,2700.0,2700.0
stocking_density,float64,1257,0.00%,1178,14.15497358268064,0.8148959124811166,9.595833333333331,11.63025,13.068710218312086,14.330357142857142,14.685750213533264,14.990431654676259,15.547666666666666,16.1611030478955
birds_hung,float64,1257,0.00%,1204,27955.17183770883,4706.335162980657,15091.0,19941.72,23031.6,27074.0,29074.0,35939.0,39933.600000000006,41275.0
total_hung_weight_kg,float64,1257,0.00%,1257,63209.38421638823,12803.866737293898,30051.48,36452.760800000004,46636.183999999994,62629.58,69768.97,82027.04800000002,95959.14280000003,103552.3
avg_weight_kg,float64,1257,0.00%,1257,2.258187395881218,0.24479932994485254,1.5326224124203822,1.6669618009183313,1.9207768104275418,2.2853650016206286,2.4505248637837096,2.551962934608557,2.7112293454844214,2.796264405985076
small_broilers_count,float64,1257,0.00%,163,154.9172633253779,895.8994605800722,0.0,0.0,17.0,44.0,74.0,240.40000000000146,1411.0,28771.0
small_broilers_weight_kg,float64,1257,0.00%,369,127.49063643595862,375.40403044574936,0.0,0.0,16.36,41.94,70.3,228.60600000000127,1340.8,8979.4
pp_dead_culled_count,float64,1257,0.00%,280,103.030230708035,110.22621806571672,9.0,15.0,27.0,70.0,128.0,208.4000000000001,554.8800000000001,1053.0
dead_culled_weight_kg,float64,1257,0.00%,1192,217.7971678599841,213.7605201004077,22.23,37.272,65.83999999999999,158.33,269.37000000000006,419.01200000000017,1068.5728000000017,2115.62
