variables,target,type,corrs,p_values
入雏数量,Mortality_rate,皮尔逊相关系数,-0.13720513271204163,0.0002219026526616619
鸡舍面积,Mortality_rate,皮尔逊相关系数,-0.11626600979487806,0.0017784885222124187
饲养密度,Mortality_rate,皮尔逊相关系数,-0.130336582499814,0.00045457471887651026
日龄,Mortality_rate,皮尔逊相关系数,-0.31569924297312835,3.9817458555197955e-18
鸡舍数量,Mortality_rate,皮尔逊相关系数,-0.07385656066194118,0.0475865289980972
"进雏只数
Bird placed No.",Mortality_rate,皮尔逊相关系数,-0.13720513271204163,0.0002219026526616619
"鸡舍面积m2 
House Area",Mortality_rate,皮尔逊相关系数,-0.11688996947800609,0.0016790491567718379
"出栏密度
Density",Mortality_rate,皮尔逊相关系数,-0.8000659609929323,1.7264120718586587e-161
"挂鸡只数
Hang No.",Mortality_rate,皮尔逊相关系数,-0.4025655703266937,1.992705754376961e-29
"挂鸡总重（kg）
Total hung weight",Mortality_rate,皮尔逊相关系数,-0.5500723301622805,3.5197567232333254e-58
"均重（kg）
 Average weight",Mortality_rate,皮尔逊相关系数,-0.5155318016837471,3.9165910894530286e-50
"小毛鸡数量
Small broilers No.",Mortality_rate,皮尔逊相关系数,0.2497720692887837,1.05725109746461e-11
"小毛鸡总重（kg）
 Total weight of small broilers",Mortality_rate,皮尔逊相关系数,0.36947205783801385,1.044375812875086e-24
"PP死淘鸡只
PP cull and dead No.",Mortality_rate,皮尔逊相关系数,0.2913473242551946,1.4897111043151978e-15
"死淘总重（kg）
Dead and Cull Weight",Mortality_rate,皮尔逊相关系数,0.24882806319169268,1.270585168679393e-11
"PP不合格淘汰鸡
PP Cull",Mortality_rate,皮尔逊相关系数,0.2136598801635151,7.033392340470228e-09
"PP淘汰鸡总重
PP Cull bird Weight",Mortality_rate,皮尔逊相关系数,-0.02683789244918887,0.47213198554103325
日龄Age,Mortality_rate,皮尔逊相关系数,-0.31455896647050446,5.321162080772614e-18
"出鸡只数
Catching No.",Mortality_rate,皮尔逊相关系数,-0.39380804314876416,3.991456919128e-28
"成活率
Livability (%)",Mortality_rate,皮尔逊相关系数,-0.9414005813165174,0.0
"出鸡总重（kg）
Total Catched weight",Mortality_rate,皮尔逊相关系数,-0.5456622106966628,4.2319444930706e-57
"单位面积产肉率
Density, Yield(KG)/m2",Mortality_rate,皮尔逊相关系数,-0.744686105441166,3.292376230727937e-128
"均重（kg）
Average weight",Mortality_rate,皮尔逊相关系数,-0.515783952892289,3.447209357478331e-50
