DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,EstimatedSlaughterDate ,FarmName,FarmSupervisor,HouseAmount,Batch,eef_flg,eef
"04.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"05.2024-12-06,2025-..","04.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),00.[-inf ~ inf),1,451.0846344046597
"04.2024-11-27,2024-..",00.[-inf ~ 26400.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),"00.SZ901plus,SZ901P..","00.L7,L6,大岭头","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"05.2024-12-06,2025-..","04.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),00.[-inf ~ inf),1,452.5899680803168
"04.2024-11-27,2024-..",02.[27300.0 ~ 30500.0),03.[1861.44 ~ 1978.56),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"05.2024-12-06,2025-..","04.2025-01-03,2024-..","05.G27,G09,GTF","05.戈兆康,杨文杰,罗冲",00.[-inf ~ 10.0),00.[-inf ~ inf),1,471.1975534096461
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","02.48W,37W,47W,38W,..",03.[38.0 ~ inf),"01.2024-12-17,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,289.9180029225472
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,364.13820663003736
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",01.[36.0 ~ 37.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,352.8615164798678
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","01.48.0,32W,45.0,30..",03.[38.0 ~ inf),"01.2024-12-17,2024-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,347.989943708412
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","00.35.0,39.0,51.0,2..",02.[37.0 ~ 38.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,376.223235680606
"00.2024-11-01,2024-..",00.[-inf ~ 26400.0),01.[1670.0 ~ 1744.0),00.[-inf ~ 15.74740207833733),02.Cobb,"01.L5,L4,大岗垅平,L3","00.35.0,39.0,51.0,2..",01.[36.0 ~ 37.0),"00.2025-01-09,2025-..","01.2025-03-07,2025-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,277.21442269850724
"00.2024-11-01,2024-..",01.[26400.0 ~ 27300.0),01.[1670.0 ~ 1744.0),01.[15.74740207833733 ~ inf),"03.901plus,SZ901 PI..","00.L7,L6,大岭头","00.35.0,39.0,51.0,2..",03.[38.0 ~ inf),"00.2025-01-09,2025-..","00.2024-12-09,2024-..","01.G06,G1A,G16,G30,..","02.张明明,史成志,高阳阳,丁家宝,..",01.[10.0 ~ 22.0),00.[-inf ~ inf),0,345.1266535291381
