Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 3.15)",61,0.150990099,45,16,0.262295082,-0.349129401,0.020323513,0.002527615,W3_0-2天_外部-平均_MEAN,334.6551979
"[3.15, 5.05)",50,0.123762376,45,5,0.1,0.814021409,0.06316032,0.007684036,W3_0-2天_外部-平均_MEAN,298.2046736
"[5.05, 8.05)",59,0.146039604,57,2,0.033898305,1.966700919,0.298504351,0.032265471,W3_0-2天_外部-平均_MEAN,281.3449348
"[8.05, 11.70)",83,0.205445545,67,16,0.192771084,0.048900729,0.000484092,6.05E-05,W3_0-2天_外部-平均_MEAN,312.1818938
"[11.70, inf)",151,0.373762376,109,42,0.278145695,-0.429524905,0.077768584,0.009647028,W3_0-2天_外部-平均_MEAN,337.3434763
Special,0,0,0,0,0,0,0,0,W3_0-2天_外部-平均_MEAN,
Missing,0,0,0,0,0,0,0,0,W3_0-2天_外部-平均_MEAN,
,404,1,323,81,0.20049505,,0.460240861,0.052184656,W3_0-2天_外部-平均_MEAN,
"(-inf, 3.45)",70,0.173267327,58,12,0.171428571,0.192333192,0.006042804,0.000754188,W3_3-5天_外部-平均_MEAN,320.9418868
"[3.45, 4.35)",26,0.064356436,25,1,0.038461538,1.835672656,0.119417302,0.013131081,W3_3-5天_外部-平均_MEAN,318.8275425
"[4.35, 5.45)",34,0.084158416,30,4,0.117647059,0.631699852,0.027476758,0.003378604,W3_3-5天_外部-平均_MEAN,290.1030712
"[5.45, 12.75)",166,0.410891089,131,35,0.210843373,-0.063353907,0.001680526,0.000210031,W3_3-5天_外部-平均_MEAN,310.3940241
"[12.75, inf)",108,0.267326733,79,29,0.268518519,-0.381051146,0.043227451,0.005370976,W3_3-5天_外部-平均_MEAN,339.1588279
Special,0,0,0,0,0,0,0,0,W3_3-5天_外部-平均_MEAN,
Missing,0,0,0,0,0,0,0,0,W3_3-5天_外部-平均_MEAN,
,404,1,323,81,0.20049505,,0.197844842,0.02284488,W3_3-5天_外部-平均_MEAN,
"(-inf, 1.15)",26,0.064356436,22,4,0.153846154,0.321544924,0.006022131,0.00074954,W3_6-8天_外部-平均_MEAN,311.4054206
"[1.15, 4.05)",64,0.158415842,55,9,0.140625,0.426905439,0.025258939,0.003133608,W3_6-8天_外部-平均_MEAN,297.7751141
"[4.05, 5.05)",51,0.126237624,48,3,0.058823529,1.389385554,0.155013432,0.017954594,W3_6-8天_外部-平均_MEAN,291.9597249
"[5.05, 6.15)",42,0.103960396,39,3,0.071428571,1.181746189,0.098919243,0.011692174,W3_6-8天_外部-平均_MEAN,304.0144152
"[6.15, 6.75)",21,0.051980198,19,2,0.095238095,0.86808863,0.02962975,0.003591638,W3_6-8天_外部-平均_MEAN,283.143581
"[6.75, inf)",200,0.495049505,140,60,0.3,-0.535905308,0.164685956,0.02034289,W3_6-8天_外部-平均_MEAN,340.0739959
