Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 3.15)",61,0.1509900990099009,45,16,0.2622950819672131,-0.3491294010196792,0.020323513272674,0.002527615,W3_0-2天_外部-平均_MEAN,334.6551979
"[3.15, 5.05)",50,0.1237623762376237,45,5,0.1,0.8140214087860017,0.0631603202933755,0.007684036,W3_0-2天_外部-平均_MEAN,298.2046736
"[5.05, 8.05)",59,0.146039603960396,57,2,0.0338983050847457,1.966700918724388,0.2985043514984727,0.032265471,W3_0-2天_外部-平均_MEAN,281.3449348
"[8.05, 11.70)",83,0.2054455445544554,67,16,0.1927710843373494,0.0489007286009671,0.0004840916067595,6.05e-05,W3_0-2天_外部-平均_MEAN,312.1818938
"[11.70, inf)",151,0.3737623762376237,109,42,0.2781456953642384,-0.4295249046044423,0.0777685843791324,0.009647028,W3_0-2天_外部-平均_MEAN,337.3434763
,404,1.0,323,81,0.2004950495049505,,0.4602408610504144,0.05218465,W3_0-2天_外部-平均_MEAN,318.7463218113861
"(-inf, 3.45)",70,0.173267327,58,12,0.171428571,0.192333192,0.006042804,0.000754188,W3_3-5天_外部-平均_MEAN,320.9418868
"[3.45, 4.35)",26,0.064356436,25,1,0.038461538,1.835672656,0.119417302,0.013131081,W3_3-5天_外部-平均_MEAN,318.8275425
"[4.35, 5.45)",34,0.084158416,30,4,0.117647059,0.631699852,0.027476758,0.003378604,W3_3-5天_外部-平均_MEAN,290.1030712
"[5.45, 12.75)",166,0.410891089,131,35,0.210843373,-0.063353907,0.001680526,0.000210031,W3_3-5天_外部-平均_MEAN,310.3940241
"[12.75, inf)",108,0.267326733,79,29,0.268518519,-0.381051146,0.043227451,0.005370976,W3_3-5天_外部-平均_MEAN,339.1588279
,404,1.0,323,81,0.2004950495049505,,0.197844841,0.0228448799999999,W3_3-5天_外部-平均_MEAN,318.74632182079205
"[-inf, 2.05)",41,0.1014851485148514,35,6,0.1463414634146341,0.3803854237111409,0.0130415367147839,0.001620434,W3_9-11天_外部-平均_MEAN,324.418157
"[2.05, 5.45)",135,0.3341584158415842,127,8,0.0592592592592592,1.3815423762285377,0.4067584345865698,0.0481553859999999,W3_9-11天_外部-平均_MEAN,282.5383237933333
"[5.45, 5.95)",21,0.0519801980198019,16,5,0.238095238095238,-0.2200523587445367,0.00268305249549,0.000334707,W3_9-11天_外部-平均_MEAN,302.5781127
"[5.95, 6.55)",23,0.0569306930693069,17,6,0.2608695652173913,-0.3417492937220567,0.0073279575651902,0.000911563,W3_9-11天_外部-平均_MEAN,337.2455155
"[6.55, inf)",184,0.4554455445544554,128,56,0.3043478260869565,-0.5565245953657498,0.1642154904339559,0.02173262,W3_9-11天_外部-平均_MEAN,343.5810252478261
,404,1.0,323,81,0.2004950495049505,,0.59402647179599,0.0727547099999999,W3_9-11天_外部-平均_MEAN,318.74632182648514
"(-inf, 1.45)",33,0.081683168,24,9,0.272727273,-0.402373916,0.014810461,0.001838919,W3_12-14天_外部-平均_MEAN,308.4936788
"[1.45, 2.65)",41,0.101485149,37,4,0.097560976,0.841420383,0.054833993,0.006658949,W3_12-14天_外部-平均_MEAN,302.1439356
"[2.65, 3.15)",22,0.054455446,21,1,0.045454545,1.661319269,0.087501355,0.009831294,W3_12-14天_外部-平均_MEAN,285.9134192
"[3.15, 5.25)",101,0.25,84,17,0.168316832,0.214400286,0.010759759,0.0013424,W3_12-14天_外部-平均_MEAN,306.6175176
"[5.25, 13.00)",172,0.425742574,142,30,0.174418605,0.171426507,0.011872676,0.00148227,W3_12-14天_外部-平均_MEAN,326.4711966
"[13.00, inf)",35,0.086633663,15,20,0.571428571,-1.670885241,0.334968967,0.037592734,W3_12-14天_外部-平均_MEAN,365.5374557
,404,1.0,323,81,0.2004950495049505,,0.514747211,0.058746566,W3_12-14天_外部-平均_MEAN,318.7463218433168
"[-inf, 2.75)",93,0.2301980198019802,84,9,0.0967741935483871,0.8503890529568766,0.1266661368869376,0.015372793,W3_15-17天_外部-平均_MEAN,292.2320539
"[2.75, 6.45)",149,0.3688118811881188,127,22,0.1476510067114094,0.3699414645500576,0.0449789320312553,0.005590524,W3_15-17天_外部-平均_MEAN,309.7091991
"[6.45, 11.95)",127,0.3143564356435643,96,31,0.2440944881889764,-0.2528421815675277,0.0216186201951824,0.002695152,W3_15-17天_外部-平均_MEAN,336.4452531
"[11.95, inf)",35,0.0866336633663366,16,19,0.5428571428571428,-1.5550534254768769,0.2877351080813958,0.032731321,W3_15-17天_外部-平均_MEAN,363.4490054
,404,1.0,323,81,0.2004950495049505,,0.4809987971947712,0.0563897899999999,W3_15-17天_外部-平均_MEAN,318.74632181014846
"[-inf, 1.95)",67,0.1658415841584158,60,7,0.1044776119402985,0.7652312446165697,0.0760171236004458,0.009276879,W3_18-20天_外部-平均_MEAN,296.5345992
"[1.95, 2.75)",31,0.0767326732673267,30,1,0.032258064516129,2.0179942131119377,0.162516294271561,0.017445395,W3_18-20天_外部-平均_MEAN,281.9132205
