Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature
"(-inf, 0.76)",99,0.245049505,75,24,0.242424242,-0.243768885,0.015625136,0.00194832,最低温度变化率_0
"[0.76, 0.85)",35,0.086633663,28,7,0.2,0.003091193,8.27E-07,1.03E-07,最低温度变化率_0
"[0.85, 0.96)",41,0.101485149,34,7,0.170731707,0.197247207,0.003716809,0.000463849,最低温度变化率_0
"[0.96, 0.96)",24,0.059405941,23,1,0.041666667,1.752291047,0.10314292,0.011461233,最低温度变化率_0
"[0.96, 1.26)",99,0.245049505,83,16,0.161616162,0.263048717,0.015634322,0.001948675,最低温度变化率_0
"[1.26, 2.59)",71,0.175742574,54,17,0.23943662,-0.227432466,0.009709975,0.001211138,最低温度变化率_0
"[2.59, inf)",35,0.086633663,26,9,0.257142857,-0.322331208,0.009868413,0.001228239,最低温度变化率_0
Special,0,0,0,0,0,0,0,0,最低温度变化率_0
Missing,0,0,0,0,0,0,0,0,最低温度变化率_0
,404,1,323,81,0.20049505,,0.157698401,0.018261558,最低温度变化率_0
"(-inf, 0.34)",150,0.371287129,118,32,0.213333333,-0.078254447,0.002327025,0.000290804,最低温度变化率_1
"[0.34, 0.37)",37,0.091584158,35,2,0.054054054,1.478997712,0.123744448,0.014196408,最低温度变化率_1
"[0.37, 0.41)",59,0.146039604,50,9,0.152542373,0.33159526,0.014486618,0.001802576,最低温度变化率_1
"[0.41, 0.42)",24,0.059405941,20,4,0.166666667,0.226234744,0.002836257,0.000353778,最低温度变化率_1
"[0.42, 0.93)",112,0.277227723,85,27,0.241071429,-0.236388778,0.016588686,0.002068771,最低温度变化率_1
"[0.93, inf)",22,0.054455446,15,7,0.318181818,-0.621063117,0.024830181,0.003054832,最低温度变化率_1
Special,0,0,0,0,0,0,0,0,最低温度变化率_1
Missing,0,0,0,0,0,0,0,0,最低温度变化率_1
,404,1,323,81,0.20049505,,0.184813215,0.02176717,最低温度变化率_1
"(-inf, 0.42)",240,0.594059406,189,51,0.2125,-0.073281786,0.003260329,0.00040745,最低温度变化率_2
"[0.42, 0.43)",23,0.056930693,21,2,0.086956522,0.968172089,0.039040689,0.004697995,最低温度变化率_2
"[0.43, 0.45)",25,0.061881188,24,1,0.04,1.794850662,0.111204867,0.012291558,最低温度变化率_2
"[0.45, inf)",116,0.287128713,89,27,0.232758621,-0.190403665,0.011003721,0.001373391,最低温度变化率_2
Special,0,0,0,0,0,0,0,0,最低温度变化率_2
Missing,0,0,0,0,0,0,0,0,最低温度变化率_2
,404,1,323,81,0.20049505,,0.164509606,0.018770394,最低温度变化率_2
"(-inf, 0.35)",102,0.252475248,78,24,0.235294118,-0.204548172,0.011211332,0.001398978,最低温度变化率_3
"[0.35, 0.36)",21,0.051980198,19,2,0.095238095,0.86808863,0.02962975,0.003591638,最低温度变化率_3
"[0.36, 0.39)",53,0.131188119,48,5,0.094339623,0.87855993,0.076327895,0.009245512,最低温度变化率_3
"[0.39, 0.52)",157,0.388613861,125,32,0.203821656,-0.020625334,0.00016634,2.08E-05,最低温度变化率_3
"[0.52, inf)",71,0.175742574,53,18,0.253521127,-0.303283013,0.01763152,0.002195532,最低温度变化率_3
Special,0,0,0,0,0,0,0,0,最低温度变化率_3
Missing,0,0,0,0,0,0,0,0,最低温度变化率_3
,404,1,323,81,0.20049505,,0.134966837,0.016452452,最低温度变化率_3
"(-inf, 0.42)",129,0.319306931,106,23,0.178294574,0.14474171,0.006400878,0.000799412,最低温度变化率_4
"[0.42, 0.43)",30,0.074257426,28,2,0.066666667,1.255854161,0.07785787,0.009139207,最低温度变化率_4
"[0.43, 0.44)",31,0.076732673,27,4,0.129032258,0.526339336,0.01800534,0.002225043,最低温度变化率_4
"[0.44, 0.56)",133,0.329207921,105,28,0.210526316,-0.061447329,0.001265914,0.000158214,最低温度变化率_4
"[0.56, inf)",81,0.20049505,57,24,0.296296296,-0.518205731,0.062094369,0.007676099,最低温度变化率_4
Special,0,0,0,0,0,0,0,0,最低温度变化率_4
Missing,0,0,0,0,0,0,0,0,最低温度变化率_4
,404,1,323,81,0.20049505,,0.16562437,0.019997975,最低温度变化率_4
"(-inf, 0.35)",62,0.153465347,52,10,0.161290323,0.265455457,0.009963584,0.001241804,最低温度变化率_5
"[0.35, 0.38)",29,0.071782178,28,1,0.034482759,1.949001342,0.144891932,0.015698446,最低温度变化率_5
"[0.38, 0.39)",25,0.061881188,22,3,0.12,0.609226996,0.018931374,0.002330491,最低温度变化率_5
"[0.39, 0.55)",215,0.532178218,171,44,0.204651163,-0.025729246,0.000355015,4.44E-05,最低温度变化率_5
"[0.55, inf)",73,0.180693069,50,23,0.315068493,-0.606674379,0.078353122,0.009646652,最低温度变化率_5
Special,0,0,0,0,0,0,0,0,最低温度变化率_5
Missing,0,0,0,0,0,0,0,0,最低温度变化率_5
,404,1,323,81,0.20049505,,0.252495027,0.028961769,最低温度变化率_5
"(-inf, 0.39)",59,0.146039604,47,12,0.203389831,-0.017962217,4.74E-05,5.92E-06,最低温度变化率_6
"[0.39, 0.44)",61,0.150990099,51,10,0.163934426,0.246037371,0.008473022,0.001056464,最低温度变化率_6
"[0.44, 0.48)",51,0.126237624,43,8,0.156862745,0.298555405,0.010258812,0.00127761,最低温度变化率_6
"[0.48, 0.51)",27,0.066831683,23,4,0.148148148,0.365996686,0.007987773,0.000992936,最低温度变化率_6
"[0.51, 0.52)",24,0.059405941,23,1,0.041666667,1.752291047,0.10314292,0.011461233,最低温度变化率_6
"[0.52, inf)",182,0.45049505,136,46,0.252747253,-0.299189679,0.043935586,0.005471556,最低温度变化率_6
Special,0,0,0,0,0,0,0,0,最低温度变化率_6
Missing,0,0,0,0,0,0,0,0,最低温度变化率_6
