Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 39.35)",26,0.06435643564356436,19,7,0.2692307692307692,-0.3846743384390905,0.010615559085465097,0.0013188235334499832,W3_0-2天_湿度内部平均_MEAN,314.99277001212164
"[39.35, 48.05)",38,0.09405940594059406,36,2,0.05263157894736842,1.5071685893459468,0.13076759919792452,0.014955658180037341,W3_0-2天_湿度内部平均_MEAN,306.93713923532204
"[48.05, 57.60)",145,0.3589108910891089,130,15,0.10344827586206896,0.7762810808031544,0.16867935421648642,0.020570955520915098,W3_0-2天_湿度内部平均_MEAN,300.67650576105734
"[57.60, 61.25)",47,0.11633663366336634,38,9,0.19148936170212766,0.057158413839948574,0.0003735844041826711,4.669169462498987e-05,W3_0-2天_湿度内部平均_MEAN,332.8196167739459
"[61.25, 63.25)",23,0.05693069306930693,18,5,0.21739130434782608,-0.10226932308815329,0.0006137019349784077,7.667932852537624e-05,W3_0-2天_湿度内部平均_MEAN,326.73637332249746
"[63.25, 65.55)",22,0.054455445544554455,17,5,0.22727272727272727,-0.15942773692810186,0.0014502848063635025,0.00018109385391636796,W3_0-2天_湿度内部平均_MEAN,319.3561317339793
"[65.55, 69.30)",49,0.12128712871287128,34,15,0.30612244897959184,-0.5648928450362665,0.04514738137716749,0.005569564848031797,W3_0-2天_湿度内部平均_MEAN,341.54520568511475
"[69.30, inf)",54,0.13366336633663367,31,23,0.42592592592592593,-1.0847101799942214,0.20389881379091004,0.02430701092080726,W3_0-2天_湿度内部平均_MEAN,340.7960892407386
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.5615462788134782,0.06702647788030822,W3_0-2天_湿度内部平均_MEAN,
"(-inf, 53.65)",28,0.06930693069306931,21,7,0.25,-0.28459087988210796,0.0060914609461445715,0.0007588733988111388,W3_3-5天_湿度内部平均_MEAN,312.3255220243678
"[53.65, 67.35)",161,0.39851485148514854,135,26,0.16149068322981366,0.26397507186672975,0.025597399278595463,0.0031904170562584364,W3_3-5天_湿度内部平均_MEAN,313.8520212466985
"[67.35, 68.55)",28,0.06930693069306931,25,3,0.10714285714285714,0.7370603676498733,0.029749483936791134,0.0036367322084543147,W3_3-5天_湿度内部平均_MEAN,310.70968744522844
"[68.55, 70.60)",30,0.07425742574257425,28,2,0.06666666666666667,1.2558541610650407,0.07785786986383429,0.009139207393364436,W3_3-5天_湿度内部平均_MEAN,316.2402276967901
"[70.60, 75.85)",68,0.16831683168316833,54,14,0.20588235294117646,-0.03327645160120185,0.000188239683407022,2.3528874850627145e-05,W3_3-5天_湿度内部平均_MEAN,316.702991225727
"[75.85, 78.25)",23,0.05693069306930693,16,7,0.30434782608695654,-0.5565245953657498,0.020526936304244483,0.0025332589865419974,W3_3-5天_湿度内部平均_MEAN,318.38515259395865
"[78.25, inf)",66,0.16336633663366337,44,22,0.3333333333333333,-0.6900559879902725,0.0934211791255416,0.01145133390398816,W3_3-5天_湿度内部平均_MEAN,340.1891513233383
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.25343256913855855,0.030733351822269113,W3_3-5天_湿度内部平均_MEAN,
"(-inf, 74.15)",261,0.6460396039603961,212,49,0.18773946360153257,0.08156280801116811,0.004193019790353596,0.0005239822406993486,W3_6-8天_湿度内部平均_MEAN,318.44425773443294
"[74.15, 76.20)",34,0.08415841584158416,33,1,0.029411764705882353,2.1133043929162625,0.18982017824229702,0.020110424168961187,W3_6-8天_湿度内部平均_MEAN,300.0838601287778
"[76.20, 82.85)",52,0.12871287128712872,40,12,0.23076923076923078,-0.17923036422428185,0.004356935811896309,0.0005438891863033266,W3_6-8天_湿度内部平均_MEAN,315.73414150710465
"[82.85, inf)",57,0.14108910891089108,38,19,0.3333333333333333,-0.6900559879902725,0.0806819274266041,0.009889788371626164,W3_6-8天_湿度内部平均_MEAN,334.0094060646805
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.279052061271151,0.031068083967590025,W3_6-8天_湿度内部平均_MEAN,
"(-inf, 62.65)",58,0.14356435643564355,46,12,0.20689655172413793,-0.039468421849123025,0.00022628380833117156,2.828364027275608e-05,W3_9-11天_湿度内部平均_MEAN,316.8293042360407
"[62.65, 64.15)",24,0.0594059405940594,23,1,0.041666666666666664,1.752291047378932,0.10314291988547014,0.011461232784423882,W3_9-11天_湿度内部平均_MEAN,310.116043501518
"[64.15, 68.05)",55,0.13613861386138615,47,8,0.14545454545454545,0.38750289148000494,0.01811397914153751,0.002250186406755105,W3_9-11天_湿度内部平均_MEAN,318.50579220269447
"[68.05, 72.05)",60,0.1485148514851485,50,10,0.16666666666666666,0.22623474388388254,0.0070906428920530515,0.0008844450062147347,W3_9-11天_湿度内部平均_MEAN,320.4827106490104
"[72.05, 75.75)",57,0.14108910891089108,47,10,0.17543859649122806,0.16435934016579523,0.0036247884140069467,0.0004525892395720139,W3_9-11天_湿度内部平均_MEAN,308.00696592219805
"[75.75, 84.65)",78,0.19306930693069307,61,17,0.21794871794871795,-0.10554264843312255,0.0022187232594969015,0.0002772117555755694,W3_9-11天_湿度内部平均_MEAN,317.1631010113988
"[84.65, 92.85)",51,0.12623762376237624,36,15,0.29411764705882354,-0.5077344311963179,0.03743529861933635,0.004629787829063765,W3_9-11天_湿度内部平均_MEAN,332.1712596222649
"[92.85, inf)",21,0.05198019801980198,13,8,0.38095238095238093,-0.897695352768517,0.05253111589223711,0.0063544249410228005,W3_9-11天_湿度内部平均_MEAN,331.99975905315
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.22438375191246918,0.026338161602900624,W3_9-11天_湿度内部平均_MEAN,
"(-inf, 63.75)",40,0.09900990099009901,29,11,0.275,-0.41380261136211427,0.019042859919733424,0.0023635184557059125,W3_12-14天_湿度内部平均_MEAN,318.07811787976715
"[63.75, 66.45)",27,0.06683168316831684,26,1,0.037037037037037035,1.8748933694712644,0.127773377585417,0.013979126786839154,W3_12-14天_湿度内部平均_MEAN,318.11546435710653
"[66.45, 67.95)",27,0.06683168316831684,24,3,0.1111111111111111,0.696238373129618,0.025946275801757353,0.003179324805069512,W3_12-14天_湿度内部平均_MEAN,324.042149099017
"[67.95, 84.55)",223,0.551980198019802,184,39,0.17488789237668162,0.16817094292912138,0.014828970887798942,0.0018514401479930997,W3_12-14天_湿度内部平均_MEAN,313.68401110819616
"[84.55, inf)",87,0.21534653465346534,60,27,0.3103448275862069,-0.5846954723324461,0.08628632873430318,0.010634731590629304,W3_12-14天_湿度内部平均_MEAN,330.58160070675746
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.27387781292900987,0.03200814178623698,W3_12-14天_湿度内部平均_MEAN,
"(-inf, 71.05)",138,0.3415841584158416,109,29,0.21014492753623187,-0.05915111630754799,0.0012163475355831065,0.0001520212800795095,W3_15-17天_湿度内部平均_MEAN,321.63896379968435
"[71.05, 74.45)",57,0.14108910891089108,49,8,0.14035087719298245,0.429175587880573,0.022719420143507772,0.002818330825737231,W3_15-17天_湿度内部平均_MEAN,306.67936287160114
"[74.45, 78.25)",52,0.12871287128712872,45,7,0.1346153846153846,0.47754917216478865,0.025261936867945867,0.003128074575445037,W3_15-17天_湿度内部平均_MEAN,305.5961662234468
"[78.25, 80.15)",25,0.06188118811881188,24,1,0.04,1.794850661797728,0.11120486652043407,0.012291558363134447,W3_15-17天_湿度内部平均_MEAN,314.34473096475455
"[80.15, 87.15)",73,0.1806930693069307,57,16,0.2191780821917808,-0.11274062295544884,0.0023743486315962294,0.00029663649630073865,W3_15-17天_湿度内部平均_MEAN,321.59267300054165
"[87.15, 89.85)",24,0.0594059405940594,17,7,0.2916666666666667,-0.49589997354931503,0.016755554661835204,0.002073243991914513,W3_15-17天_湿度内部平均_MEAN,323.78905217993383
"[89.85, inf)",35,0.08663366336633663,22,13,0.37142857142857144,-0.8571100726534387,0.07918186162150218,0.009605472718137623,W3_15-17天_湿度内部平均_MEAN,340.2797722853689
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_湿度内部平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.2587143359824044,0.030365338250749097,W3_15-17天_湿度内部平均_MEAN,
"(-inf, 62.50)",44,0.10891089108910891,37,7,0.1590909090909091,0.2818045950386934,0.007927538200836234,0.0009876763012424883,W3_18-20天_湿度内部平均_MEAN,303.58696543791103
"[62.50, 69.55)",61,0.15099009900990099,54,7,0.11475409836065574,0.6598707289587433,0.05329307993310493,0.006543345148695815,W3_18-20天_湿度内部平均_MEAN,319.3315822264444
"[69.55, 70.95)",24,0.0594059405940594,22,2,0.08333333333333333,1.014692104248153,0.04405802967648593,0.0052825223763015815,W3_18-20天_湿度内部平均_MEAN,324.3465063864643
"[70.95, 72.55)",25,0.06188118811881188,24,1,0.04,1.794850661797728,0.11120486652043407,0.012291558363134447,W3_18-20天_湿度内部平均_MEAN,301.69567399385306
"[72.55, 75.15)",46,0.11386138613861387,35,11,0.2391304347826087,-0.22575037985917468,0.006195343528604798,0.000772777668217161,W3_18-20天_湿度内部平均_MEAN,315.0053885892936
"[75.15, 85.10)",132,0.32673267326732675,100,32,0.24242424242424243,-0.24376888536185293,0.020833514033906767,0.002597760457883333,W3_18-20天_湿度内部平均_MEAN,323.2636787727415
"[85.10, inf)",72,0.1782178217821782,51,21,0.2916666666666667,-0.49589997354931503,0.05026666398550561,0.006219731975743537,W3_18-20天_湿度内部平均_MEAN,325.6763825806891
