Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 53.65)",28,0.0693069306930693,21,7,0.25,-0.2845908798821079,0.0060914609461445,0.0007588733988111,W3_3-5天_湿度内部平均_MEAN,312.3255220243678
"[53.65, 67.35)",161,0.3985148514851485,135,26,0.1614906832298136,0.2639750718667297,0.0255973992785954,0.0031904170562584,W3_3-5天_湿度内部平均_MEAN,313.8520212466985
"[67.35, 68.55)",28,0.0693069306930693,25,3,0.1071428571428571,0.7370603676498733,0.0297494839367911,0.0036367322084543,W3_3-5天_湿度内部平均_MEAN,310.70968744522844
"[68.55, 70.60)",30,0.0742574257425742,28,2,0.0666666666666666,1.2558541610650409,0.0778578698638342,0.0091392073933644,W3_3-5天_湿度内部平均_MEAN,316.2402276967901
"[70.60, 75.85)",68,0.1683168316831683,54,14,0.2058823529411764,-0.0332764516012018,0.000188239683407,2.3528874850627145e-05,W3_3-5天_湿度内部平均_MEAN,316.702991225727
"[75.85, 78.25)",23,0.0569306930693069,16,7,0.3043478260869565,-0.5565245953657498,0.0205269363042444,0.0025332589865419,W3_3-5天_湿度内部平均_MEAN,318.38515259395865
"[78.25, inf)",66,0.1633663366336633,44,22,0.3333333333333333,-0.6900559879902725,0.0934211791255416,0.0114513339039881,W3_3-5天_湿度内部平均_MEAN,340.1891513233383
,404,1.0,323,81,0.2004950495049505,,0.2534325691385581,0.0307333518222688,W3_3-5天_湿度内部平均_MEAN,318.7463218245585
"[-inf, 74.15)",261,0.6460396039603961,212,49,0.1877394636015325,0.0815628080111681,0.0041930197903535,0.0005239822406993,W3_6-8天_湿度内部平均_MEAN,318.44425773443294
"[74.15, 76.20)",34,0.0841584158415841,33,1,0.0294117647058823,2.1133043929162625,0.189820178242297,0.0201104241689611,W3_6-8天_湿度内部平均_MEAN,300.0838601287778
"[76.20, 82.85)",52,0.1287128712871287,40,12,0.2307692307692307,-0.1792303642242816,0.0043569358118963,0.0005438891863033,W3_6-8天_湿度内部平均_MEAN,315.73414150710465
"[82.85, inf)",57,0.141089108910891,38,19,0.3333333333333333,-0.6900559879902725,0.0806819274266041,0.0098897883716261,W3_6-8天_湿度内部平均_MEAN,334.0094060646805
,404,1.0,323,81,0.2004950495049505,,0.279052061271151,0.0310680839675898,W3_6-8天_湿度内部平均_MEAN,318.7463218245585
"[-inf, 71.05)",138,0.3415841584158416,109,29,0.2101449275362318,-0.059151116307548,0.0012163475355831,0.0001520212800795,W3_15-17天_湿度内部平均_MEAN,321.63896379968435
"[71.05, 78.25)",109,0.2698019801980198,94,15,0.1376146788990825,0.4520414126175761,0.0478424749278778,0.0059464054011822,W3_15-17天_湿度内部平均_MEAN,306.16260850734403
"[78.25, 80.15)",25,0.0618811881188118,24,1,0.04,1.7948506617977278,0.111204866520434,0.0122915583631344,W3_15-17天_湿度内部平均_MEAN,314.34473096475455
