Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 32.95)",25,0.0618811881188118,19,6,0.24,-0.2305236586118322,0.0035156113513787,0.0004384809571362,W3_0-2天_鸡舍温度-平均_MEAN,332.76903192780685
"[32.95, 33.35)",48,0.1188118811881188,29,19,0.3958333333333333,-0.9603463177301842,0.13904337620158,0.016790903641712,W3_0-2天_鸡舍温度-平均_MEAN,347.8802693681657
"[33.35, 33.65)",113,0.2797029702970297,83,30,0.2654867256637168,-0.365559942415775,0.0414561154740513,0.0051533519543684,W3_0-2天_鸡舍温度-平均_MEAN,333.41143348932536
"[33.65, 33.85)",101,0.25,86,15,0.1485148514851485,0.3630939266010801,0.0294355470825551,0.0036593637064195,W3_0-2天_鸡舍温度-平均_MEAN,317.0539423227319
"[33.85, 33.95)",43,0.1064356435643564,37,6,0.1395348837209302,0.4359552748659517,0.0176461658098476,0.0021884674562231,W3_0-2天_鸡舍温度-平均_MEAN,301.14417100812045
"[33.95, inf)",74,0.1831683168316831,69,5,0.0675675675675675,1.2414654236129412,0.1885710198921311,0.0221654769491757,W3_0-2天_鸡舍温度-平均_MEAN,285.25534833804954
,404,1.0,323,81,0.2004950495049505,,0.419667835811544,0.0503960446650349,W3_0-2天_鸡舍温度-平均_MEAN,318.7463218245585
"(-inf, 29.05)",34,0.0841584158415841,13,21,0.6176470588235294,-1.862776248812104,0.4079695717499276,0.0447042092056182,W3_6-8天_鸡舍温度-平均_MEAN,369.5379694190404
"[29.05, 29.25)",34,0.0841584158415841,24,10,0.2941176470588235,-0.5077344311963179,0.0249568657462242,0.0030865252193758,W3_6-8天_鸡舍温度-平均_MEAN,343.3468433052404
"[29.25, 29.45)",38,0.094059405940594,29,9,0.2368421052631578,-0.2131319158999631,0.0045456411371853,0.0005671321271868,W3_6-8天_鸡舍温度-平均_MEAN,333.23019860284234
"[29.45, 29.75)",103,0.2549504950495049,82,21,0.203883495145631,-0.0210063590093876,0.0001132093651463,1.4150910463756137e-05,W3_6-8天_鸡舍温度-平均_MEAN,323.4067472029948
