Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 32.95)",25,0.061881188,19,6,0.24,-0.230523659,0.003515611,0.000438481,W3_0-2天_鸡舍温度-平均_MEAN,332.7690319
"[32.95, 33.35)",48,0.118811881,29,19,0.395833333,-0.960346318,0.139043376,0.016790904,W3_0-2天_鸡舍温度-平均_MEAN,347.8802694
"[33.35, 33.65)",113,0.27970297,83,30,0.265486726,-0.365559942,0.041456115,0.005153352,W3_0-2天_鸡舍温度-平均_MEAN,333.4114335
"[33.65, 33.85)",101,0.25,86,15,0.148514851,0.363093927,0.029435547,0.003659364,W3_0-2天_鸡舍温度-平均_MEAN,317.0539423
"[33.85, 33.95)",43,0.106435644,37,6,0.139534884,0.435955275,0.017646166,0.002188467,W3_0-2天_鸡舍温度-平均_MEAN,301.144171
"[33.95, inf)",74,0.183168317,69,5,0.067567568,1.241465424,0.18857102,0.022165477,W3_0-2天_鸡舍温度-平均_MEAN,285.2553483
,404,1,323,81,0.20049505,,0.419667836,0.050396045,W3_0-2天_鸡舍温度-平均_MEAN,318.7463218
"(-inf, 31.25)",57,0.141089109,31,26,0.456140351,-1.207312502,0.27166031,0.032034665,W3_3-5天_鸡舍温度-平均_MEAN,356.9424019
"[31.25, 31.65)",109,0.26980198,87,22,0.201834862,-0.008337503,1.88E-05,,W3_3-5天_鸡舍温度-平均_MEAN,319.4709692
"[31.65, 31.95)",137,0.339108911,112,25,0.182481752,0.116419878,0.004436441,0.000554242,W3_3-5天_鸡舍温度-平均_MEAN,315.2365686
"[31.95, 32.05)",26,0.064356436,25,1,0.038461538,1.835672656,0.119417302,0.013131081,W3_3-5天_鸡舍温度-平均_MEAN,282.1696485
"[32.05, 32.25)",52,0.128712871,49,3,0.057692308,1.410004841,0.161679262,0.018686287,W3_3-5天_鸡舍温度-平均_MEAN,307.3553702
"[32.25, inf)",23,0.056930693,19,4,0.173913043,0.174941449,0.00165159,0.000206186,W3_3-5天_鸡舍温度-平均_MEAN,308.6591938
,404,1,323,81,0.20049505,,0.561881898,0.064991873,W3_3-5天_鸡舍温度-平均_MEAN,318.7463218
"(-inf, 29.05)",34,0.084158416,13,21,0.617647059,-1.862776249,0.407969572,0.044704209,W3_6-8天_鸡舍温度-平均_MEAN,369.5379694
"[29.05, 29.25)",34,0.084158416,24,10,0.294117647,-0.507734431,0.024956866,0.003086525,W3_6-8天_鸡舍温度-平均_MEAN,343.3468433
"[29.25, 29.45)",38,0.094059406,29,9,0.236842105,-0.213131916,0.004545641,0.000567132,W3_6-8天_鸡舍温度-平均_MEAN,333.2301986
"[29.45, 29.75)",103,0.254950495,82,21,0.203883495,-0.021006359,0.000113209,1.42E-05,W3_6-8天_鸡舍温度-平均_MEAN,323.4067472
"[29.75, 30.45)",157,0.388613861,138,19,0.121019108,0.599611537,0.115531161,0.01422887,W3_6-8天_鸡舍温度-平均_MEAN,301.7997123
"[30.45, inf)",38,0.094059406,37,1,0.026315789,2.227714744,0.227684487,0.023733609,W3_6-8天_鸡舍温度-平均_MEAN,294.1903435
,404,1,323,81,0.20049505,,0.780800936,0.086334497,W3_6-8天_鸡舍温度-平均_MEAN,318.7463218
"[-inf, 27.95)",32,0.079207921,13,19,0.59375,-1.76269279,0.342526856,0.038012445,W3_9-11天_鸡舍温度-平均_MEAN,373.862493
"[27.95, 28.05)",22,0.054455446,14,8,0.363636364,-0.823587381,0.045644678,0.005549609,W3_9-11天_鸡舍温度-平均_MEAN,347.2392011
"[28.05, 28.35)",67,0.165841584,47,20,0.298507463,-0.52878784,0.053620538,0.006732978,W3_9-11天_鸡舍温度-平均_MEAN,337.9057642
"[28.35, 28.75)",138,0.341584158,117,21,0.152173913,0.334448329,0.034438092,0.00428481,W3_9-11天_鸡舍温度-平均_MEAN,317.1964021
"[28.75, 29.25)",97,0.24009901,86,11,0.113402062,0.673248855,0.087826256,0.010775534,W3_9-11天_鸡舍温度-平均_MEAN,299.6521492
"[29.25, inf)",48,0.118811881,46,2,0.041666667,1.752291047,0.20628584,0.022922466,W3_9-11天_鸡舍温度-平均_MEAN,285.2417426
,404,1,323,81,0.20049505,,0.77034226,0.088277842,W3_9-11天_鸡舍温度-平均_MEAN,318.7463218
"(-inf, 26.95)",61,0.150990099,32,29,0.475409836,-1.284763096,0.33269388,0.038943585,W3_12-14天_鸡舍温度-平均_MEAN,363.3097108
"[26.95, 27.15)",35,0.086633663,23,12,0.342857143,-0.732615602,0.05636797,0.006892533,W3_12-14天_鸡舍温度-平均_MEAN,332.2257214
"[27.15, 27.35)",56,0.138613861,46,10,0.178571429,0.142853135,0.00270822,0.00033824,W3_12-14天_鸡舍温度-平均_MEAN,324.0245828
"[27.35, 27.45)",35,0.086633663,29,6,0.171428571,0.192333192,0.003021402,0.000377094,W3_12-14天_鸡舍温度-平均_MEAN,317.8903143
"[27.45, 27.75)",95,0.235148515,82,13,0.136842105,0.458566721,0.042819191,0.00530599,W3_12-14天_鸡舍温度-平均_MEAN,312.0526346
"[27.75, 27.95)",31,0.076732673,30,1,0.032258065,2.017994213,0.162516294,0.017445395,W3_12-14天_鸡舍温度-平均_MEAN,294.401106
"[27.95, inf)",91,0.225247525,81,10,0.10989011,0.708660893,0.090224723,0.011047867,W3_12-14天_鸡舍温度-平均_MEAN,296.052189
,404,1,323,81,0.20049505,,0.690351681,0.080350705,W3_12-14天_鸡舍温度-平均_MEAN,318.7463218
