Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 33.34)",72,0.1782178217821782,47,25,0.3472222222222222,-0.75193139170836,0.12266342467650042,0.014981621591922192,W3_0-2天_鸡舍温度-平均_MEAN,343.49005036949234
"[33.34, 33.64)",111,0.2747524752475248,81,30,0.2702702702702703,-0.3899513955399344,0.046636773941996494,0.005792939441258166,W3_0-2天_鸡舍温度-平均_MEAN,333.3776471013694
"[33.64, 33.88)",118,0.29207920792079206,99,19,0.16101694915254236,0.2674777024179318,0.019240646560048442,0.0023979367911265426,W3_0-2天_鸡舍温度-平均_MEAN,317.9253074301908
"[33.88, 33.96)",34,0.08415841584158416,32,2,0.058823529411764705,1.3893855536895634,0.10334228824981428,0.011969729511203434,W3_0-2天_鸡舍温度-平均_MEAN,291.6630716311431
"[33.96, inf)",69,0.1707920792079208,64,5,0.07246376811594203,1.1662420023753537,0.15909175960240182,0.01883093830242696,W3_0-2天_鸡舍温度-平均_MEAN,284.1388528992005
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.45097489303076144,0.05397316563793729,W3_0-2天_鸡舍温度-平均_MEAN,
"(-inf, 31.25)",56,0.13861386138613863,30,26,0.4642857142857143,-1.2401023249095444,0.2828777538913794,0.033255011370534666,W3_3-5天_鸡舍温度-平均_MEAN,356.9274328193383
"[31.25, 31.39)",27,0.06683168316831684,20,7,0.25925925925925924,-0.3333810440515401,0.0081679184052684,0.0010162877624456026,W3_3-5天_鸡舍温度-平均_MEAN,327.30874969359434
"[31.39, 31.65)",82,0.20297029702970298,67,15,0.18292682926829268,0.11343924973853836,0.0025234737357271468,0.0003152651943110563,W3_3-5天_鸡舍温度-平均_MEAN,317.5085717965122
"[31.65, 31.95)",138,0.3415841584158416,113,25,0.18115942028985507,0.12530882529392207,0.005163127839576809,0.0006449690560257435,W3_3-5天_鸡舍温度-平均_MEAN,315.17744261393585
"[31.95, 32.06)",30,0.07425742574257425,28,2,0.06666666666666667,1.2558541610650407,0.07785786986383429,0.009139207393364436,W3_3-5天_鸡舍温度-平均_MEAN,283.3162896417632
"[32.06, 32.09)",26,0.06435643564356436,25,1,0.038461538461538464,1.8356726563179828,0.11941730157295445,0.013131080668493505,W3_3-5天_鸡舍温度-平均_MEAN,315.7597161751783
"[32.09, 32.24)",22,0.054455445544554455,21,1,0.045454545454545456,1.6613192691732053,0.08750135507857192,0.009831293562953777,W3_3-5天_鸡舍温度-平均_MEAN,300.4385818955536
"[32.24, inf)",23,0.05693069306930693,19,4,0.17391304347826086,0.17494144949633217,0.0016515895740394466,0.00020618583805418833,W3_3-5天_鸡舍温度-平均_MEAN,308.659193824557
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
,404,1.0,323,81,0.2004950495049505,,0.5851603899613519,0.06753930084618298,W3_3-5天_鸡舍温度-平均_MEAN,
"(-inf, 29.00)",28,0.06930693069306931,9,19,0.6785714285714286,-2.130417570380439,0.4403660979481487,0.04654273882038923,W3_6-8天_鸡舍温度-平均_MEAN,374.1127588772109
"[29.00, 29.19)",29,0.07178217821782178,19,10,0.3448275862068966,-0.741349282377823,0.04791582144635167,0.005855980546652338,W3_6-8天_鸡舍温度-平均_MEAN,349.93098115357435
"[29.19, 29.48)",54,0.13366336633663367,40,14,0.25925925925925924,-0.3333810440515401,0.0163358368105368,0.002032575524891205,W3_6-8天_鸡舍温度-平均_MEAN,333.3165617014296
"[29.48, 29.77)",117,0.2896039603960396,95,22,0.18803418803418803,0.07963126969200718,0.001792715584932628,0.00022403025928389216,W3_6-8天_鸡舍温度-平均_MEAN,321.5251346318305
"[29.77, 30.44)",137,0.33910891089108913,122,15,0.10948905109489052,0.7127676750808285,0.1372247364362701,0.016798970945594627,W3_6-8天_鸡舍温度-平均_MEAN,299.49902084348827
