Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 18.85)",30,0.16853932584269662,29,1,0.03333333333333333,1.9949877108413234,0.3520107424058829,0.037904685369927076,W3_0-2天_外部-平均_MEAN,442.4626734216196
"[18.85, 23.85)",25,0.1404494382022472,21,4,0.16,0.2859199574583817,0.010515053208563335,0.001309922746942695,W3_0-2天_外部-平均_MEAN,445.0732539576261
"[23.85, 27.35)",9,0.05056179775280899,3,6,0.6666666666666666,-2.065455299705096,0.3006061703796149,0.03205978419817425,W3_0-2天_外部-平均_MEAN,463.5615952528646
"[27.35, 29.75)",36,0.20224719101123595,21,15,0.4166666666666667,-1.0358358825239378,0.27841128767368756,0.03332451435922621,W3_0-2天_外部-平均_MEAN,455.06982619116167
"[29.75, 31.75)",44,0.24719101123595505,36,8,0.18181818181818182,0.13176927763112345,0.004124234041662704,0.0005151566117036314,W3_0-2天_外部-平均_MEAN,444.908492690694
"[31.75, inf)",34,0.19101123595505617,32,2,0.058823529411764705,1.4002806030946304,0.23776282540808674,0.027507820775748856,W3_0-2天_外部-平均_MEAN,442.4172153877941
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_外部-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,1.1834303131174984,0.13262188406172273,W3_0-2天_外部-平均_MEAN,
"(-inf, 14.00)",27,0.15168539325842698,26,1,0.037037037037037035,1.8857884188763314,0.2929021918207761,0.0319998183414032,W3_3-5天_外部-平均_MEAN,443.18070017463845
"[14.00, 17.45)",15,0.08426966292134831,13,2,0.13333333333333333,0.4994940577564406,0.017978659355865633,0.0022242576582590405,W3_3-5天_外部-平均_MEAN,442.09748627485845
"[17.45, 28.55)",14,0.07865168539325842,10,4,0.2857142857142857,-0.4560173872709956,0.01855469807362423,0.0022994476417943135,W3_3-5天_外部-平均_MEAN,442.44048427894273
"[28.55, 28.95)",10,0.056179775280898875,5,5,0.5,-1.3723081191451507,0.14227764146066704,0.016508631725096874,W3_3-5天_外部-平均_MEAN,460.29349356122555
"[28.95, 29.35)",12,0.06741573033707865,7,5,0.4166666666666667,-1.0358358825239378,0.09280376255789585,0.011108171453075404,W3_3-5天_外部-平均_MEAN,456.629159580417
"[29.35, 30.55)",37,0.20786516853932585,25,12,0.32432432432432434,-0.6383389440649504,0.10039603110880674,0.012340684457547817,W3_3-5天_外部-平均_MEAN,454.0199118118378
"[30.55, inf)",63,0.3539325842696629,56,7,0.1111111111111111,0.707133422534685,0.14137135325321754,0.01731220251813919,W3_3-5天_外部-平均_MEAN,442.86839820577467
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_外部-平均_MEAN,
