Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 18.85)",30,0.1685393258426966,29,1,0.0333333333333333,1.9949877108413236,0.3520107424058829,0.037904685369927,W3_0-2天_外部-平均_MEAN,442.4626734216196
"[18.85, 23.85)",25,0.1404494382022472,21,4,0.16,0.2859199574583817,0.0105150532085633,0.0013099227469426,W3_0-2天_外部-平均_MEAN,445.0732539576261
"[23.85, 27.35)",9,0.0505617977528089,3,6,0.6666666666666666,-2.065455299705096,0.3006061703796149,0.0320597841981742,W3_0-2天_外部-平均_MEAN,463.5615952528646
"[27.35, 29.75)",36,0.2022471910112359,21,15,0.4166666666666667,-1.0358358825239378,0.2784112876736875,0.0333245143592262,W3_0-2天_外部-平均_MEAN,455.06982619116167
"[29.75, 31.75)",44,0.247191011235955,36,8,0.1818181818181818,0.1317692776311234,0.0041242340416627,0.0005151566117036,W3_0-2天_外部-平均_MEAN,444.908492690694
"[31.75, inf)",34,0.1910112359550561,32,2,0.0588235294117647,1.4002806030946304,0.2377628254080867,0.0275078207757488,W3_0-2天_外部-平均_MEAN,442.4172153877941
,178,1.0,142,36,0.20224719101123595,,1.1834303131174981,0.13262188406172237,W3_0-2天_外部-平均_MEAN,447.04179018720436
"(-inf, 14.00)",27,0.1516853932584269,26,1,0.037037037037037,1.8857884188763316,0.2929021918207761,0.0319998183414032,W3_3-5天_外部-平均_MEAN,443.1807001746385
"[14.00, 17.45)",15,0.0842696629213483,13,2,0.1333333333333333,0.4994940577564406,0.0179786593558656,0.002224257658259,W3_3-5天_外部-平均_MEAN,442.09748627485845
"[17.45, 28.55)",14,0.0786516853932584,10,4,0.2857142857142857,-0.4560173872709956,0.0185546980736242,0.0022994476417943,W3_3-5天_外部-平均_MEAN,442.44048427894273
"[28.55, 28.95)",10,0.0561797752808988,5,5,0.5,-1.3723081191451507,0.142277641460667,0.0165086317250968,W3_3-5天_外部-平均_MEAN,460.2934935612256
"[28.95, 29.35)",12,0.0674157303370786,7,5,0.4166666666666667,-1.0358358825239378,0.0928037625578958,0.0111081714530754,W3_3-5天_外部-平均_MEAN,456.629159580417
"[29.35, 30.55)",37,0.2078651685393258,25,12,0.3243243243243243,-0.6383389440649504,0.1003960311088067,0.0123406844575478,W3_3-5天_外部-平均_MEAN,454.0199118118378
"[30.55, inf)",63,0.3539325842696629,56,7,0.1111111111111111,0.707133422534685,0.1413713532532175,0.0173122025181391,W3_3-5天_外部-平均_MEAN,442.86839820577467
,178,1.0,142,36,0.20224719101123595,,0.8062843376308528,0.09379321379531559,W3_3-5天_外部-平均_MEAN,447.04179018720436
"(-inf, 11.30)",27,0.1516853932584269,26,1,0.037037037037037,1.8857884188763316,0.2929021918207761,0.0319998183414032,W3_6-8天_外部-平均_MEAN,443.1807001746385
"[11.30, 27.20)",20,0.1123595505617977,18,2,0.1,0.8249164581910688,0.0587381828602404,0.0071409276084658,W3_6-8天_外部-平均_MEAN,443.00538069303286
"[27.20, 29.75)",68,0.3820224719101123,50,18,0.2647058823529412,-0.3506568716131695,0.0518577063653278,0.0064492055348183,W3_6-8天_外部-平均_MEAN,449.79303599705537
"[29.75, 30.45)",9,0.0505617977528089,4,5,0.5555555555555556,-1.5954516704593606,0.1766482092097022,0.0200017308848596,W3_6-8天_外部-平均_MEAN,457.160135031646
"[30.45, 30.85)",12,0.0674157303370786,7,5,0.4166666666666667,-1.0358358825239378,0.0928037625578958,0.0111081714530754,W3_6-8天_外部-平均_MEAN,448.5161918933661
"[30.85, inf)",42,0.2359550561797752,37,5,0.119047619047619,0.6291718810649736,0.0765541686272326,0.0094144942975845,W3_6-8天_外部-平均_MEAN,444.40214687955984
,178,1.0,142,36,0.20224719101123595,,0.749504221441175,0.08611434812020678,W3_6-8天_外部-平均_MEAN,447.0417901872044
"(-inf, 12.05)",25,0.1404494382022472,24,1,0.04,1.805745711202795,0.2550368551424917,0.0281506849868686,W3_9-11天_外部-平均_MEAN,443.5464901351591
"[12.05, 24.55)",17,0.095505617977528,15,2,0.1176470588235294,0.642594901397114,0.0321800263610448,0.0039546927949203,W3_9-11天_外部-平均_MEAN,441.686996791714
"[24.55, 27.20)",9,0.0505617977528089,3,6,0.6666666666666666,-2.065455299705096,0.3006061703796149,0.0320597841981742,W3_9-11天_外部-平均_MEAN,465.6456255603898
"[27.20, 29.05)",40,0.2247191011235955,27,13,0.325,-0.6414206106023586,0.1096638524386661,0.0134777221841735,W3_9-11天_外部-平均_MEAN,446.8906142286577
"[29.05, 29.85)",21,0.1179775280898876,16,5,0.238095238095238,-0.2091573093394698,0.0054826055265041,0.0006840792171714,W3_9-11天_外部-平均_MEAN,453.16825782732633
"[29.85, inf)",66,0.3707865168539326,57,9,0.1363636363636363,0.4735185713531802,0.0716947132682632,0.0088790407588128,W3_9-11天_外部-平均_MEAN,445.35043698364535
,178,1.0,142,36,0.20224719101123595,,0.7746642231165847,0.08720600414012081,W3_9-11天_外部-平均_MEAN,447.04179018720436
"(-inf, 10.90)",22,0.1235955056179775,21,1,0.0454545454545454,1.6722143185782723,0.2008489028965295,0.0225371840159,W3_12-14天_外部-平均_MEAN,443.3404246403149
"[10.90, 26.75)",22,0.1235955056179775,20,2,0.0909090909090909,0.9302769738488952,0.0793428717914941,0.009575023094147,W3_12-14天_外部-平均_MEAN,445.7132744288794
"[26.75, 29.45)",66,0.3707865168539326,49,17,0.2575757575757575,-0.3137011650907402,0.0398876677051997,0.0049656143506984,W3_12-14天_外部-平均_MEAN,444.9774403015991
"[29.45, 29.85)",14,0.0786516853932584,10,4,0.2857142857142857,-0.4560173872709956,0.0185546980736242,0.0022994476417943,W3_12-14天_外部-平均_MEAN,451.6249774731587
"[29.85, 30.95)",15,0.0842696629213483,6,9,0.6,-1.777773227253315,0.3693261281969915,0.0409095010682169,W3_12-14天_外部-平均_MEAN,464.24957144258326
"[30.95, inf)",39,0.2191011235955056,36,3,0.0769230769230769,1.1125985306428496,0.1893506889004849,0.0225189273635012,W3_12-14天_外部-平均_MEAN,445.1090501956819
,178,1.0,142,36,0.20224719101123595,,0.8973109575643239,0.10280569753425779,W3_12-14天_外部-平均_MEAN,447.04179018720436
"(-inf, 10.30)",22,0.1235955056179775,21,1,0.0454545454545454,1.6722143185782723,0.2008489028965295,0.0225371840159,W3_15-17天_外部-平均_MEAN,443.3404246403149
