Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 50.25)",11,0.06179775280898876,8,3,0.2727272727272727,-0.3914788661334244,0.010568091456653474,0.0013126400234000348,W3_0-2天_湿度内部平均_MEAN,451.5085597173815
"[50.25, 67.40)",59,0.33146067415730335,45,14,0.23728813559322035,-0.2047029589900895,0.01473605025593759,0.0018387969157891253,W3_0-2天_湿度内部平均_MEAN,448.1244396052557
"[67.40, 71.85)",37,0.20786516853932585,32,5,0.13513513513513514,0.4839898712204753,0.04184732454605833,0.005180451052614565,W3_0-2天_湿度内部平均_MEAN,445.325353290658
"[71.85, 74.45)",17,0.09550561797752809,16,1,0.058823529411764705,1.4002806030946304,0.11888141270404337,0.013753910387874428,W3_0-2天_湿度内部平均_MEAN,448.2305955873345
"[74.45, 79.05)",26,0.14606741573033707,20,6,0.23076923076923078,-0.16833531481921482,0.0043466865328905145,0.0005426952080533169,W3_0-2天_湿度内部平均_MEAN,446.1434736433787
"[79.05, inf)",28,0.15730337078651685,21,7,0.25,-0.27369583047704094,0.012742489760081336,0.001587858243597062,W3_0-2天_湿度内部平均_MEAN,445.3862160090792
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.20312205525566462,0.02421635183132853,W3_0-2天_湿度内部平均_MEAN,
"(-inf, 66.15)",16,0.0898876404494382,13,3,0.1875,0.09402894964827624,0.0007725383187064973,9.653173079811599e-05,W3_3-5天_湿度内部平均_MEAN,447.5640947832502
"[66.15, 70.05)",29,0.16292134831460675,25,4,0.13793103448275862,0.4602733446031595,0.02989255680912538,0.003703931809407736,W3_3-5天_湿度内部平均_MEAN,444.2364368336578
"[70.05, 71.75)",13,0.07303370786516854,12,1,0.07692307692307693,1.1125985306428496,0.06311689630016165,0.007506309121167076,W3_3-5天_湿度内部平均_MEAN,449.7928977007277
"[71.75, 76.65)",41,0.2303370786516854,36,5,0.12195121951219512,0.6017729068768591,0.06898257500583711,0.008495025093084967,W3_3-5天_湿度内部平均_MEAN,441.3953450422439
"[76.65, 79.20)",22,0.12359550561797752,18,4,0.18181818181818182,0.13176927763112345,0.002062117020831352,0.0002575783058518157,W3_3-5天_湿度内部平均_MEAN,445.4711763125819
"[79.20, 80.80)",10,0.056179775280898875,8,2,0.2,0.013986241974739855,1.0943851310438208e-05,1.3679702640061046e-06,W3_3-5天_湿度内部平均_MEAN,440.8830847966944
"[80.80, 85.40)",33,0.1853932584269663,22,11,0.3333333333333333,-0.6791609385852054,0.10229928065543983,0.01254717859062576,W3_3-5天_湿度内部平均_MEAN,454.24610995007197
"[85.40, inf)",14,0.07865168539325842,8,6,0.42857142857142855,-1.0846260466933697,0.11966531501077082,0.014265540668342153,W3_3-5天_湿度内部平均_MEAN,456.12294975547985
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.3868022229721831,0.04687346328954163,W3_3-5天_湿度内部平均_MEAN,
