Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 63.45)",10,0.0561797752808988,7,3,0.3,-0.5250102587579472,0.0178700674929348,0.0022084525390928,W3_9-11天_湿度内部平均_MEAN,452.3848008188999
"[63.45, 81.55)",83,0.4662921348314606,72,11,0.1325301204819277,0.5064627270725339,0.1020455025204831,0.0155770723928633,W3_9-11天_湿度内部平均_MEAN,445.8153612845286
"[81.55, 82.55)",13,0.0730337078651685,12,1,0.0769230769230769,1.1125985306428496,0.0631168963001616,0.007506309121167,W3_9-11天_湿度内部平均_MEAN,434.8146974668341
"[82.55, 86.05)",38,0.2134831460674157,28,10,0.2631578947368421,-0.3426887019639926,0.027618885995533,0.0055107920824584,W3_9-11天_湿度内部平均_MEAN,446.2320312755587
"[86.05, inf)",34,0.1910112359550561,23,11,0.3235294117647059,-0.6347091760143717,0.0911339075106707,0.0112906479816353,W3_9-11天_湿度内部平均_MEAN,454.0443353816892
,178,1.0,142,36,0.2022471910112359,,0.3017852598197834,0.0420932741172169,W3_9-11天_湿度内部平均_MEAN,447.0417901872044
"(-inf, 63.30)",13,0.0730337078651685,8,5,0.3846153846153846,-0.9023044898994154,0.0744860122726043,0.0090072245152819,W3_15-17天_湿度内部平均_MEAN,451.5204622697456
"[63.30, 78.95)",48,0.2696629213483146,41,7,0.1458333333333333,0.3953537985038438,0.0372770991547051,0.0046295258069326,W3_15-17天_湿度内部平均_MEAN,446.9565095690824
"[78.95, 80.35)",17,0.095505617977528,15,2,0.1176470588235294,0.642594901397114,0.0321800263610448,0.0039546927949203,W3_15-17天_湿度内部平均_MEAN,441.7093110692399
"[80.35, 82.25)",20,0.1123595505617977,19,1,0.05,1.5721308600212895,0.1666852359412243,0.0189243883066696,W3_15-17天_湿度内部平均_MEAN,444.08625103338153
"[82.25, inf)",80,0.449438202247191,59,21,0.2625,-0.3392931129628542,0.0569470835137185,0.0070844363027891,W3_15-17天_湿度内部平均_MEAN,448.2372109456878
,178,1.0,142,36,0.2022471910112359,,0.367575457243297,0.0436002677265935,W3_15-17天_湿度内部平均_MEAN,447.0417901872044
"(-inf, 50.25)",11,0.0617977528089887,8,3,0.2727272727272727,-0.3914788661334243,0.0105680914566534,0.0013126400234,W3_0-2天_湿度内部平均_MEAN,451.5085597173815
"[50.25, 67.40)",59,0.3314606741573033,45,14,0.2372881355932203,-0.2047029589900895,0.0147360502559375,0.0018387969157891,W3_0-2天_湿度内部平均_MEAN,448.1244396052557
"[67.40, 74.45)",54,0.3033707865168539,48,6,0.1111111111111111,0.7071334225346851,0.121175445645615,0.0148390307298336,W3_0-2天_湿度内部平均_MEAN,446.2399666062784
"[74.45, 79.05)",26,0.146067415730337,20,6,0.2307692307692307,-0.1683353148192146,0.0043466865328905,0.0005426952080533,W3_0-2天_湿度内部平均_MEAN,446.1434736433787
"[79.05, inf)",28,0.1573033707865168,21,7,0.25,-0.273695830477041,0.0127424897600813,0.001587858243597,W3_0-2天_湿度内部平均_MEAN,445.3862160090792
,178,1.0,142,36,0.2022471910112359,,0.1635687636511779,0.0201210211206731,W3_0-2天_湿度内部平均_MEAN,447.0417901872044
"[-inf, 71.75)",58,0.3258426966292135,50,8,0.1379310344827586,0.4602733446031593,0.0597851136182507,0.0074078636188154,W3_3-5天_湿度内部平均_MEAN,446.399825083061
"[71.75, 80.80)",73,0.4101123595505618,62,11,0.1506849315068493,0.35693099310157,0.0467808617719193,0.0058167631265123,W3_3-5天_湿度内部平均_MEAN,442.553505117476
"[80.80, inf)",47,0.2640449438202247,30,17,0.3617021276595745,-0.8043240815392114,0.2098920823108975,0.0255513988380752,W3_3-5天_湿度内部平均_MEAN,454.8051686155127
,178,1.0,142,36,0.2022471910112359,,0.3164580577010676,0.038776025583403,W3_3-5天_湿度内部平均_MEAN,447.0417901872044
"(-inf, 76.45)",73,0.4101123595505618,63,10,0.136986301369863,0.4682415142523363,0.0776738662140025,0.0096214964141229,W3_6-8天_湿度内部平均_MEAN,446.6562797357003
"[76.45, 80.95)",27,0.1516853932584269,22,5,0.1851851851851851,0.1092964217790646,0.0017531898642181,0.0002190397195228,W3_6-8天_湿度内部平均_MEAN,443.4578188282754
"[80.95, 85.35)",54,0.3033707865168539,40,14,0.2592592592592592,-0.3224859946464731,0.0345700948877674,0.0043026337220877,W3_6-8天_湿度内部平均_MEAN,446.94674977499807
"[85.35, inf)",24,0.1348314606741573,17,7,0.2916666666666667,-0.485004924144248,0.0362425432361312,0.0044864309189826,W3_6-8天_湿度内部平均_MEAN,452.4601931834552
,178,1.0,142,36,0.2022471910112359,,0.1502396942021194,0.0186296007747162,W3_6-8天_湿度内部平均_MEAN,447.0417901872044
"[-inf, 65.45)",13,0.0730337078651685,8,5,0.3846153846153846,-0.9023044898994153,0.0744860122726043,0.0090072245152819,W3_12-14天_湿度内部平均_MEAN,455.30515373524827
"[65.45, 79.45)",66,0.3707865168539326,62,4,0.0606060606060606,1.3685319047800502,0.4454689142320038,0.0517083470460598,W3_12-14天_湿度内部平均_MEAN,441.5212663188763
"[79.45, 81.75)",25,0.1404494382022472,22,3,0.12,0.6201220455450555,0.0443984093641412,0.0054625522062913,W3_12-14天_湿度内部平均_MEAN,448.0794799625127
"[81.75, inf)",74,0.4157303370786517,50,24,0.3243243243243243,-0.6383389440649504,0.2007920622176135,0.0246813689150956,W3_12-14天_湿度内部平均_MEAN,450.1632578196688
,178,1.0,142,36,0.2022471910112359,,0.7651453980863628,0.0908594926827288,W3_12-14天_湿度内部平均_MEAN,447.0417901872044
"(-inf, 64.05)",12,0.0674157303370786,7,5,0.4166666666666667,-1.035835882523938,0.0928037625578958,0.0111081714530754,W3_18-20天_湿度内部平均_MEAN,455.8057248106525
"[64.05, 76.10)",19,0.1067415730337078,16,3,0.1578947368421052,0.301668314426521,0.0088517697895105,0.0011022946776751,W3_18-20天_湿度内部平均_MEAN,447.3267133689607
"[76.10, 81.05)",42,0.2359550561797752,39,3,0.0714285714285714,1.1926412383163862,0.2281696265793087,0.026942611777675,W3_18-20天_湿度内部平均_MEAN,446.05913792982
"[81.05, 84.65)",33,0.1853932584269663,28,5,0.1515151515151515,0.3504584785959527,0.0204297000433477,0.0025407234914436,W3_18-20天_湿度内部平均_MEAN,443.25837471618
"[84.65, inf)",72,0.4044943820224719,52,20,0.2777777777777778,-0.4167966741177143,0.078923939856406,0.0097946975246463,W3_18-20天_湿度内部平均_MEAN,447.8132255958044
,178,1.0,142,36,0.2022471910112359,,0.4291787988264689,0.0514884989245155,W3_18-20天_湿度内部平均_MEAN,447.0417901872044
"(-inf, 63.55)",10,0.056179775280898875,7,3,0.3,-0.5250102587579472,0.01787006749293482,0.002208452539092835,W3_21-23天_湿度内部平均_MEAN,452.06879622194884
"[63.55, 81.95)",56,0.3146067415730337,45,11,0.19642857142857142,0.036459097826798535,0.00041365956063269064,5.170458139695279e-05,W3_21-23天_湿度内部平均_MEAN,448.64230518544525
"[81.95, inf)",112,0.6292134831460674,90,22,0.19642857142857142,0.036459097826798535,0.0008273191212653813,0.00010340916279390558,W3_21-23天_湿度内部平均_MEAN,445.79269286355327
,178,1.0,142,36,0.20224719101123595,,0.01911104617483289,0.0023635662832836935,W3_21-23天_湿度内部平均_MEAN,447.0417901872044
