Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 4.15)",43,0.3185185185185185,39,4,0.0930232558139534,0.8909729238898652,0.1897442337913601,0.0229633958236286,W3_3-5天_外部-平均_MEAN,283.00789343734533
"[4.15, 4.70)",10,0.074074074074074,4,6,0.6,-1.791759469228055,0.3318073091163064,0.0366891858500139,W3_3-5天_外部-平均_MEAN,349.9072777747171
"[4.70, 5.25)",9,0.0666666666666666,6,3,0.3333333333333333,-0.6931471805599453,0.0385081766977747,0.004719417688761,W3_3-5天_外部-平均_MEAN,342.602944387612
"[5.25, inf)",73,0.5407407407407407,59,14,0.1917808219178082,0.0521857531705702,0.001449604254738,0.0005393314898759,W3_3-5天_外部-平均_MEAN,335.79600606427204
,135,1.0,108,27,0.2,,0.5615093238601795,0.0649113308522794,W3_3-5天_外部-平均_MEAN,320.4810899091362
"[-inf, 7.05)",80,0.5925925925925926,72,8,0.1,0.8109302162163288,0.3003445245245661,0.036547049658698,W3_9-11天_外部-平均_MEAN,298.32472370912257
"[7.05, 11.40)",24,0.1777777777777777,23,1,0.0416666666666666,1.749199854809259,0.3077296040868141,0.0342079764067205,W3_9-11天_外部-平均_MEAN,323.87775909922624
"[11.40, 14.30)",17,0.1259259259259259,9,8,0.4705882352941176,-1.2685113254635072,0.2701459304227839,0.0316719896004553,W3_9-11天_外部-平均_MEAN,379.5567920504018
"[14.30, inf)",14,0.1037037037037037,4,10,0.7142857142857143,-2.302585092994045,0.7675283643313484,0.0791411465799588,W3_9-11天_外部-平均_MEAN,369.53125412609467
,135,1.0,108,27,0.2,,1.6457484233655126,0.1815681622458326,W3_9-11天_外部-平均_MEAN,320.48108990913624
"(-inf, 7.80)",102,0.7555555555555555,78,24,0.2352941176470588,-0.2076393647782444,0.034606560796374,0.0043180658185317,W3_12-14天_外部-平均_MEAN,316.7913490798543
"[7.80, 14.45)",24,0.1777777777777777,23,1,0.0416666666666666,1.749199854809259,0.3077296040868141,0.0342079764067205,W3_12-14天_外部-平均_MEAN,319.5054407990821
"[14.45, inf)",9,0.0666666666666666,7,2,0.2222222222222222,-0.1335313926245225,0.0012364017835603,0.0001544355032032,W3_12-14天_外部-平均_MEAN,364.8998836011423
,135,1.0,108,27,0.2,,0.3435725666667484,0.0386804777284554,W3_12-14天_外部-平均_MEAN,320.4810899091362
