Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 49.85)",52,0.3851851851851852,44,8,0.15384615384615385,0.3184537311185346,0.0353837479020594,0.0044043733462472,W3_0-2天_湿度内部平均_MEAN,325.45256895464365
"[49.85, 56.45)",40,0.2962962962962963,35,5,0.125,0.5596157879354227,0.07772441499103093,0.0095907285473166,W3_0-2天_湿度内部平均_MEAN,303.5736568090681
"[56.45, 60.90)",16,0.11851851851851852,15,1,0.0625,1.3217558399823195,0.13462327999819923,0.0157008624420801,W3_0-2天_湿度内部平均_MEAN,280.74788559868784
"[60.90, inf)",27,0.2,14,13,0.48148148148148145,-1.3121863889661687,0.46169521093254084,0.0539804105520476,W3_0-2天_湿度内部平均_MEAN,359.50004111667374
,135,1.0,108,27,0.2,,0.7094266538238304,0.0836763748876915,W3_0-2天_湿度内部平均_MEAN,320.4810899091363
"[-inf, 54.40)",25,0.18518518518518517,23,2,0.08,1.0560526742493137,0.1466739825346269,0.0175271229542958,W3_3-5天_湿度内部平均_MEAN,316.1895462348424
"[54.40, 71.35)",85,0.6296296296296297,73,12,0.1411764705882353,0.4192584302405003,0.09705056255567138,0.0120432433238844,W3_3-5天_湿度内部平均_MEAN,310.707388976803
"[71.35, 74.55)",7,0.05185185185185185,2,5,0.7142857142857143,-2.3025850929940455,0.3837641821656742,0.0395705732899794,W3_3-5天_湿度内部平均_MEAN,375.87270287324975
"[74.55, inf)",18,0.13333333333333333,10,8,0.4444444444444444,-1.1631508098056809,0.23693812792337943,0.0280530436812404,W3_3-5天_湿度内部平均_MEAN,351.0539721511851
,135,1.0,108,27,0.2,,0.8644268551793519,0.0971939832494,W3_3-5天_湿度内部平均_MEAN,320.48108990913624
"[-inf, 59.95)",33,0.24444444444444444,30,3,0.09090909090909091,0.9162907318741552,0.1527151219790259,0.0184484206617449,W3_6-8天_湿度内部平均_MEAN,316.5861194947796
"[59.95, 62.55)",10,0.07407407407407407,9,1,0.1,0.8109302162163288,0.03754306556557077,0.0045683812073372,W3_6-8天_湿度内部平均_MEAN,339.04052170685384
"[62.55, 69.50)",42,0.3111111111111111,36,6,0.14285714285714285,0.4054651081081644,0.04505167867868493,0.0055931982085246,W3_6-8天_湿度内部平均_MEAN,311.17778459433896
"[69.50, 74.15)",16,0.11851851851851852,13,3,0.1875,0.08004270767353636,0.0007411361821623736,9.261729976665174e-05,W3_6-8天_湿度内部平均_MEAN,289.9464501472981
"[74.15, 83.35)",25,0.18518518518518517,17,8,0.32,-0.6325225587435105,0.0878503553810431,0.0108018193452015,W3_6-8天_湿度内部平均_MEAN,334.8471122193845
"[83.35, inf)",9,0.06666666666666667,3,6,0.6666666666666666,-2.0794415416798357,0.4043358553266347,0.0430393855896141,W3_6-8天_湿度内部平均_MEAN,371.9346685037228
,135,1.0,108,27,0.2,,0.7282372131131218,0.08254382231218896,W3_6-8天_湿度内部平均_MEAN,320.48108990913624
"[-inf, 65.95)",52,0.3851851851851852,45,7,0.1346153846153846,0.4744579795951159,0.07468320049182381,0.0092507776090723,W3_9-11天_湿度内部平均_MEAN,324.0784949916906
