Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 49.85)",52,0.385185185,44,8,0.153846154,0.318453731,0.035383748,0.004404373,W3_0-2天_湿度内部平均_MEAN,325.452569
"[49.85, 56.45)",40,0.296296296,35,5,0.125,0.559615788,0.077724415,0.009590729,W3_0-2天_湿度内部平均_MEAN,303.5736568
"[56.45, 60.90)",16,0.118518519,15,1,0.0625,1.32175584,0.13462328,0.015700862,W3_0-2天_湿度内部平均_MEAN,280.7478856
"[60.90, inf)",27,0.2,14,13,0.481481481,-1.312186389,0.461695211,0.053980411,W3_0-2天_湿度内部平均_MEAN,359.5000411
,135,1,108,27,0.2,,0.709426654,0.083676375,W3_0-2天_湿度内部平均_MEAN,320.4810899
"[-inf, 65.40)",37,0.274074074,31,6,0.162162162,0.255933374,0.016588274,0.002220867,W3_12-14天_湿度内部平均_MEAN,328.6396146
"[65.40, 72.15)",37,0.274074074,32,5,0.135135135,0.470003629,0.052222625,0.0064684,W3_12-14天_湿度内部平均_MEAN,315.1775831
"[72.15, 78.05)",30,0.222222222,29,1,0.033333333,1.981001469,0.458565155,0.049471592,W3_12-14天_湿度内部平均_MEAN,277.7174998
"[78.05, 82.30)",15,0.111111111,9,6,0.4,-0.980829253,0.136226285,0.016376947,W3_12-14天_湿度内部平均_MEAN,349.8283265
"[82.30, inf)",16,0.118518519,7,9,0.5625,-1.637608789,0.439728286,0.049545262,W3_12-14天_湿度内部平均_MEAN,366.5475581
,135,1,108,27,0.2,,1.103330626,0.124083069,W3_12-14天_湿度内部平均_MEAN,320.4810899
"[-inf, 54.40)",25,0.185185185,23,2,0.08,1.056052674,0.146673983,0.017527123,W3_3-5天_湿度内部平均_MEAN,316.1895462
"[54.40, 71.35)",85,0.62962963,73,12,0.141176471,0.41925843,0.097050563,0.012043243,W3_3-5天_湿度内部平均_MEAN,310.707389
"[71.35, inf)",25,0.185185185,12,13,0.52,-1.466337069,0.543087803,0.062390997,W3_3-5天_湿度内部平均_MEAN,358.0032168
,135,1,108,27,0.2,,0.786812348,0.091961363,W3_3-5天_湿度内部平均_MEAN,320.4810899
"[-inf, 59.95)",33,0.244444444,30,3,0.090909091,0.916290732,0.152715122,0.018448421,W3_6-8天_湿度内部平均_MEAN,316.5861195
"[59.95, 69.50)",52,0.385185185,45,7,0.134615385,0.47445798,0.0746832,0.009248812,W3_6-8天_湿度内部平均_MEAN,316.5360033
"[69.50, 74.15)",16,0.118518519,13,3,0.1875,0.080042708,0.000741136,9.26E-05,W3_6-8天_湿度内部平均_MEAN,289.9464501
"[74.15, 83.35)",25,0.185185185,17,8,0.32,-0.632522559,0.087850355,0.010801819,W3_6-8天_湿度内部平均_MEAN,334.8471122
"[83.35, inf)",9,0.066666667,3,6,0.666666667,-2.079441542,0.404335855,0.043039386,W3_6-8天_湿度内部平均_MEAN,371.9346685
,135,1,108,27,0.2,,0.720325669,0.081631054,W3_6-8天_湿度内部平均_MEAN,320.4810899
"[-inf, 65.95)",52,0.385185185,45,7,0.134615385,0.47445798,0.0746832,0.009248812,W3_9-11天_湿度内部平均_MEAN,324.078495
"[65.95, 72.35)",32,0.237037037,30,2,0.0625,1.32175584,0.26924656,0.031401725,W3_9-11天_湿度内部平均_MEAN,300.2241469
"[72.35, 76.35)",19,0.140740741,17,2,0.105263158,0.753771802,0.062814317,0.007671033,W3_9-11天_湿度内部平均_MEAN,283.3124447
"[76.35, 79.35)",8,0.059259259,5,3,0.375,-0.875468737,0.056743344,0.006874743,W3_9-11天_湿度内部平均_MEAN,337.3958553
"[79.35, inf)",24,0.177777778,11,13,0.541666667,-1.553348446,0.589697095,0.067094009,W3_9-11天_湿度内部平均_MEAN,363.4828918
,135,1,108,27,0.2,,1.053184517,0.122290322,W3_9-11天_湿度内部平均_MEAN,320.4810899
"[-inf, 63.50)",26,0.192592593,23,3,0.115384615,0.650587566,0.066263548,0.008139889,W3_15-17天_湿度内部平均_MEAN,314.9819575
"[63.50, 75.60)",71,0.525925926,62,9,0.126760563,0.543615447,0.130870385,0.016160298,W3_15-17天_湿度内部平均_MEAN,309.4694236
"[75.60, inf)",38,0.281481481,23,15,0.394736842,-0.958850346,0.328495026,0.039557807,W3_15-17天_湿度内部平均_MEAN,344.8180833
,135,1,108,27,0.2,,0.52562896,0.063857994,W3_15-17天_湿度内部平均_MEAN,320.4810899
"[-inf, 63.60)",22,0.162962963,20,2,0.090909091,0.916290732,0.101810081,0.012298947,W3_18-20天_湿度内部平均_MEAN,312.5677683
"[63.60, 70.60)",25,0.185185185,23,2,0.08,1.056052674,0.146673983,0.017527123,W3_18-20天_湿度内部平均_MEAN,308.983031
"[70.60, 77.65)",69,0.511111111,54,15,0.217391304,-0.105360516,0.005853362,0.000731332,W3_18-20天_湿度内部平均_MEAN,322.255947
"[77.65, inf)",19,0.140740741,11,8,0.421052632,-1.06784063,0.207635678,0.024787596,W3_18-20天_湿度内部平均_MEAN,338.3273746
,135,1,108,27,0.2,,0.461973104,0.055344998,W3_18-20天_湿度内部平均_MEAN,320.4810899
"[-inf, 65.15)",25,0.185185185,23,2,0.08,1.056052674,0.146673983,0.017527123,W3_21-23天_湿度内部平均_MEAN,310.9370583
"[65.15, 77.25)",86,0.637037037,73,13,0.151162791,0.339215723,0.065958613,0.008205523,W3_21-23天_湿度内部平均_MEAN,315.0616764
"[77.25, 81.70)",17,0.125925926,9,8,0.470588235,-1.268511325,0.27014593,0.03167199,W3_21-23天_湿度内部平均_MEAN,357.1072492
"[81.70, inf)",7,0.051851852,3,4,0.571428571,-1.673976434,0.201497163,0.022605149,W3_21-23天_湿度内部平均_MEAN,332.1990394
,135,1,108,27,0.2,,0.684275689,0.080009785,W3_21-23天_湿度内部平均_MEAN,320.4810899
