Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 33.55)",18,0.13333333333333333,11,7,0.3888888888888889,-0.9343092373768334,0.1470671947722793,0.0177426394836548,W3_0-2天_鸡舍温度-平均_MEAN,345.8738190151102
"[33.55, 33.65)",16,0.11851851851851852,9,7,0.4375,-1.1349799328389845,0.19967239559204356,0.0237001407120988,W3_0-2天_鸡舍温度-平均_MEAN,336.8490698085036
"[33.65, 33.75)",10,0.07407407407407407,6,4,0.4,-0.9808292530117262,0.09081752342701167,0.0109179646742623,W3_0-2天_鸡舍温度-平均_MEAN,359.33786462522653
"[33.75, inf)",91,0.674074074074074,82,9,0.0989010989010989,0.8232003088081432,0.3506223537516166,0.0446003793980446,W3_0-2天_鸡舍温度-平均_MEAN,308.3104904645394
,135,1.0,108,27,0.2,,0.7881794675429512,0.0969611242680605,W3_0-2天_鸡舍温度-平均_MEAN,320.48108990913624
"[-inf, 31.55)",32,0.23703703703703705,15,17,0.53125,-1.5114575040738967,0.7417337751473753,0.0847903819808622,W3_3-5天_鸡舍温度-平均_MEAN,380.29503646128273
"[31.55, 31.65)",11,0.08148148148148149,8,3,0.2727272727272727,-0.40546510810816444,0.015017226226228312,0.0018643994028415,W3_3-5天_鸡舍温度-平均_MEAN,317.8243695587521
"[31.65, 32.15)",46,0.34074074074074073,40,6,0.13043478260869565,0.5108256237659907,0.07567787018755417,0.0093582051561372,W3_3-5天_鸡舍温度-平均_MEAN,306.7446963132264
"[32.15, inf)",46,0.34074074074074073,45,1,0.021739130434782608,2.4203681286504293,0.9188434562469223,0.0931018829822248,W3_3-5天_鸡舍温度-平均_MEAN,293.2430842482099
,135,1.0,108,27,0.2,,1.7512723278080802,0.1891148695220657,W3_3-5天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 28.95)",10,0.07407407407407407,5,5,0.5,-1.3862943611198906,0.1925408834888737,0.0223084209515923,W3_6-8天_鸡舍温度-平均_MEAN,388.1013095303765
"[28.95, 29.65)",34,0.2518518518518518,20,14,0.4117647058823529,-1.0296194171811581,0.3432064723937194,0.0411008889492724,W3_6-8天_鸡舍温度-平均_MEAN,357.4907868023495
"[29.65, 29.85)",12,0.08888888888888889,9,3,0.25,-0.2876820724517809,0.007991168679216136,0.0009954657085599,W3_6-8天_鸡舍温度-平均_MEAN,323.2571367278916
"[29.85, 30.15)",22,0.16296296296296298,18,4,0.18181818181818182,0.11778303565638346,0.002181167326970064,0.0002724884261857,W3_6-8天_鸡舍温度-平均_MEAN,300.22959974085217
"[30.15, inf)",57,0.4222222222222222,56,1,0.017543859649122806,2.6390573296152584,1.270657232777717,0.1245047649348082,W3_6-8天_鸡舍温度-平均_MEAN,293.7738676511632
,135,1.0,108,27,0.2,,1.8165769246664962,0.1891820289704185,W3_6-8天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 28.55)",38,0.2814814814814815,30,8,0.21052631578947367,-0.06453852113757105,0.0011951577988439065,0.0001493688026705,W3_9-11天_鸡舍温度-平均_MEAN,338.4750109981154
"[28.55, 28.75)",14,0.1037037037037037,4,10,0.7142857142857143,-2.3025850929940455,0.7675283643313484,0.0791411465799588,W3_9-11天_鸡舍温度-平均_MEAN,378.9389285156017
"[28.75, 29.15)",47,0.34814814814814815,39,8,0.1702127659574468,0.19782574332991987,0.012822038919531846,0.0016001464743989,W3_9-11天_鸡舍温度-平均_MEAN,298.4307317454022
"[29.15, inf)",36,0.26666666666666666,35,1,0.027777777777777776,2.169053700369523,0.622598747328289,0.0654453492564384,W3_9-11天_鸡舍温度-平均_MEAN,307.5418702375744
,135,1.0,108,27,0.2,,1.4041443083780132,0.1463360111134666,W3_9-11天_鸡舍温度-平均_MEAN,320.4810899091363
"[-inf, 26.45)",9,0.06666666666666667,4,5,0.5555555555555556,-1.6094379124341003,0.23843524628653337,0.0269539968548489,W3_12-14天_鸡舍温度-平均_MEAN,388.4187308981936
"[26.45, 27.65)",38,0.2814814814814815,29,9,0.23684210526315788,-0.2162231084696358,0.014014460734143051,0.0017484029963321,W3_12-14天_鸡舍温度-平均_MEAN,333.1006160942936
"[27.65, 28.05)",59,0.43703703703703706,48,11,0.1864406779661017,0.08701137698962969,0.0032226435922085065,0.00041409611239269994,W3_12-14天_鸡舍温度-平均_MEAN,299.69687798408626
"[28.05, inf)",29,0.21481481481481482,27,2,0.06896551724137931,1.2163953243244932,0.21399547372375344,0.0252134114954823,W3_12-14天_鸡舍温度-平均_MEAN,325.1461843794965
,135,1.0,108,27,0.2,,0.4696678243366384,0.054329907459056,W3_12-14天_鸡舍温度-平均_MEAN,320.48108990913624
"[-inf, 26.35)",14,0.1037037037037037,10,4,0.2857142857142857,-0.4700036292457356,0.026111312735874196,0.0032341999619305,W3_15-17天_鸡舍温度-平均_MEAN,330.8545846102281
