Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 13.75)",27,0.0992647058823529,25,2,0.074074074074074,1.153164476000267,0.0909197965577085,0.0107743664533243,W3_0-2天_外部-平均_MEAN,390.1282044039593
"[13.75, 18.95)",73,0.2683823529411764,69,4,0.0547945205479452,1.4752479751693803,0.3617973040067679,0.0415236894915306,W3_0-2天_外部-平均_MEAN,385.4426373425955
"[18.95, 20.30)",15,0.0551470588235294,13,2,0.1333333333333333,0.4992380085936028,0.0117541583925263,0.0014541991638436,W3_0-2天_外部-平均_MEAN,401.773924092396
"[20.30, 27.05)",83,0.3051470588235294,70,13,0.1566265060240964,0.3109817162798336,0.0268119133684079,0.0033380490851233,W3_0-2天_外部-平均_MEAN,396.6253194207217
"[27.05, 29.65)",44,0.1617647058823529,28,16,0.3636363636363636,-0.8129483803725659,0.1315975090808376,0.0160111734868569,W3_0-2天_外部-平均_MEAN,440.9971027752583
"[29.65, inf)",30,0.1102941176470588,12,18,0.6,-1.7780292764161527,0.4835762908459851,0.0535630422425605,W3_0-2天_外部-平均_MEAN,442.9671175760507
,272,1.0,217,55,0.20220588235294118,,1.1064569722522333,0.1266645199232392,W3_0-2天_外部-平均_MEAN,405.5520973074085
"[-inf, 13.50)",19,0.06985294117647059,17,2,0.10526315789473684,0.7675019951882822,0.03221772095427979,0.0039311930478079,W3_3-5天_外部-平均_MEAN,402.1706174754254
"[13.50, 17.15)",58,0.21323529411764705,57,1,0.017241379310344827,2.6704870995265617,0.6529100424313788,0.0636611212413285,W3_3-5天_外部-平均_MEAN,374.54973839574143
"[17.15, 21.80)",66,0.2426470588235294,61,5,0.07575757575757576,1.1288717834312223,0.21470791356421237,0.0272079943205897,W3_3-5天_外部-平均_MEAN,385.7982516792438
"[21.80, 27.95)",72,0.2647058823529412,54,18,0.25,-0.2739518796398789,0.021484621645825437,0.0026772111087194,W3_3-5天_外部-平均_MEAN,420.3780544504955
"[27.95, inf)",57,0.20955882352941177,28,29,0.5087719298245614,-1.4076554881192587,0.560585382072127,0.0648063931475192,W3_3-5天_外部-平均_MEAN,442.3708662695308
,272,1.0,217,55,0.20220588235294118,,1.4819056806678235,0.1622839128659647,W3_3-5天_外部-平均_MEAN,405.5520973074085
"[-inf, 13.95)",19,0.06985294117647059,18,1,0.05263157894736842,1.517807589588176,0.0983045887517101,0.011229624988972,W3_6-8天_外部-平均_MEAN,391.5021331058573
"[13.95, 17.85)",81,0.2977941176470588,79,2,0.024691358024691357,2.3037365035990875,0.7549152463825748,0.0778274552951332,W3_6-8天_外部-平均_MEAN,372.09083854249
"[17.85, 18.60)",14,0.051470588235294115,12,2,0.14285714285714285,0.4191953009200664,0.007937841475319231,0.0009850284484055,W3_6-8天_外部-平均_MEAN,400.2312162489173
