Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 13.50)",19,0.0698529411764705,17,2,0.1052631578947368,0.7675019951882822,0.0322177209542797,0.0039311930478079,W3_3-5天_外部-平均_MEAN,402.1706174754254
"[13.50, 17.15)",58,0.213235294117647,57,1,0.0172413793103448,2.6704870995265617,0.6529100424313788,0.0636611212413285,W3_3-5天_外部-平均_MEAN,374.54973839574143
"[17.15, 21.80)",66,0.2426470588235294,61,5,0.0757575757575757,1.1288717834312223,0.2147079135642123,0.0272079943205897,W3_3-5天_外部-平均_MEAN,385.7982516792438
"[21.80, 27.95)",72,0.2647058823529412,54,18,0.25,-0.2739518796398789,0.0214846216458254,0.0026772111087194,W3_3-5天_外部-平均_MEAN,420.3780544504955
"[27.95, inf)",57,0.2095588235294117,28,29,0.5087719298245614,-1.407655488119259,0.560585382072127,0.0648063931475192,W3_3-5天_外部-平均_MEAN,442.3708662695308
,272,1.0,217,55,0.2022058823529411,,1.4819056806678237,0.1622839128659647,W3_3-5天_外部-平均_MEAN,405.5520973074085
"[-inf, 13.95)",19,0.0698529411764705,18,1,0.0526315789473684,1.517807589588176,0.0983045887517101,0.011229624988972,W3_6-8天_外部-平均_MEAN,391.5021331058573
"[13.95, 17.85)",81,0.2977941176470588,79,2,0.0246913580246913,2.3037365035990875,0.7549152463825748,0.0778274552951332,W3_6-8天_外部-平均_MEAN,372.09083854249
"[17.85, 18.60)",14,0.0514705882352941,12,2,0.1428571428571428,0.4191953009200664,0.0079378414753192,0.0009850284484055,W3_6-8天_外部-平均_MEAN,400.2312162489173
"[18.60, 23.55)",72,0.2647058823529412,60,12,0.1666666666666666,0.2368737441261118,0.0138135002858629,0.0017226620349548,W3_6-8天_外部-平均_MEAN,406.1333064380392
"[23.55, 28.95)",72,0.2647058823529412,42,30,0.4166666666666667,-1.0360919316867756,0.3646071313853755,0.0436408412501862,W3_6-8天_外部-平均_MEAN,438.8504389558916
"[28.95, inf)",14,0.0514705882352941,6,8,0.5714285714285714,-1.6602462407597696,0.1955849362805392,0.0219779336771358,W3_6-8天_外部-平均_MEAN,449.300380058162
,272,1.0,217,55,0.2022058823529411,,1.435163244561382,0.1573835456947875,W3_6-8天_外部-平均_MEAN,405.5520973074085
"[-inf, 15.95)",56,0.2058823529411764,55,1,0.0178571428571428,2.6347690169244826,0.6198937075428528,0.0607806740221058,W3_9-11天_外部-平均_MEAN,370.189147822528
"[15.95, 18.05)",58,0.213235294117647,54,4,0.0689655172413793,1.2301255171363952,0.2166505100143027,0.0254933909126085,W3_9-11天_外部-平均_MEAN,389.9531097721348
"[18.05, 21.60)",49,0.1801470588235294,45,4,0.0816326530612244,1.0478039603424405,0.1410826111663428,0.0168704263203434,W3_9-11天_外部-平均_MEAN,397.0709028135573
"[21.60, 22.75)",17,0.0625,14,3,0.1764705882352941,0.1678808726391603,0.0016738855336455,0.000208990325104,W3_9-11天_外部-平均_MEAN,418.98565048510346
"[22.75, 26.65)",39,0.1433823529411764,28,11,0.282051282051282,-0.4382549309311553,0.0311019628402755,0.0038569282249546,W3_9-11天_外部-平均_MEAN,427.132991618307
"[26.65, inf)",53,0.1948529411764706,21,32,0.6037735849056604,-1.7937776333842923,0.8700610573658707,0.0961815035674376,W3_9-11天_外部-平均_MEAN,447.6392613876355
,272,1.0,217,55,0.2022058823529411,,1.8804637344632904,0.2033919133725539,W3_9-11天_外部-平均_MEAN,405.5520973074085
"[-inf, 18.15)",118,0.4338235294117647,104,14,0.1186440677966101,0.6327694012181254,0.1421941796453299,0.0174835525847846,W3_12-14天_外部-平均_MEAN,391.4727524772286
"[18.15, 19.85)",38,0.1397058823529411,37,1,0.0263157894736842,2.238353744336236,0.3409574450945351,0.035486616535642,W3_12-14天_外部-平均_MEAN,380.7500199434102
"[19.85, 24.45)",56,0.2058823529411764,40,16,0.2857142857142857,-0.4562734364338334,0.0486283880304848,0.0060263635906512,W3_12-14天_外部-平均_MEAN,418.608149319908
"[24.45, 27.90)",43,0.1580882352941176,28,15,0.3488372093023256,-0.7484098592349947,0.1075427656965241,0.0131376446538353,W3_12-14天_外部-平均_MEAN,433.6218934840084
"[27.90, inf)",17,0.0625,8,9,0.5294117647058824,-1.490347203964372,0.1889313212901629,0.0216479231067775,W3_12-14天_外部-平均_MEAN,444.7110079838431
,272,1.0,217,55,0.2022058823529411,,0.828254099757037,0.0937821004716906,W3_12-14天_外部-平均_MEAN,405.5520973074085
"[-inf, 16.05)",80,0.2941176470588235,75,5,0.0625,1.3354860327942213,0.3401656924754447,0.0396182396182202,W3_15-17天_外部-平均_MEAN,380.8025445966265
"[16.05, 23.80)",140,0.5147058823529411,110,30,0.2142857142857142,-0.0732811841777276,0.0028244109528072,0.0047653942671321,W3_15-17天_外部-平均_MEAN,408.10017565141527
"[23.80, 26.25)",30,0.1102941176470588,21,9,0.3,-0.525266307920785,0.0351204452216829,0.0043402735397257,W3_15-17天_外部-平均_MEAN,431.5234381302684
"[26.25, inf)",22,0.0808823529411764,11,11,0.5,-1.3725641683079886,0.204935848171331,0.023778305062608,W3_15-17天_外部-平均_MEAN,443.9199620353997
,272,1.0,217,55,0.2022058823529411,,0.583046396821266,0.072502212487686,W3_15-17天_外部-平均_MEAN,405.5520973074085
"[-inf, 14.75)",38,0.1397058823529411,37,1,0.0263157894736842,2.238353744336236,0.3409574450945351,0.035486616535642,W3_18-20天_外部-平均_MEAN,385.5064889416366
"[14.75, 15.45)",22,0.0808823529411764,20,2,0.0909090909090909,0.9300209246860572,0.0518972715409228,0.0062630322231802,W3_18-20天_外部-平均_MEAN,378.33753091311496
"[15.45, 20.45)",128,0.4705882352941176,113,15,0.1171875,0.6467734493021419,0.1604063183857846,0.0197084577568412,W3_18-20天_外部-平均_MEAN,396.1243022568033
"[20.45, 22.50)",24,0.088235294117647,19,5,0.2083333333333333,-0.0375631015756486,0.0001258922549665,1.57356067679407e-05,W3_18-20天_外部-平均_MEAN,418.5728803330862
"[22.50, 26.25)",46,0.1691176470588235,23,23,0.5,-1.3725641683079886,0.4285022279946012,0.0497182742218168,W3_18-20天_外部-平均_MEAN,441.29726297614286
"[26.25, inf)",14,0.0514705882352941,5,9,0.6428571428571429,-1.960350833210108,0.2756153077609183,0.0298166698791333,W3_18-20天_外部-平均_MEAN,449.1545924269233
,272,1.0,217,55,0.2022058823529411,,1.2575044630317287,0.1410087862233814,W3_18-20天_外部-平均_MEAN,405.5520973074085
"[-inf, 14.15)",48,0.1764705882352941,47,1,0.0208333333333333,2.47758343340207,0.4915724818010977,0.0493799475127115,W3_21-23天_外部-平均_MEAN,379.05013692444777
"[14.15, 18.75)",108,0.3970588235294117,103,5,0.0462962962962962,1.6527269074875468,0.6342261613986565,0.0713319817312726,W3_21-23天_外部-平均_MEAN,386.84834907740674
"[18.75, 21.25)",62,0.2279411764705882,35,27,0.4354838709677419,-1.113052972822904,0.3668831499862006,0.0436306321558212,W3_21-23天_外部-平均_MEAN,431.9641281618476
