Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 39.60)",21,0.07720588235294118,14,7,0.3333333333333333,-0.6794169877480433,0.04263789893785373,0.00522953610414831,W3_0-2天_湿度内部平均_MEAN,419.59004587276877
"[39.60, 49.45)",23,0.08455882352941177,19,4,0.17391304347826086,0.18558044973856136,0.0027522194892103326,0.00034353460385497204,W3_0-2天_湿度内部平均_MEAN,419.9211407105949
"[49.45, 60.45)",59,0.21691176470588236,58,1,0.01694915254237288,2.6878788422384305,0.6695487053183791,0.06510531639923586,W3_0-2天_湿度内部平均_MEAN,375.74998974469577
"[60.45, 65.40)",42,0.15441176470588236,38,4,0.09523809523809523,0.8787276302985068,0.08997110718263718,0.010897970364082476,W3_0-2天_湿度内部平均_MEAN,386.9774323042488
"[65.40, 84.05)",104,0.38235294117647056,77,27,0.25961538461538464,-0.3245956124586338,0.04416784873337422,0.005496870423300156,W3_0-2天_湿度内部平均_MEAN,416.6741792778038
"[84.05, inf)",23,0.08455882352941177,11,12,0.5217391304347826,-1.4595755452976182,0.2444651457938784,0.028105230870184433,W3_0-2天_湿度内部平均_MEAN,438.44248136244295
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,1.093542925455333,0.11517845876480622,W3_0-2天_湿度内部平均_MEAN,
"(-inf, 54.00)",17,0.0625,11,6,0.35294117647058826,-0.7664283647376732,0.04475915963319296,0.005461856589907065,W3_3-5天_湿度内部平均_MEAN,423.01117597876055
"[54.00, 60.25)",15,0.05514705882352941,11,4,0.26666666666666666,-0.3609632566295087,0.007954196606079657,0.0009889116442894051,W3_3-5天_湿度内部平均_MEAN,421.0405661070273
"[60.25, 75.85)",150,0.5514705882352942,121,29,0.19333333333333333,0.055930547302278644,0.0016964271573879266,0.00021202575937220337,W3_3-5天_湿度内部平均_MEAN,400.04859111410263
"[75.85, 79.35)",32,0.11764705882352941,28,4,0.125,0.5733459807473247,0.03228223703914555,0.003980901556808289,W3_3-5天_湿度内部平均_MEAN,394.6826402775639
"[79.35, 89.20)",39,0.14338235294117646,38,1,0.02564102564102564,2.265021991418397,0.3554575777064648,0.03685321682560679,W3_3-5天_湿度内部平均_MEAN,402.6638708060037
"[89.20, inf)",19,0.06985294117647059,8,11,0.5789473684210527,-1.691017899426523,0.2758619061737278,0.03088441265837402,W3_3-5天_湿度内部平均_MEAN,445.38672983890393
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7180115043159987,0.07838132503435777,W3_3-5天_湿度内部平均_MEAN,
"(-inf, 58.75)",28,0.10294117647058823,20,8,0.2857142857142857,-0.45627343643383345,0.024314194015242402,0.0030131817953256337,W3_6-8天_湿度内部平均_MEAN,419.5140416866976
"[58.75, 66.25)",27,0.09926470588235294,23,4,0.14814814814814814,0.37663568650127055,0.012528225181483403,0.0015568371357187454,W3_6-8天_湿度内部平均_MEAN,395.20423080161993
"[66.25, 72.05)",39,0.14338235294117646,37,2,0.05128205128205128,1.5452065637762904,0.207279070683355,0.023605366593544532,W3_6-8天_湿度内部平均_MEAN,386.4570108292879
"[72.05, 95.05)",161,0.5919117647058824,130,31,0.19254658385093168,0.06098307766244759,0.0021613608589204267,0.00027012825076167153,W3_6-8天_湿度内部平均_MEAN,405.0888137443982
"[95.05, inf)",17,0.0625,7,10,0.5882352941176471,-1.729239112246721,0.25862520447091725,0.02882021239094018,W3_6-8天_湿度内部平均_MEAN,447.1847431502053
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.5049080552099185,0.05726572616629076,W3_6-8天_湿度内部平均_MEAN,
"(-inf, 66.95)",54,0.19852941176470587,39,15,0.2777777777777778,-0.4170527232805523,0.03878747573032365,0.004813599617702592,W3_9-11天_湿度内部平均_MEAN,415.4808276132667
"[66.95, 73.40)",50,0.18382352941176472,48,2,0.04,1.8054896620399572,0.33371681562296995,0.036836484372538225,W3_9-11天_湿度内部平均_MEAN,381.8527001465159
"[73.40, 76.70)",37,0.13602941176470587,33,4,0.10810810810810811,0.7376490320386009,0.05852983940850904,0.007154742242738342,W3_9-11天_湿度内部平均_MEAN,391.30110822652784
"[76.70, 95.70)",112,0.4117647058823529,90,22,0.19642857142857142,0.036203048663960624,0.0005338698420491851,6.673008610830157e-05,W3_9-11天_湿度内部平均_MEAN,409.1526408092615
"[95.70, inf)",19,0.06985294117647059,7,12,0.631578947368421,-1.9115606690406755,0.3554045349477385,0.03869762798471272,W3_9-11天_湿度内部平均_MEAN,446.2281049554781
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.7869725355515903,0.08756918430380017,W3_9-11天_湿度内部平均_MEAN,
"(-inf, 65.35)",47,0.17279411764705882,35,12,0.2553191489361702,-0.30212275660657517,0.01718821547849724,0.002140392647542398,W3_12-14天_湿度内部平均_MEAN,414.9013299401047
"[65.35, 67.35)",15,0.05514705882352941,14,1,0.06666666666666667,1.2664931613072699,0.05868208782596735,0.006881246771799374,W3_12-14天_湿度内部平均_MEAN,378.70094855244105
"[67.35, 72.00)",29,0.10661764705882353,26,3,0.10344827586206896,0.7869200810453836,0.051362441821060235,0.006259614635568674,W3_12-14天_湿度内部平均_MEAN,388.3538937491104
"[72.00, 78.25)",42,0.15441176470588236,35,7,0.16666666666666666,0.23687374412611173,0.008057875166753365,0.001004886187056981,W3_12-14天_湿度内部平均_MEAN,400.4358037431518
"[78.25, 85.55)",75,0.2757352941176471,61,14,0.18666666666666668,0.09925236625006395,0.002636196070487672,0.0003293893188737627,W3_12-14天_湿度内部平均_MEAN,405.4538337960073
"[85.55, 95.45)",50,0.18382352941176472,38,12,0.24,-0.21988465836960303,0.009469687004773861,0.0011813319776546125,W3_12-14天_湿度内部平均_MEAN,411.161005170757
"[95.45, inf)",14,0.051470588235294115,8,6,0.42857142857142855,-1.0848820958562075,0.07835512078994981,0.009340667759068335,W3_12-14天_湿度内部平均_MEAN,434.40280449775713
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.22575162415748956,0.027137529297564137,W3_12-14天_湿度内部平均_MEAN,
"(-inf, 63.45)",30,0.11029411764705882,22,8,0.26666666666666666,-0.3609632566295087,0.015908393212159314,0.0019778232885788102,W3_15-17天_湿度内部平均_MEAN,419.9432026628392
"[63.45, 75.25)",78,0.2867647058823529,65,13,0.16666666666666666,0.23687374412611173,0.014964625309684804,0.0018662172045343754,W3_15-17天_湿度内部平均_MEAN,395.83979977676864
"[75.25, 77.00)",20,0.07352941176470588,17,3,0.15,0.36203688708011783,0.008614870207855334,0.001071016022196566,W3_15-17天_湿度内部平均_MEAN,388.9190778715139
"[77.00, 78.75)",17,0.0625,16,1,0.058823529411764705,1.4000245539317926,0.07777262499009456,0.008998096290163139,W3_15-17天_湿度内部平均_MEAN,390.42960963657504
"[78.75, 80.15)",16,0.058823529411764705,14,2,0.125,0.5733459807473247,0.016141118519572777,0.0019904507784041445,W3_15-17天_湿度内部平均_MEAN,396.8703974522485
"[80.15, inf)",111,0.40808823529411764,83,28,0.25225225225225223,-0.2859280706865943,0.036199188505022545,0.004509547444029465,W3_15-17天_湿度内部平均_MEAN,415.0518804022878
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.16960082074438934,0.0204131510279065,W3_15-17天_湿度内部平均_MEAN,
"(-inf, 71.70)",93,0.34191176470588236,68,25,0.26881720430107525,-0.3719322880000826,0.05250992084458647,0.00652616711007685,W3_18-20天_湿度内部平均_MEAN,414.739609654862
"[71.70, 75.05)",37,0.13602941176470587,34,3,0.08108108108108109,1.055184067640063,0.1077728846630278,0.012879476717452758,W3_18-20天_湿度内部平均_MEAN,385.535594279217
"[75.05, 77.75)",24,0.08823529411764706,23,1,0.041666666666666664,1.7629300476211611,0.15480106325152718,0.017178779283574742,W3_18-20天_湿度内部平均_MEAN,387.26257268246263
"[77.75, 83.05)",49,0.1801470588235294,43,6,0.12244897959183673,0.5968764781575189,0.053161264874859025,0.006548240122766721,W3_18-20天_湿度内部平均_MEAN,398.3232895984265
"[83.05, 91.05)",52,0.19117647058823528,41,11,0.21153846153846154,-0.05688737440205127,0.0006291691178107084,7.863553675268014e-05,W3_18-20天_湿度内部平均_MEAN,409.6967728241017
"[91.05, inf)",17,0.0625,8,9,0.5294117647058824,-1.4903472039643721,0.18893132129016296,0.021647923106777576,W3_18-20天_湿度内部平均_MEAN,432.83497998980096
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_18-20天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_18-20天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.5578056240419742,0.06485922187740133,W3_18-20天_湿度内部平均_MEAN,
"(-inf, 68.45)",62,0.22794117647058823,43,19,0.3064516129032258,-0.5558030317808667,0.08186859906751266,0.010103854478172095,W3_21-23天_湿度内部平均_MEAN,419.18606809594013
"[68.45, 70.55)",20,0.07352941176470588,14,6,0.3,-0.5252663079207849,0.023413630147788654,0.002893515693150491,W3_21-23天_湿度内部平均_MEAN,409.01860886254354
"[70.55, 72.70)",24,0.08823529411764706,23,1,0.041666666666666664,1.7629300476211611,0.15480106325152718,0.017178779283574742,W3_21-23天_湿度内部平均_MEAN,387.7259453268441
"[72.70, 74.75)",19,0.06985294117647059,17,2,0.10526315789473684,0.7675019951882822,0.03221772095427979,0.003931193047807983,W3_21-23天_湿度内部平均_MEAN,391.9566410466182
"[74.75, 92.15)",130,0.47794117647058826,112,18,0.13846153846153847,0.4555629450909411,0.08603593449811321,0.010662447853808855,W3_21-23天_湿度内部平均_MEAN,399.5042538891863
"[92.15, inf)",17,0.0625,8,9,0.5294117647058824,-1.4903472039643721,0.18893132129016296,0.021647923106777576,W3_21-23天_湿度内部平均_MEAN,438.3594232406895
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_21-23天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_21-23天_湿度内部平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.5672682692093844,0.06641771346329174,W3_21-23天_湿度内部平均_MEAN,
