Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 33.05)",19,0.06985294117647059,18,1,0.05263157894736842,1.517807589588176,0.09830458875171011,0.011229624988972032,W3_0-2天_鸡舍温度-平均_MEAN,387.48700929703085
"[33.05, 33.25)",21,0.07720588235294118,19,2,0.09523809523809523,0.8787276302985068,0.04498555359131859,0.005448985182041238,W3_0-2天_鸡舍温度-平均_MEAN,377.89703162983506
"[33.25, 33.45)",29,0.10661764705882353,25,4,0.13793103448275862,0.46001729544032166,0.019541580962567497,0.0024213848881750096,W3_0-2天_鸡舍温度-平均_MEAN,406.55942882004774
"[33.45, 34.15)",184,0.6764705882352942,143,41,0.22282608695652173,-0.12329160475238887,0.010660824139460871,0.0013317596309754577,W3_0-2天_鸡舍温度-平均_MEAN,408.18560035924526
"[34.15, inf)",19,0.06985294117647059,12,7,0.3684210526315789,-0.8335676675753014,0.05999452253432625,0.007289472356610134,W3_0-2天_鸡舍温度-平均_MEAN,427.1424065717091
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
,272,1.0,217,55,0.20220588235294118,,0.23348706997938332,0.02772122704677387,W3_0-2天_鸡舍温度-平均_MEAN,
"(-inf, 31.25)",40,0.14705882352941177,38,2,0.05,1.5718748108584517,0.2181000994370839,0.024762433094941864,W3_3-5天_鸡舍温度-平均_MEAN,379.75754943775434
"[31.25, 31.35)",19,0.06985294117647059,17,2,0.10526315789473684,0.7675019951882822,0.03221772095427979,0.003931193047807983,W3_3-5天_鸡舍温度-平均_MEAN,396.5483045948088
"[31.35, 31.55)",25,0.09191176470588236,22,3,0.12,0.6198659963822177,0.029032684706967717,0.0035720786000611807,W3_3-5天_鸡舍温度-平均_MEAN,397.3885459367971
"[31.55, 31.75)",69,0.2536764705882353,55,14,0.2028985507246377,-0.004288312690776452,4.670973186433852e-06,5.838712009221311e-07,W3_3-5天_鸡舍温度-平均_MEAN,406.22723529741796
"[31.75, 31.95)",39,0.14338235294117646,26,13,0.3333333333333333,-0.6794169877480433,0.0791846694560141,0.009711995621989725,W3_3-5天_鸡舍温度-平均_MEAN,418.76361320111715
"[31.95, 32.05)",18,0.0661764705882353,13,5,0.2777777777777778,-0.4170527232805523,0.012929158576774558,0.0016045332059008693,W3_3-5天_鸡舍温度-平均_MEAN,410.8167911605164
"[32.05, inf)",62,0.22794117647058823,46,16,0.25806451612903225,-0.31651149405867485,0.024981468571702685,0.0031097139728309617,W3_3-5天_鸡舍温度-平均_MEAN,417.6544300504667
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
