Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 33.05)",19,0.0698529411764705,18,1,0.0526315789473684,1.517807589588176,0.0983045887517101,0.011229624988972,W3_0-2天_鸡舍温度-平均_MEAN,387.48700929703085
"[33.05, 33.25)",21,0.0772058823529411,19,2,0.0952380952380952,0.8787276302985065,0.0449855535913185,0.0054489851820412,W3_0-2天_鸡舍温度-平均_MEAN,377.8970316298351
"[33.25, 34.15)",213,0.7830882352941176,168,45,0.2112676056338028,-0.0552626786750495,0.002430909619137,0.0037531445191504,W3_0-2天_鸡舍温度-平均_MEAN,407.9641967224531
"[34.15, inf)",19,0.0698529411764705,12,7,0.3684210526315789,-0.8335676675753015,0.0599945225343262,0.0072894723566101,W3_0-2天_鸡舍温度-平均_MEAN,427.1424065717091
,272,1.0,217,55,0.2022058823529411,,0.205715574496492,0.0277212270467737,W3_0-2天_鸡舍温度-平均_MEAN,405.5520973074085
"[-inf, 29.55)",46,0.1691176470588235,43,3,0.0652173913043478,1.290023658717464,0.1852618811094875,0.0216747279131569,W3_6-8天_鸡舍温度-平均_MEAN,381.7669777114936
"[29.55, 29.95)",87,0.3198529411764705,74,13,0.1494252873563218,0.3665515674346444,0.0383596906347608,0.0047682965760294,W3_6-8天_鸡舍温度-平均_MEAN,390.40297758493926
"[29.95, 30.45)",65,0.2389705882352941,54,11,0.1692307692307692,0.2185246054579151,0.0106744738149949,0.0013316606632779,W3_6-8天_鸡舍温度-平均_MEAN,406.3102618577569
"[30.45, 30.75)",44,0.1617647058823529,27,17,0.3863636363636363,-0.9099406463598756,0.1680359601656611,0.0212204771260808,W3_6-8天_鸡舍温度-平均_MEAN,437.6142912569471
"[30.75, 31.15)",14,0.0514705882352941,8,6,0.4285714285714285,-1.0848820958562078,0.0783551207899498,0.0093406677590683,W3_6-8天_鸡舍温度-平均_MEAN,443.7474046241042
"[31.15, inf)",16,0.0588235294117647,11,5,0.3125,-0.5841068079437184,0.0234915180404679,0.0028953950757198,W3_6-8天_鸡舍温度-平均_MEAN,431.6356838874604
,272,1.0,217,55,0.2022058823529411,,0.5041786445553222,0.0612312251133331,W3_6-8天_鸡舍温度-平均_MEAN,405.5520973074085
"[-inf, 27.55)",54,0.1985294117647058,41,13,0.2407407407407407,-0.2239414590652176,0.0106200976816852,0.0013247452121304,W3_12-14天_鸡舍温度-平均_MEAN,402.36135741845504
"[27.55, 27.95)",63,0.2316176470588235,59,4,0.0634920634920634,1.31867891447784,0.2626308990124697,0.030842641669869,W3_12-14天_鸡舍温度-平均_MEAN,386.4334328197922
"[27.95, 28.55)",80,0.2941176470588235,66,14,0.175,0.1780332441031785,0.0088308069132033,0.0011023953590639,W3_12-14天_鸡舍温度-平均_MEAN,399.7402189030564
"[28.55, 29.25)",40,0.1470588235294117,31,9,0.225,-0.1358015411590617,0.0028218502059025,0.0003524604799708,W3_12-14天_鸡舍温度-平均_MEAN,422.83637380405054
"[29.25, inf)",35,0.1286764705882352,20,15,0.4285714285714285,-1.0848820958562078,0.1958878019748745,0.0233516693976708,W3_12-14天_鸡舍温度-平均_MEAN,438.41938385614566
,272,1.0,217,55,0.2022058823529411,,0.4807914557881353,0.0569739121187049,W3_12-14天_鸡舍温度-平均_MEAN,405.5520973074085
"[-inf, 26.15)",21,0.0772058823529411,20,1,0.0476190476190476,1.6231681052460023,0.1200885996591722,0.0135536847919955,W3_15-17天_鸡舍温度-平均_MEAN,381.7717769848172
"[26.15, 27.65)",182,0.6691176470588235,152,30,0.1648351648351648,0.2501189708761324,0.0387700122430536,0.0048336584511843,W3_15-17天_鸡舍温度-平均_MEAN,397.9372701123196
"[27.65, inf)",69,0.2536764705882353,45,24,0.3478260869565217,-0.7439555088856146,0.1703586431323321,0.0209666387157183,W3_15-17天_鸡舍温度-平均_MEAN,432.8750723259676
,272,1.0,217,55,0.2022058823529411,,0.329217255034558,0.039353981958898,W3_15-17天_鸡舍温度-平均_MEAN,405.5520973074085
"[-inf, 31.25)",40,0.1470588235294117,38,2,0.05,1.5718748108584517,0.2181000994370839,0.0247624330949418,W3_3-5天_鸡舍温度-平均_MEAN,379.7575494377544
"[31.25, 31.55)",44,0.1617647058823529,39,5,0.1136363636363636,0.6815595653875575,0.0605323116305664,0.0074234066058992,W3_3-5天_鸡舍温度-平均_MEAN,397.0257144482112
"[31.55, 31.75)",69,0.2536764705882353,55,14,0.2028985507246377,-0.0042883126907761,4.670973186433838e-06,5.838712009221311e-07,W3_3-5天_鸡舍温度-平均_MEAN,406.227235297418
"[31.75, 31.95)",39,0.1433823529411764,26,13,0.3333333333333333,-0.6794169877480433,0.079184669456014,0.0097119956219897,W3_3-5天_鸡舍温度-平均_MEAN,418.7636132011172
"[31.95, inf)",80,0.2941176470588235,59,21,0.2625,-0.3395491621256922,0.0373262254469131,0.0046434926590702,W3_3-5天_鸡舍温度-平均_MEAN,416.1159613002279
,272,1.0,217,55,0.2022058823529411,,0.395147976943764,0.0465419118531019,W3_3-5天_鸡舍温度-平均_MEAN,405.5520973074085
"[-inf, 28.65)",56,0.2058823529411764,53,3,0.0535714285714285,1.4991154565760236,0.2843734724497794,0.0325522959671096,W3_9-11天_鸡舍温度-平均_MEAN,380.2517547821359
"[28.65, 29.05)",92,0.3382352941176471,83,9,0.0978260869565217,0.8490518621523899,0.1858167963085079,0.0225536414544042,W3_9-11天_鸡舍温度-平均_MEAN,390.9735226453034
"[29.05, 29.65)",59,0.2169117647058823,50,9,0.1525423728813559,0.342234259783938,0.0228538504438876,0.002842871081052,W3_9-11天_鸡舍温度-平均_MEAN,409.9757140940279
"[29.65, inf)",65,0.2389705882352941,31,34,0.5230769230769231,-1.4649374884390038,0.6963209360632148,0.080006876602156,W3_9-11天_鸡舍温度-平均_MEAN,443.9683228446144
,272,1.0,217,55,0.2022058823529411,,1.1893650552653898,0.1379556851047219,W3_9-11天_鸡舍温度-平均_MEAN,405.5520973074085
"(-inf, 25.35)",41,0.150735294117647,33,8,0.1951219512195122,0.0445018514786557,0.0002945660885474,3.681772302009992e-05,W3_18-20天_鸡舍温度-平均_MEAN,401.8518793004762
"[25.35, 25.65)",46,0.1691176470588235,42,4,0.0869565217391304,0.978811088855489,0.1182610465127452,0.0142194082611264,W3_18-20天_鸡舍温度-平均_MEAN,383.6615165866911
"[25.65, 25.95)",54,0.1985294117647058,53,1,0.0185185185185185,2.5977277452441334,0.5872366532608858,0.0579114501599674,W3_18-20天_鸡舍温度-平均_MEAN,379.0330763040153
"[25.95, 26.05)",16,0.0588235294117647,15,1,0.0625,1.3354860327942215,0.0680331384950889,0.007923647923644,W3_18-20天_鸡舍温度-平均_MEAN,384.9736053039604
"[26.05, 26.35)",24,0.088235294117647,21,3,0.125,0.5733459807473247,0.0242116777793591,0.0029856761676062,W3_18-20天_鸡舍温度-平均_MEAN,413.86630465777904
"[26.35, 28.75)",76,0.2794117647058823,46,30,0.3947368421052631,-0.9451201534810488,0.3151720327486028,0.0379927218925446,W3_18-20天_鸡舍温度-平均_MEAN,434.3992996346144
"[28.75, inf)",15,0.0551470588235294,7,8,0.5333333333333333,-1.5060955609325113,0.1704847174545306,0.0195003548026469,W3_18-20天_鸡舍温度-平均_MEAN,440.7541176006804
,272,1.0,217,55,0.2022058823529411,,1.2836938323397602,0.1405700769305559,W3_18-20天_鸡舍温度-平均_MEAN,405.5520973074085
"(-inf, 23.75)",16,0.058823529411764705,13,3,0.1875,0.09377290048543836,0.0005028458844631801,6.283271597380896e-05,W3_21-23天_鸡舍温度-平均_MEAN,396.7495438797392
"[23.75, 24.25)",32,0.11764705882352941,30,2,0.0625,1.3354860327942215,0.13606627699017793,0.015847295847288074,W3_21-23天_鸡舍温度-平均_MEAN,376.4655625801981
"[24.25, 24.75)",52,0.19117647058823528,50,2,0.038461538461538464,1.8463116565602122,0.35827882669404704,0.039342539651650243,W3_21-23天_鸡舍温度-平均_MEAN,388.9276654759197
"[24.75, 24.95)",39,0.14338235294117646,34,5,0.1282051282051282,0.5443584438740723,0.035804053493183635,0.004421053911863903,W3_21-23天_鸡舍温度-平均_MEAN,390.32437426138847
"[24.95, 25.05)",17,0.0625,13,4,0.23529411764705882,-0.1939091719663425,0.0024858067290197236,0.00031023994076877313,W3_21-23天_鸡舍温度-平均_MEAN,408.4671128011694
"[25.05, 25.35)",45,0.16544117647058823,32,13,0.28888888888888886,-0.47177762296979886,0.04194018081030219,0.005194438551455488,W3_21-23天_鸡舍温度-平均_MEAN,419.76197613580797
"[25.35, inf)",71,0.2610294117647059,45,26,0.36619718309859156,-0.823998216559151,0.2186512234472418,0.02658351408667759,W3_21-23天_鸡舍温度-平均_MEAN,431.481136877461
,272,1.0,217,55,0.20220588235294118,,0.7937292140484355,0.09176191470567788,W3_21-23天_鸡舍温度-平均_MEAN,405.55209730740853
