,DOCdate_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_min,鸡舍温度-最高_max,eef_high_flg,eef
20517,2,G09_67_H10,-2,30.46363636,13.1,32.5,1,428.2486056
20518,2,G09_67_H10,-1,32.2125,29.5,34.9,1,428.2486056
20519,2,G09_67_H10,0,33.5375,30.7,34.8,1,428.2486056
20520,2,G09_67_H10,1,33.54166667,32.6,34.6,1,428.2486056
20521,2,G09_67_H10,2,32.68333333,31.7,33.7,1,428.2486056
20522,2,G09_67_H10,3,31.92083333,31.1,32.8,1,428.2486056
20523,2,G09_67_H10,4,31.34166667,29.9,32,1,428.2486056
20524,2,G09_67_H10,5,30.61666667,29.4,31.5,1,428.2486056
20525,2,G09_67_H10,6,29.8875,28.8,30.7,1,428.2486056
20526,2,G09_67_H10,7,29.15833333,28.2,30.3,1,428.2486056
20527,2,G09_67_H10,8,28.77916667,27.6,29.7,1,428.2486056
20528,2,G09_67_H10,9,28.60833333,27.8,29.4,1,428.2486056
20529,2,G09_67_H10,10,28.9,27.8,30.3,1,428.2486056
20530,2,G09_67_H10,11,28.09583333,27,30.3,1,428.2486056
20531,2,G09_67_H10,12,27.65,27,28.8,1,428.2486056
20532,2,G09_67_H10,13,27.4625,26.8,28.6,1,428.2486056
20533,2,G09_67_H10,14,27.22727273,26.4,28.2,1,428.2486056
20534,2,G09_67_H10,17,26.96666667,25.6,28,1,428.2486056
20535,2,G09_67_H10,18,26.7125,25.6,27.7,1,428.2486056
20536,2,G09_67_H10,19,26.82916667,25.4,28.4,1,428.2486056
20537,2,G09_67_H10,20,26.54166667,25.1,28.4,1,428.2486056
20538,2,G09_67_H10,21,26.06666667,25.2,27.3,1,428.2486056
20539,2,G09_67_H10,22,25.45833333,24.5,27.1,1,428.2486056
20540,2,G09_67_H10,23,25.14166667,24.2,26.4,1,428.2486056
20541,2,G09_67_H10,24,24.90833333,24.1,26.4,1,428.2486056
20542,2,G09_67_H10,25,24.85416667,24,27,1,428.2486056
20543,2,G09_67_H10,26,25.1625,23.9,27,1,428.2486056
20544,2,G09_67_H10,27,24.54166667,23.5,26.3,1,428.2486056
20545,2,G09_67_H10,28,24.65833333,23.3,26.5,1,428.2486056
20546,2,G09_67_H10,29,25.425,23.3,28.3,1,428.2486056
20547,2,G09_67_H10,30,25.85416667,23,29.2,1,428.2486056
20548,2,G09_67_H10,31,26.04583333,23,29.5,1,428.2486056
20549,2,G09_67_H10,32,25.32083333,22.8,28.5,1,428.2486056
20550,2,G09_67_H10,33,26.01666667,23.4,30,1,428.2486056
20551,2,G09_67_H10,34,26.675,22.8,33,1,428.2486056
20552,2,G09_67_H10,35,27.42916667,23,33.4,1,428.2486056
20553,2,G09_67_H11,-2,30.88181818,13.4,32.8,1,428.3397426
20554,2,G09_67_H11,-1,32.50416667,29.3,35.1,1,428.3397426
20555,2,G09_67_H11,0,33.91666667,31.4,35,1,428.3397426
20556,2,G09_67_H11,1,33.675,32.6,34.7,1,428.3397426
20557,2,G09_67_H11,2,33.05833333,31.8,33.9,1,428.3397426
20558,2,G09_67_H11,3,32.17083333,31.1,33.2,1,428.3397426
20559,2,G09_67_H11,4,31.39583333,30.2,32.5,1,428.3397426
20560,2,G09_67_H11,5,30.49166667,29.5,31.8,1,428.3397426
20561,2,G09_67_H11,6,29.95833333,28.8,31.1,1,428.3397426
20562,2,G09_67_H11,7,29.3,28.2,30.5,1,428.3397426
20563,2,G09_67_H11,8,28.8875,27.6,30.1,1,428.3397426
20564,2,G09_67_H11,9,28.55833333,27.6,29.9,1,428.3397426
20565,2,G09_67_H11,10,29.00833333,27.8,30.4,1,428.3397426
20566,2,G09_67_H11,11,28.17916667,26.9,30.4,1,428.3397426
20567,2,G09_67_H11,12,28.225,27.1,28.9,1,428.3397426
20568,2,G09_67_H11,13,27.7875,26.7,28.7,1,428.3397426
20569,2,G09_67_H11,14,27.40833333,26.4,28.7,1,428.3397426
20570,2,G09_67_H11,15,27.2625,26.1,28.4,1,428.3397426
20571,2,G09_67_H11,16,26.65833333,25.9,28.1,1,428.3397426
20572,2,G09_67_H11,17,26.78333333,25.7,28.1,1,428.3397426
20573,2,G09_67_H11,18,26.61666667,25.5,27.9,1,428.3397426
20574,2,G09_67_H11,19,26.65833333,25.2,28.3,1,428.3397426
20575,2,G09_67_H11,20,26.45833333,25,28.3,1,428.3397426
20576,2,G09_67_H11,21,26.1875,25.1,27.1,1,428.3397426
20577,2,G09_67_H11,22,25.61666667,24.5,27,1,428.3397426
20578,2,G09_67_H11,23,25.32916667,24.2,26.5,1,428.3397426
20579,2,G09_67_H11,24,25.1625,24.2,26.1,1,428.3397426
20580,2,G09_67_H11,25,25.19583333,24.2,26.5,1,428.3397426
20581,2,G09_67_H11,26,25.35833333,24,27,1,428.3397426
20582,2,G09_67_H11,27,24.65,23.6,26.3,1,428.3397426
20583,2,G09_67_H11,28,24.77916667,23.5,26.5,1,428.3397426
20584,2,G09_67_H11,29,25.45833333,23.4,28.1,1,428.3397426
20585,2,G09_67_H11,30,25.8625,22.9,29.1,1,428.3397426
20586,2,G09_67_H11,31,26.0125,23.1,29.6,1,428.3397426
20587,2,G09_67_H11,32,25.32083333,22.8,28.5,1,428.3397426
20588,2,G09_67_H11,33,25.96666667,23.4,29.9,1,428.3397426
20589,2,G09_67_H11,34,26.75416667,22.8,33,1,428.3397426
20590,2,G09_67_H11,35,27.32916667,23,33.5,1,428.3397426
20591,2,G09_67_H12,-2,30.98181818,16.4,32.8,0,378.1117013
20592,2,G09_67_H12,-1,32.32916667,29.4,34.8,0,378.1117013
20593,2,G09_67_H12,0,33.99583333,32.3,34.9,0,378.1117013
20594,2,G09_67_H12,1,33.93333333,32.8,34.8,0,378.1117013
20595,2,G09_67_H12,2,33.10416667,32,34.1,0,378.1117013
20596,2,G09_67_H12,3,32.22916667,31.3,33.1,0,378.1117013
20597,2,G09_67_H12,4,31.56666667,30.4,32.3,0,378.1117013
20598,2,G09_67_H12,5,30.75416667,29.7,31.5,0,378.1117013
20599,2,G09_67_H12,6,30.00416667,29,30.9,0,378.1117013
20600,2,G09_67_H12,7,29.3125,28.6,30.3,0,378.1117013
20601,2,G09_67_H12,8,29.02916667,28.1,29.8,0,378.1117013
20602,2,G09_67_H12,9,29.05416667,28.2,30.3,0,378.1117013
20603,2,G09_67_H12,10,28.5375,27.5,30.5,0,378.1117013
20604,2,G09_67_H12,11,27.92916667,27.3,29,0,378.1117013
20605,2,G09_67_H12,12,27.7125,27.2,28.6,0,378.1117013
20606,2,G09_67_H12,13,27.43333333,26.8,28.4,0,378.1117013
20607,2,G09_67_H12,14,27.22083333,26.5,28.1,0,378.1117013
20608,2,G09_67_H12,15,27.1125,26.1,27.8,0,378.1117013
20609,2,G09_67_H12,16,27.19583333,26,28.3,0,378.1117013
20610,2,G09_67_H12,17,27.1125,25.8,28,0,378.1117013
20611,2,G09_67_H12,18,27.2625,25.7,28.5,0,378.1117013
20612,2,G09_67_H12,19,26.9625,25.4,28.5,0,378.1117013
20613,2,G09_67_H12,20,26.40416667,25.4,28,0,378.1117013
20614,2,G09_67_H12,21,25.74583333,25,27.4,0,378.1117013
20615,2,G09_67_H12,22,25.4125,24.5,27.1,0,378.1117013
20616,2,G09_67_H12,23,25.40416667,24.3,26.8,0,378.1117013
20617,2,G09_67_H12,24,24.9375,23.9,27.3,0,378.1117013
20618,2,G09_67_H12,25,25.3,24.1,27.1,0,378.1117013
20619,2,G09_67_H12,26,24.875,23.6,26.6,0,378.1117013
20620,2,G09_67_H12,27,25.09166667,23.5,26.8,0,378.1117013
20621,2,G09_67_H12,28,25.82916667,23.6,28.5,0,378.1117013
20622,2,G09_67_H12,29,26.0375,23.2,29.3,0,378.1117013
20623,2,G09_67_H12,30,26.05416667,23.2,29.3,0,378.1117013
20624,2,G09_67_H12,31,25.35833333,23,28.3,0,378.1117013
20625,2,G09_67_H12,32,26.14583333,23.3,29.9,0,378.1117013
20626,2,G09_67_H12,33,27.0125,23.1,32.8,0,378.1117013
20627,2,G09_67_H13,-2,31.39090909,17,33.6,1,396.0205347
20628,2,G09_67_H13,-1,32.56666667,29.6,35.3,1,396.0205347
20629,2,G09_67_H13,0,33.97083333,31.8,35.1,1,396.0205347
20630,2,G09_67_H13,1,33.94583333,32.8,35,1,396.0205347
20631,2,G09_67_H13,2,33.05,32.2,34,1,396.0205347
20632,2,G09_67_H13,3,32.50833333,31.2,33.8,1,396.0205347
20633,2,G09_67_H13,4,31.8,30.5,33.6,1,396.0205347
20634,2,G09_67_H13,5,30.9875,30.3,32.2,1,396.0205347
20635,2,G09_67_H13,10,28.12,27.7,29.1,1,396.0205347
20636,2,G09_67_H13,11,28.56666667,27.3,29.7,1,396.0205347
20637,2,G09_67_H13,12,28.27916667,26.8,29.3,1,396.0205347
20638,2,G09_67_H13,13,28.2,26.7,29.1,1,396.0205347
20639,2,G09_67_H13,14,27.4625,26.4,29.1,1,396.0205347
