,Harveststatus_month,ID_NUM,日龄,鸡舍温度-平均_mean,鸡舍温度-最低_mean,鸡舍温度-最高_mean,eef_high_flg,eef
31398,8,G10_60_H1,3,32.17446808510638,32.01276595744681,32.2936170212766,1,468.9947443462663
31399,8,G10_60_H1,4,31.4875,31.363541666666663,31.61458333333333,1,468.9947443462663
31400,8,G10_60_H1,5,32.6875,32.45729166666667,32.873958333333334,1,468.9947443462663
31401,8,G10_60_H1,6,32.192708333333336,32.01770833333333,32.38854166666667,1,468.9947443462663
31402,8,G10_60_H1,7,32.13229166666667,31.89270833333333,32.334375,1,468.9947443462663
31403,8,G10_60_H1,8,32.109375,31.95625,32.25729166666667,1,468.9947443462663
31404,8,G10_60_H1,9,31.54375,31.34166666666667,31.744791666666668,1,468.9947443462663
31405,8,G10_60_H1,10,30.73958333333333,30.56041666666667,30.886458333333334,1,468.9947443462663
31406,8,G10_60_H1,11,31.910416666666663,31.75625,32.06458333333333,1,468.9947443462663
31407,8,G10_60_H1,12,31.90833333333333,31.71666666666667,32.110416666666666,1,468.9947443462663
31408,8,G10_60_H1,13,31.26875,31.097916666666663,31.475,1,468.9947443462663
31409,8,G10_60_H1,14,30.352083333333336,30.2,30.558333333333334,1,468.9947443462663
31410,8,G10_60_H1,15,30.441666666666663,30.21770833333333,30.61458333333333,1,468.9947443462663
31411,8,G10_60_H1,16,30.471875,30.303125,30.65,1,468.9947443462663
31412,8,G10_60_H1,17,31.05625,30.921875,31.207291666666663,1,468.9947443462663
31413,8,G10_60_H1,18,31.03125,30.85729166666667,31.2125,1,468.9947443462663
31414,8,G10_60_H1,19,30.765625,30.590625,30.957291666666663,1,468.9947443462663
31415,8,G10_60_H1,20,30.184375,29.988541666666663,30.39375,1,468.9947443462663
31416,8,G10_60_H1,21,29.65416666666667,29.479166666666668,29.882291666666664,1,468.9947443462663
31417,8,G10_60_H1,22,28.784375,28.582291666666663,29.0125,1,468.9947443462663
31418,8,G10_60_H1,23,29.469791666666666,29.284375,29.691666666666663,1,468.9947443462663
31419,8,G10_60_H1,24,29.84375,29.666666666666668,30.026041666666668,1,468.9947443462663
31420,8,G10_60_H1,25,29.938541666666666,29.777083333333334,30.105208333333334,1,468.9947443462663
31421,8,G10_60_H1,26,29.89375,29.742708333333336,30.071875,1,468.9947443462663
31422,8,G10_60_H1,27,29.066666666666663,28.922916666666666,29.2375,1,468.9947443462663
31423,8,G10_60_H1,28,28.478125,28.3125,28.66875,1,468.9947443462663
31424,8,G10_60_H1,29,28.572916666666668,28.46770833333333,28.707291666666663,1,468.9947443462663
31425,8,G10_60_H1,30,28.60729166666667,28.41979166666667,28.805208333333336,1,468.9947443462663
31426,8,G10_60_H1,31,28.87395833333333,28.71875,29.055208333333336,1,468.9947443462663
31427,8,G10_60_H1,32,29.1875,29.025,29.35625,1,468.9947443462663
31428,8,G10_60_H1,33,29.141666666666666,29.001041666666666,29.3125,1,468.9947443462663
31429,8,G10_60_H1,34,29.397916666666664,29.2625,29.542708333333334,1,468.9947443462663
31430,8,G10_60_H1,35,26.148958333333336,26.035416666666663,26.316666666666663,1,468.9947443462663
31431,8,G10_60_H1,36,26.532291666666666,26.382291666666664,26.680208333333336,1,468.9947443462663
31432,8,G10_60_H10,6,30.675,30.666666666666668,30.808333333333334,0,445.5872974898003
31433,8,G10_60_H10,7,31.926041666666663,31.788541666666664,32.08645833333333,0,445.5872974898003
31434,8,G10_60_H10,8,31.409375,31.222916666666663,31.64583333333333,0,445.5872974898003
31435,8,G10_60_H10,9,30.44375,30.26770833333333,30.621875,0,445.5872974898003
31436,8,G10_60_H10,10,31.88958333333333,31.709375,32.092708333333334,0,445.5872974898003
31437,8,G10_60_H10,11,32.128125000000004,31.975,32.30625,0,445.5872974898003
31438,8,G10_60_H10,12,31.41875,31.257291666666664,31.617708333333336,0,445.5872974898003
31439,8,G10_60_H10,13,30.210416666666664,30.06041666666667,30.391666666666666,0,445.5872974898003
31440,8,G10_60_H10,14,30.421875,30.25625,30.573958333333334,0,445.5872974898003
31441,8,G10_60_H10,15,30.496875,30.338541666666668,30.66875,0,445.5872974898003
31442,8,G10_60_H10,16,31.175,31.011458333333334,31.335416666666664,0,445.5872974898003
31443,8,G10_60_H10,17,31.26458333333333,31.096875,31.445833333333336,0,445.5872974898003
31444,8,G10_60_H10,18,30.8125,30.659375,31.003125,0,445.5872974898003
31445,8,G10_60_H10,19,30.288541666666664,30.088541666666668,30.508333333333336,0,445.5872974898003
31446,8,G10_60_H10,20,29.535416666666663,29.40416666666667,29.725,0,445.5872974898003
31447,8,G10_60_H10,21,28.58333333333333,28.446875,28.744791666666668,0,445.5872974898003
31448,8,G10_60_H10,22,29.45625,29.27083333333333,29.676041666666663,0,445.5872974898003
31449,8,G10_60_H10,23,29.74895833333333,29.573958333333334,29.947916666666668,0,445.5872974898003
31450,8,G10_60_H10,24,29.85,29.68645833333333,30.04479166666667,0,445.5872974898003
31451,8,G10_60_H10,25,29.871875,29.71770833333333,30.0375,0,445.5872974898003
31452,8,G10_60_H10,26,28.938541666666666,28.79375,29.11875,0,445.5872974898003
31453,8,G10_60_H10,27,28.319791666666664,28.126041666666666,28.5125,0,445.5872974898003
