,humidity_lower,humidity_lower,humidity_lower,humidity_lower,humidity_lower,humidity_lower,humidity_lower,humidity_upper,humidity_upper,humidity_upper,humidity_upper,humidity_upper,humidity_upper,humidity_upper,temp_lower,temp_lower,temp_lower,temp_lower,temp_lower,temp_lower,temp_lower,temp_lower,temp_upper,temp_upper,temp_upper,temp_upper,temp_upper,temp_upper,temp_upper,temp_upper
DOCdate_month,1,10,11,12,7,8,9,1,10,11,12,7,8,9,1,10,11,12,2,7,8,9,1,10,11,12,2,7,8,9
»’¡‰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.0,,0.8611111111111112,50.38333333333333,40.02066666666667,,53.3751048951049,81.96991452991453,,100.0,86.74444444444444,99.99578947368423,,76.36285714285715,89.48307692307692,15.313529411764707,27.66329365079365,22.364444444444445,22.443589743589747,25.56356643356643,,30.514358974358974,22.83153846153846,25.99357142857143,29.606944444444444,33.71666666666667,27.116222222222223,27.51969696969697,,31.866749084249083,24.488290598290593
-1.0,,30.119107142857143,43.954166666666666,,53.40051282051283,,,,79.09708333333333,79.03,,86.01693486590038,,,26.484895833333336,29.891458333333336,27.98777777777778,26.015694444444442,27.444728260869567,31.83856,31.164507575757575,30.809375,30.24130128205128,33.98215079365079,34.20381944444444,28.42666666666667,29.050833333333337,33.27912195121951,33.98429292929293,33.959731934731934
0.0,,49.37916666666666,41.15,,69.82350378787879,,,,64.05833333333334,74.33541666666667,,84.36645833333333,,,26.27520833333334,30.057638888888885,29.02144570707071,27.367972222222225,28.573333333333334,33.207125000000005,32.911111111111104,32.46284722222222,30.500527777777776,34.78333333333333,33.96052884615385,28.75319444444444,29.773888888888887,34.43384722222223,34.24305555555556,33.967013888888886
1.0,,53.92916666666667,43.72791666666667,,66.23937500000001,,,,68.40416666666667,75.45791666666668,,83.25000000000001,,,25.871458333333333,29.51944444444445,28.750520833333333,26.63180555555556,28.164291666666664,34.28961805555555,33.11527777777778,32.12708333333333,30.361486111111113,34.40277777777778,34.458333333333336,28.975416666666664,29.725972222222225,35.02276388888889,34.361250000000005,33.78402777777778
2.0,,60.9125,41.039880952380955,,66.21333333333332,,,,74.61666666666666,75.81458333333333,,84.14020833333333,,,25.356944444444444,28.85,27.899652777777778,26.06277777777778,27.42083333333333,33.06722222222223,31.75583333333333,31.184375000000003,29.54472222222222,33.56944444444444,33.072916666666664,28.39472222222222,28.79583333333333,34.53391666666667,33.52527777777778,33.238194444444446
3.0,,64.66083333333333,34.14166666666667,,71.12385416666666,,,,76.96000000000001,77.22833333333334,,86.03884973404254,,,25.02,28.672013888888888,27.20611111111111,24.98791666666667,27.14305555555556,31.605023271276593,31.129444444444445,30.62708333333334,28.76775,32.53805555555556,32.252374999999994,27.609583333333333,28.248611111111103,33.74629166666666,33.05947916666667,32.50340277777778
4.0,,62.1225,34.192916666666676,,71.02187500000001,,,,78.43190476190478,77.61166666666668,,85.00833333333334,,,26.426805555555553,28.384166666666665,26.938194444444445,24.938333333333333,26.613888888888884,31.05243055555556,31.21180555555555,29.969097222222224,28.124,31.738611111111112,31.550833333333337,27.434236111111105,27.54652777777778,33.214375,32.91909722222222,31.805833333333332
5.0,52.20916666666667,61.17316666666667,48.07260416666667,,72.24375,68.325,,72.11333333333334,80.42083333333333,79.53125,,83.29583333333333,84.9,,26.040694444444444,27.515833333333333,26.357222222222223,24.034166666666668,25.98472222222222,32.40416666666666,31.068836805555556,29.62069444444444,28.096833333333333,30.756666666666664,30.822000000000003,26.73291666666667,27.231944444444448,33.419444444444444,32.59409722222222,31.34361111111111
6.0,54.008333333333326,62.987500000000004,61.27541666666667,,75.13666666666667,65.48941176470588,,76.61541666666668,80.99416666666666,79.23375,,83.91104166666666,84.28166666666667,,25.077430555555555,27.018472222222222,25.755972222222223,25.276527777777776,25.364513888888887,31.061354166666668,29.520972222222223,28.977291666666666,30.129458333333336,30.042083333333334,30.03475,26.431458333333335,27.041388888888893,33.34563740079365,32.14208333333334,31.11111111111111
7.0,55.11416666666667,63.0775,62.614583333333336,,74.35041666666667,65.72869565217391,,78.78999999999999,79.09416666666667,82.81166666666665,,86.38364583333335,85.83416666666668,,24.91465277777778,26.286388888888887,25.443888888888885,24.76291666666667,25.03944444444444,31.08850694444445,29.980972222222224,28.40277777777777,29.355125,29.649583333333332,29.271583333333332,25.821944444444444,27.10395833333333,32.682916666666664,31.738611111111105,31.05784722222222
8.0,53.06875,62.005416666666676,60.75791666666666,,75.0859375,67.58749999999999,,76.47083333333333,83.76458333333333,84.46791666666667,,87.5278125,87.42250000000001,,24.564,25.88048611111111,25.210763888888888,24.756944444444443,24.683333333333334,30.95644097222222,29.55694444444444,28.243819444444444,28.973458333333337,29.297777777777778,28.933666666666667,25.63263888888889,26.874305555555555,32.607625,31.54111111111111,30.92590277777778
9.0,57.035,62.15541666666666,61.74791666666667,,75.1340625,62.89333333333333,,81.31791666666668,82.47874999999999,89.32083333333334,,88.53656249999999,89.3725,,24.35729166666666,25.67555555555555,24.89340277777778,24.423541666666665,24.36388888888889,30.815156250000005,28.59916666666667,28.368611111111115,28.683375000000005,29.284930555555555,28.685833333333335,25.272222222222226,27.57708333333333,31.975875,31.32736111111111,30.36295138888889
