Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 66.35)",61,0.34269662921348315,49,12,0.19672131147540983,0.034605529177475614,0.00040616818283422084,5.0768489653258125e-05,W3_0-2天_湿度内部平均_MEAN,0.036617997199903225
"[66.35, 67.90)",13,0.07303370786516854,12,1,0.07692307692307693,1.1125985306428496,0.06311689630016165,0.007506309121167076,W3_0-2天_湿度内部平均_MEAN,0.03361638853210516
"[67.90, inf)",104,0.5842696629213483,81,23,0.22115384615384615,-0.11335318040186149,0.00776087893987706,0.0009695908306363403,W3_0-2天_湿度内部平均_MEAN,0.03705601402884413
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.07128394342287293,0.008526668441456674,W3_0-2天_湿度内部平均_MEAN,
"(-inf, 33.65)",29,0.16292134831460675,12,17,0.5862068965517241,-1.7206148134133663,0.6671084820393764,0.07441862965169063,W3_0-2天_鸡舍温度-平均_MEAN,0.047232403915494325
"[33.65, 33.75)",11,0.06179775280898876,6,5,0.45454545454545453,-1.189986562351196,0.11499478908479868,0.013582063057612798,W3_0-2天_鸡舍温度-平均_MEAN,0.050534961771489355
"[33.75, 34.35)",93,0.5224719101123596,85,8,0.08602150537634409,0.9909015956653298,0.3729449667566695,0.04479986021703805,W3_0-2天_鸡舍温度-平均_MEAN,0.03351239789385921
"[34.35, 34.45)",25,0.1404494382022472,24,1,0.04,1.805745711202795,0.25503685514249175,0.028150684986868686,W3_0-2天_鸡舍温度-平均_MEAN,0.030969854162174862
"[34.45, 34.55)",10,0.056179775280898875,9,1,0.1,0.8249164581910688,0.029369091430120207,0.003570463804232914,W3_0-2天_鸡舍温度-平均_MEAN,0.03233544640334271
"[34.55, inf)",10,0.056179775280898875,6,4,0.4,-0.9668430110369863,0.0665744796332197,0.008012110670742468,W3_0-2天_鸡舍温度-平均_MEAN,0.038465822385882954
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_0-2天_鸡舍温度-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,1.5060286640866762,0.17253381238818552,W3_0-2天_鸡舍温度-平均_MEAN,
"(-inf, 73.25)",69,0.38764044943820225,50,19,0.2753623188405797,-0.404724092883445,0.07109589894548785,0.008826825535789992,W3_3-5天_湿度内部平均_MEAN,0.039382278620049824
"[73.25, 76.05)",23,0.12921348314606743,17,6,0.2608695652173913,-0.3308542443169895,0.01553306311347369,0.0019328252461620135,W3_3-5天_湿度内部平均_MEAN,0.03718395487901377
"[76.05, 77.25)",11,0.06179775280898876,9,2,0.18181818181818182,0.13176927763112345,0.001031058510415676,0.00012878915292590786,W3_3-5天_湿度内部平均_MEAN,0.03262854033322607
"[77.25, 82.80)",41,0.2303370786516854,36,5,0.12195121951219512,0.6017729068768591,0.06898257500583711,0.008495025093084967,W3_3-5天_湿度内部平均_MEAN,0.03358395304035015
"[82.80, 84.45)",17,0.09550561797752809,16,1,0.058823529411764705,1.4002806030946304,0.11888141270404337,0.013753910387874428,W3_3-5天_湿度内部平均_MEAN,0.03444097502921449
"[84.45, inf)",17,0.09550561797752809,14,3,0.17647058823529413,0.16813692180199813,0.002565469464114996,0.00032030647715965057,W3_3-5天_湿度内部平均_MEAN,0.0370926798996476
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.27808947774337267,0.03345768189299696,W3_3-5天_湿度内部平均_MEAN,
"(-inf, 31.85)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.047176103674236115,W3_3-5天_鸡舍温度-平均_MEAN,0.048387763840634236
"[31.85, 32.65)",77,0.43258426966292135,62,15,0.19480519480519481,0.046776064797730665,0.0009333252365744348,0.00011665501971527392,W3_3-5天_鸡舍温度-平均_MEAN,0.037233510459078474
"[32.65, 33.05)",51,0.28651685393258425,42,9,0.17647058823529413,0.16813692180199813,0.007696408392344987,0.000960919431478904,W3_3-5天_鸡舍温度-平均_MEAN,0.03485822413871631
"[33.05, inf)",31,0.17415730337078653,30,1,0.03225806451612903,2.028889262517005,0.37228054151818274,0.03990342173311972,W3_3-5天_鸡舍温度-平均_MEAN,0.030981260958568665
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_3-5天_鸡舍温度-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.8022777628693116,0.08815709985855001,W3_3-5天_鸡舍温度-平均_MEAN,
"(-inf, 68.55)",31,0.17415730337078653,20,11,0.3548387096774194,-0.7744711183895304,0.1275635136314524,0.015558512749045399,W3_6-8天_湿度内部平均_MEAN,0.0436195515831367
"[68.55, 80.85)",68,0.38202247191011235,51,17,0.25,-0.27369583047704094,0.030946046560197497,0.0038562271630213883,W3_6-8天_湿度内部平均_MEAN,0.03730063818290435
"[80.85, 82.35)",19,0.10674157303370786,16,3,0.15789473684210525,0.30166831442652087,0.008851769789510593,0.001102294677675135,W3_6-8天_湿度内部平均_MEAN,0.035016347887186966
"[82.35, 85.35)",36,0.20224719101123595,33,3,0.08333333333333333,1.02558715365322,0.15287508041544473,0.018313599650928353,W3_6-8天_湿度内部平均_MEAN,0.03344135133014582
"[85.35, 89.95)",15,0.08426966292134831,14,1,0.06666666666666667,1.2667492104701077,0.08970328916083314,0.010518630720413995,W3_6-8天_湿度内部平均_MEAN,0.03214333648602804
"[89.95, inf)",9,0.05056179775280899,8,1,0.1111111111111111,0.707133422534685,0.020195907607602516,0.0024731717883056054,W3_6-8天_湿度内部平均_MEAN,0.03161528206269976
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.43013560716504085,0.05182243674938988,W3_6-8天_湿度内部平均_MEAN,
"(-inf, 29.95)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.047176103674236115,W3_6-8天_鸡舍温度-平均_MEAN,0.048387763840634236
"[29.95, 30.75)",16,0.0898876404494382,11,5,0.3125,-0.5838507587808804,0.035862507483802146,0.004420208010385214,W3_6-8天_鸡舍温度-平均_MEAN,0.038189113252203984
"[30.75, 31.95)",107,0.601123595505618,88,19,0.17757009345794392,0.16058971616661544,0.014764703951155922,0.0018436073819879314,W3_6-8天_鸡舍温度-平均_MEAN,0.036027026960280505
"[31.95, inf)",36,0.20224719101123595,35,1,0.027777777777777776,2.183039942344263,0.47743322682724687,0.05008644410096279,W3_6-8天_鸡舍温度-平均_MEAN,0.03164586470427569
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_6-8天_鸡舍温度-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.9494279259844145,0.10352636316757205,W3_6-8天_鸡舍温度-平均_MEAN,
"(-inf, 66.65)",20,0.11235955056179775,12,8,0.4,-0.9668430110369863,0.1331489592664394,0.016024221341484936,W3_9-11天_湿度内部平均_MEAN,0.042945610265391926
"[66.65, 77.95)",37,0.20786516853932585,26,11,0.2972972972972973,-0.5121068539220394,0.06271105057809011,0.007754331746239972,W3_9-11天_湿度内部平均_MEAN,0.04130610561911856
"[77.95, 79.30)",12,0.06741573033707865,9,3,0.25,-0.27369583047704094,0.005461067040034853,0.0006805106758273035,W3_9-11天_湿度内部平均_MEAN,0.03792220205938179
"[79.30, 82.40)",36,0.20224719101123595,28,8,0.2222222222222222,-0.11954515064978266,0.0029933058065673298,0.0003739405856189636,W3_9-11天_湿度内部平均_MEAN,0.03486480730102201
"[82.40, 84.30)",22,0.12359550561797752,21,1,0.045454545454545456,1.6722143185782723,0.20084890289652957,0.0225371840159,W3_9-11天_湿度内部平均_MEAN,0.03299807049436732
"[84.30, inf)",51,0.28651685393258425,46,5,0.09803921568627451,0.8468953649098439,0.1567220295783866,0.01902502652792476,W3_9-11天_湿度内部平均_MEAN,0.03335570955824654
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.5618853151660479,0.06639521489299594,W3_9-11天_湿度内部平均_MEAN,
"(-inf, 29.10)",11,0.06179775280898876,5,6,0.5454545454545454,-1.5546296759391052,0.20436446444269923,0.023248608376549487,W3_9-11天_鸡舍温度-平均_MEAN,0.048287229032701086
"[29.10, 30.45)",35,0.19662921348314608,23,12,0.34285714285714286,-0.7217205530040014,0.12367511823777486,0.015132370811371296,W3_9-11天_鸡舍温度-平均_MEAN,0.04153683547649974
"[30.45, 31.05)",39,0.21910112359550563,28,11,0.28205128205128205,-0.43799888176831736,0.047467014964719875,0.00588639897967878,W3_9-11天_鸡舍温度-平均_MEAN,0.04052145914006894
"[31.05, 31.65)",64,0.3595505617977528,59,5,0.078125,1.0957914123264685,0.30310036326870626,0.03609893462228516,W3_9-11天_鸡舍温度-平均_MEAN,0.031566829657040704
"[31.65, inf)",29,0.16292134831460675,27,2,0.06896551724137931,1.230381566299233,0.16559125931413776,0.019484749265382614,W3_9-11天_鸡舍温度-平均_MEAN,0.032378399088301965
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_鸡舍温度-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.844198220228038,0.09985106205526735,W3_9-11天_鸡舍温度-平均_MEAN,
"(-inf, 61.75)",11,0.06179775280898876,10,1,0.09090909090909091,0.9302769738488952,0.03967143589574709,0.004787511547073509,W3_12-14天_湿度内部平均_MEAN,0.03216513533229114
"[61.75, 75.15)",21,0.11797752808988764,15,6,0.2857142857142857,-0.4560173872709956,0.02783204711043635,0.003449171462691473,W3_12-14天_湿度内部平均_MEAN,0.042691614890230684
"[75.15, 76.75)",14,0.07865168539325842,7,7,0.5,-1.3723081191451507,0.19918869804493386,0.023112084415135636,W3_12-14天_湿度内部平均_MEAN,0.045829556724935425
"[76.75, 85.85)",97,0.5449438202247191,78,19,0.1958762886597938,0.039961728378000716,0.000859896346161986,0.00010747989174414441,W3_12-14天_湿度内部平均_MEAN,0.03615695286715542
"[85.85, 87.00)",9,0.05056179775280899,8,1,0.1111111111111111,0.707133422534685,0.020195907607602516,0.0024731717883056054,W3_12-14天_湿度内部平均_MEAN,0.03101184005358682
"[87.00, inf)",26,0.14606741573033707,24,2,0.07692307692307693,1.1125985306428496,0.1262337926003233,0.015012618242334151,W3_12-14天_湿度内部平均_MEAN,0.03254812134675973
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_湿度内部平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.41398177760520505,0.048942037347284514,W3_12-14天_湿度内部平均_MEAN,
"(-inf, 30.55)",74,0.4157303370786517,49,25,0.33783783783783783,-0.6993636459027249,0.24433948974613975,0.0299348290593371,W3_12-14天_鸡舍温度-平均_MEAN,0.040039683364484636
"[30.55, 30.75)",18,0.10112359550561797,14,4,0.2222222222222222,-0.11954515064978266,0.0014966529032836649,0.0001869702928094818,W3_12-14天_鸡舍温度-平均_MEAN,0.039974074576393556
"[30.75, 30.95)",22,0.12359550561797752,20,2,0.09090909090909091,0.9302769738488952,0.07934287179149419,0.009575023094147019,W3_12-14天_鸡舍温度-平均_MEAN,0.033092568469521993
"[30.95, 31.25)",20,0.11235955056179775,19,1,0.05,1.5721308600212895,0.16668523594122434,0.018924388306669638,W3_12-14天_鸡舍温度-平均_MEAN,0.032530342805447324
"[31.25, inf)",44,0.24719101123595505,40,4,0.09090909090909091,0.9302769738488952,0.15868574358298837,0.019150046188294037,W3_12-14天_鸡舍温度-平均_MEAN,0.033259615121042634
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_鸡舍温度-平均_MEAN,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_12-14天_鸡舍温度-平均_MEAN,
,178,1.0,142,36,0.20224719101123595,,0.6505499939651302,0.07777125694125728,W3_12-14天_鸡舍温度-平均_MEAN,
"(-inf, 66.75)",18,0.10112359550561797,14,4,0.2222222222222222,-0.11954515064978266,0.0014966529032836649,0.0001869702928094818,W3_15-17天_湿度内部平均_MEAN,0.037521023230637225
"[66.75, 80.35)",60,0.33707865168539325,47,13,0.21666666666666667,-0.08710987489662902,0.0026242020215338103,0.00032792157959318086,W3_15-17天_湿度内部平均_MEAN,0.03736741175439461
"[80.35, 81.65)",14,0.07865168539325842,13,1,0.07142857142857142,1.192641238316386,0.07605654219310287,0.008980870592558355,W3_15-17天_湿度内部平均_MEAN,0.03666571182980335
"[81.65, 83.60)",20,0.11235955056179775,16,4,0.2,0.013986241974739855,2.1887702620876417e-05,2.735940528012209e-06,W3_15-17天_湿度内部平均_MEAN,0.03416448696296505
