Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 66.35)",61,0.34269662921348315,49,12,0.19672131147540983,0.03460552917747552,0.00040616818283421987,5.0768489653258125e-05,W3_0-2天_湿度内部平均_MEAN,0.0366179971999032
"[66.35, 67.90)",13,0.07303370786516854,12,1,0.07692307692307693,1.1125985306428496,0.06311689630016165,0.007506309121167,W3_0-2天_湿度内部平均_MEAN,0.0336163885321051
"[67.90, inf)",104,0.5842696629213483,81,23,0.22115384615384615,-0.1133531804018616,0.007760878939877058,0.0009695908306363,W3_0-2天_湿度内部平均_MEAN,0.0370560140288441
,178,1.0,142,36,0.20224719101123595,,0.07128394342287293,0.008526668441456558,W3_0-2天_湿度内部平均_MEAN,0.03665469853433285
"[-inf, 33.65)",29,0.16292134831460675,12,17,0.5862068965517241,-1.7206148134133665,0.6671084820393764,0.0744186296516906,W3_0-2天_鸡舍温度-平均_MEAN,0.0472324039154943
"[33.65, 33.75)",11,0.06179775280898876,6,5,0.45454545454545453,-1.1899865623511963,0.11499478908479871,0.0135820630576127,W3_0-2天_鸡舍温度-平均_MEAN,0.0505349617714893
"[33.75, 34.35)",93,0.5224719101123596,85,8,0.08602150537634409,0.9909015956653299,0.37294496675666955,0.044799860217038,W3_0-2天_鸡舍温度-平均_MEAN,0.0335123978938592
"[34.35, 34.45)",25,0.1404494382022472,24,1,0.04,1.8057457112027948,0.25503685514249175,0.0281506849868686,W3_0-2天_鸡舍温度-平均_MEAN,0.030969854162174803
"[34.45, 34.55)",10,0.056179775280898875,9,1,0.1,0.8249164581910687,0.02936909143012021,0.0035704638042329,W3_0-2天_鸡舍温度-平均_MEAN,0.0323354464033427
"[34.55, inf)",10,0.056179775280898875,6,4,0.4,-0.9668430110369863,0.0665744796332197,0.0080121106707424,W3_0-2天_鸡舍温度-平均_MEAN,0.0384658223858829
,178,1.0,142,36,0.20224719101123595,,1.5060286640866762,0.1725338123881852,W3_0-2天_鸡舍温度-平均_MEAN,0.036654698534332855
"[-inf, 73.25)",69,0.38764044943820225,50,19,0.2753623188405797,-0.4047240928834453,0.07109589894548786,0.0088268255357899,W3_3-5天_湿度内部平均_MEAN,0.0393822786200498
"[73.25, 76.05)",23,0.12921348314606743,17,6,0.2608695652173913,-0.33085424431698957,0.015533063113473689,0.001932825246162,W3_3-5天_湿度内部平均_MEAN,0.0371839548790137
"[76.05, 84.45)",69,0.38764044943820225,61,8,0.11594202898550725,0.6591242033483246,0.1366728590667496,0.022377724633885203,W3_3-5天_湿度内部平均_MEAN,0.03364279121473167
"[84.45, inf)",17,0.09550561797752809,14,3,0.17647058823529413,0.16813692180199818,0.0025654694641149955,0.0003203064771596,W3_3-5天_湿度内部平均_MEAN,0.0370926798996476
,178,1.0,142,36,0.20224719101123595,,0.22586729058982616,0.03345768189299671,W3_3-5天_湿度内部平均_MEAN,0.03665469853433284
"[-inf, 31.85)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.0471761036742361,W3_3-5天_鸡舍温度-平均_MEAN,0.0483877638406342
"[31.85, 32.65)",77,0.43258426966292135,62,15,0.19480519480519481,0.0467760647977307,0.0009333252365744367,0.0001166550197152,W3_3-5天_鸡舍温度-平均_MEAN,0.0372335104590784
"[32.65, 33.05)",51,0.28651685393258425,42,9,0.17647058823529413,0.16813692180199818,0.007696408392344986,0.0009609194314789,W3_3-5天_鸡舍温度-平均_MEAN,0.0348582241387163
"[33.05, inf)",31,0.17415730337078653,30,1,0.03225806451612903,2.0288892625170045,0.37228054151818274,0.0399034217331197,W3_3-5天_鸡舍温度-平均_MEAN,0.0309812609585686
,178,1.0,142,36,0.20224719101123595,,0.8022777628693116,0.0881570998585499,W3_3-5天_鸡舍温度-平均_MEAN,0.03665469853433284
"[-inf, 68.55)",31,0.17415730337078653,20,11,0.3548387096774194,-0.7744711183895303,0.12756351363145238,0.0155585127490453,W3_6-8天_湿度内部平均_MEAN,0.0436195515831367
"[68.55, 80.85)",68,0.38202247191011235,51,17,0.25,-0.27369583047704094,0.030946046560197497,0.0038562271630213,W3_6-8天_湿度内部平均_MEAN,0.0373006381829043
"[80.85, 82.35)",19,0.10674157303370786,16,3,0.15789473684210525,0.301668314426521,0.008851769789510595,0.0011022946776751,W3_6-8天_湿度内部平均_MEAN,0.0350163478871869
"[82.35, 85.35)",36,0.20224719101123595,33,3,0.08333333333333333,1.02558715365322,0.15287508041544473,0.0183135996509283,W3_6-8天_湿度内部平均_MEAN,0.0334413513301458
"[85.35, inf)",24,0.1348314606741573,22,2,0.08333333333333333,1.0255871536532197,0.10191672027696314,0.0129918025087195,W3_6-8天_湿度内部平均_MEAN,0.031945316077279885
,178,1.0,142,36,0.20224719101123595,,0.42215313067356836,0.0518224367493895,W3_6-8天_湿度内部平均_MEAN,0.03665469853433285
"[-inf, 29.95)",19,0.10674157303370786,8,11,0.5789473684210527,-1.6907618502636854,0.42136748772220955,0.0471761036742361,W3_6-8天_鸡舍温度-平均_MEAN,0.0483877638406342
"[29.95, 30.75)",16,0.0898876404494382,11,5,0.3125,-0.5838507587808807,0.035862507483802146,0.0044202080103852,W3_6-8天_鸡舍温度-平均_MEAN,0.0381891132522039
"[30.75, 31.95)",107,0.601123595505618,88,19,0.17757009345794392,0.1605897161666152,0.014764703951155925,0.0018436073819879,W3_6-8天_鸡舍温度-平均_MEAN,0.0360270269602805
