Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 39.35)",26,0.064356436,19,7,0.269230769,-0.384674338,0.010615559,0.001318824,W3_0-2天_湿度内部平均_MEAN,314.99277
"[39.35, 48.05)",38,0.094059406,36,2,0.052631579,1.507168589,0.130767599,0.014955658,W3_0-2天_湿度内部平均_MEAN,306.9371392
"[48.05, 57.60)",145,0.358910891,130,15,0.103448276,0.776281081,0.168679354,0.020570956,W3_0-2天_湿度内部平均_MEAN,300.6765058
"[57.60, 65.55)",92,0.227722772,73,19,0.206521739,-0.037182707,0.000318348,3.98E-05,W3_0-2天_湿度内部平均_MEAN,328.0792769
"[65.55, inf)",103,0.254950495,65,38,0.368932039,-0.846402058,0.226748921,0.029876576,W3_0-2天_湿度内部平均_MEAN,341.152465
,404,1,323,81,0.20049505,,0.537129781,0.066761804,W3_0-2天_湿度内部平均_MEAN,318.7463218
"[-inf, 32.95)",25,0.061881188,19,6,0.24,-0.230523659,0.003515611,0.000438481,W3_0-2天_鸡舍温度-平均_MEAN,332.7690319
"[32.95, 33.35)",48,0.118811881,29,19,0.395833333,-0.960346318,0.139043376,0.016790904,W3_0-2天_鸡舍温度-平均_MEAN,347.8802694
"[33.35, 33.65)",113,0.27970297,83,30,0.265486726,-0.365559942,0.041456115,0.005153352,W3_0-2天_鸡舍温度-平均_MEAN,333.4114335
"[33.65, 33.95)",144,0.356435644,123,21,0.145833333,0.384458749,0.046729306,0.005805453,W3_0-2天_鸡舍温度-平均_MEAN,312.3031078
"[33.95, inf)",74,0.183168317,69,5,0.067567568,1.241465424,0.18857102,0.022165477,W3_0-2天_鸡舍温度-平均_MEAN,285.2553483
,404,1,323,81,0.20049505,,0.419315429,0.050353667,W3_0-2天_鸡舍温度-平均_MEAN,318.7463218
"(-inf, 0.45)",344,0.851485149,271,73,0.212209302,-0.071543789,0.004451832,0.00055636,W3_0-2天_探头温度标准差_MEAN,318.777913
"[0.45, 0.65)",35,0.086633663,32,3,0.085714286,0.983920446,0.061036689,0.007335994,W3_0-2天_探头温度标准差_MEAN,317.4991277
"[0.65, inf)",25,0.061881188,20,5,0.2,0.003091193,5.91E-07,7.38E-08,W3_0-2天_探头温度标准差_MEAN,320.0576992
"[-inf, 67.35)",189,0.467821782,156,33,0.174603175,0.170145277,0.012856982,0.00394929,W3_3-5天_湿度内部平均_MEAN,313.6258732
"[67.35, 68.55)",28,0.069306931,25,3,0.107142857,0.737060368,0.029749484,0.003636732,W3_3-5天_湿度内部平均_MEAN,310.7096874
"[68.55, 75.85)",98,0.242574257,82,16,0.163265306,0.250927356,0.014137023,0.009162736,W3_3-5天_湿度内部平均_MEAN,316.5613289
"[75.85, inf)",89,0.22029703,60,29,0.325842697,-0.656154436,0.113033217,0.013881021,W3_3-5天_湿度内部平均_MEAN,334.5544101
,404,1,323,81,0.20049505,,0.169776705,0.03062978,W3_3-5天_湿度内部平均_MEAN,318.7463218
"[-inf, 31.25)",57,0.141089109,31,26,0.456140351,-1.207312502,0.27166031,0.032034665,W3_3-5天_鸡舍温度-平均_MEAN,356.9424019
"[31.25, 31.45)",45,0.111386139,35,10,0.222222222,-0.1304402,0.001969341,0.000245993,W3_3-5天_鸡舍温度-平均_MEAN,313.7930614
"[31.45, 31.95)",201,0.497524752,164,37,0.184079602,0.105745347,0.005387706,0.00067315,W3_3-5天_鸡舍温度-平均_MEAN,317.8560088
"[31.95, 32.05)",26,0.064356436,25,1,0.038461538,1.835672656,0.119417302,0.013131081,W3_3-5天_鸡舍温度-平均_MEAN,282.1696485
"[32.05, inf)",75,0.185643564,68,7,0.093333333,0.890394388,0.110503787,0.018892473,W3_3-5天_鸡舍温度-平均_MEAN,307.7552094
,404,1,323,81,0.20049505,,0.508938446,0.064977362,W3_3-5天_鸡舍温度-平均_MEAN,318.7463218
"[-inf, 0.15)",128,0.316831683,99,29,0.2265625,-0.155379148,0.008005622,0.000999697,W3_3-5天_探头温度标准差_MEAN,314.9845776
"[0.15, 0.25)",159,0.393564356,125,34,0.213836478,-0.081249956,0.002661438,0.000332588,W3_3-5天_探头温度标准差_MEAN,320.7967433
"[0.25, 0.35)",72,0.178217822,60,12,0.166666667,0.226234744,0.008508771,0.001061334,W3_3-5天_探头温度标准差_MEAN,317.1826474
"[0.35, inf)",45,0.111386139,39,6,0.133333333,0.488599008,0.022802408,0.002822283,W3_3-5天_探头温度标准差_MEAN,324.7034507
,404,1,323,81,0.20049505,,0.04197824,0.005215903,W3_3-5天_探头温度标准差_MEAN,318.7463218
"[-inf, 74.15)",261,0.646039604,212,49,0.187739464,0.081562808,0.00419302,0.000523982,W3_6-8天_湿度内部平均_MEAN,318.4442577
"[74.15, 76.20)",34,0.084158416,33,1,0.029411765,2.113304393,0.189820178,0.020110424,W3_6-8天_湿度内部平均_MEAN,300.0838601
"[76.20, 82.85)",52,0.128712871,40,12,0.230769231,-0.179230364,0.004356936,0.000543889,W3_6-8天_湿度内部平均_MEAN,315.7341415
"[82.85, inf)",57,0.141089109,38,19,0.333333333,-0.690055988,0.080681927,0.009889788,W3_6-8天_湿度内部平均_MEAN,334.0094061
,404,1,323,81,0.20049505,,0.279052061,0.031068084,W3_6-8天_湿度内部平均_MEAN,318.7463218
"[-inf, 29.05)",34,0.084158416,13,21,0.617647059,-1.862776249,0.407969572,0.044704209,W3_6-8天_鸡舍温度-平均_MEAN,369.5379694
