Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 33.80)",255,0.6311881188118812,207,48,0.18823529411764706,0.07831461380726026,0.0037805816320211636,0.0005276801264612,W3_0-2天_鸡舍温度-平均_MEAN,0.08685327070156793
"[33.80, 33.88)",46,0.11386138613861387,44,2,0.043478260869565216,1.707839284808098,0.19047796632916827,0.0212817200021103,W3_0-2天_鸡舍温度-平均_MEAN,0.0762435852157348
"[33.88, 33.99)",42,0.10396039603960396,32,10,0.23809523809523808,-0.22005235874453677,0.005366104990980177,0.0006694130424794,W3_0-2天_鸡舍温度-平均_MEAN,0.0953594953432226
"[33.99, inf)",61,0.15099009900990099,40,21,0.3442622950819672,-0.7388461521597044,0.10005473061582512,0.0130130858238985,W3_0-2天_鸡舍温度-平均_MEAN,0.10896370962679243
,404,1.0,323,81,0.2004950495049505,,0.29967938356799473,0.0354918989949494,W3_0-2天_鸡舍温度-平均_MEAN,0.08986800505067652
"[-inf, 0.10)",37,0.09158415841584158,26,11,0.2972972972972973,-0.5230019033271063,0.028925725418121877,0.003575062380371,W3_0-2天_探头温度标准差_MEAN,0.1038323133700046
"[0.10, 0.18)",77,0.1905940594059406,59,18,0.23376623376623376,-0.19603748254066294,0.007755180767862481,0.0009678482966529,W3_0-2天_探头温度标准差_MEAN,0.0957911793877049
"[0.18, 0.32)",163,0.4034653465346535,133,30,0.18404907975460122,0.10594857800938065,0.004385670985137762,0.0005479526127943,W3_0-2天_探头温度标准差_MEAN,0.086186294319248
"[0.32, 0.33)",22,0.054455445544554455,21,1,0.045454545454545456,1.6613192691732053,0.08750135507857192,0.0098312935629537,W3_0-2天_探头温度标准差_MEAN,0.0697202328689469
"[0.33, 0.48)",49,0.12128712871287128,42,7,0.14285714285714285,0.40855630067783727,0.017817633263517655,0.0022118422490662,W3_0-2天_探头温度标准差_MEAN,0.0875121872230748
"[0.48, inf)",56,0.13861386138613863,42,14,0.25,-0.28459087988210807,0.012182921892289146,0.0015177467976222,W3_0-2天_探头温度标准差_MEAN,0.0931901671758024
,404,1.0,323,81,0.2004950495049505,,0.15856848740550084,0.018651745899460302,W3_0-2天_探头温度标准差_MEAN,0.08986800505067649
"[-inf, 2.40)",299,0.7400990099009901,239,60,0.20066889632107024,-0.0010841788408077829,8.702272544036395e-07,0.0018780469483433999,W3_0-2天_温度4-平均_RANGE_MEAN,0.09001739207616032
