Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"[-inf, 33.80)",255,0.6311881188118812,207,48,0.188235294117647,0.0783146138072602,0.0037805816320211,0.0005276801264612,W3_0-2天_鸡舍温度-平均_MEAN,0.0868532707015679
"[33.80, 33.88)",46,0.1138613861386138,44,2,0.0434782608695652,1.707839284808098,0.1904779663291682,0.0212817200021103,W3_0-2天_鸡舍温度-平均_MEAN,0.0762435852157348
"[33.88, 33.99)",42,0.1039603960396039,32,10,0.238095238095238,-0.2200523587445367,0.0053661049909801,0.0006694130424794,W3_0-2天_鸡舍温度-平均_MEAN,0.0953594953432226
"[33.99, inf)",61,0.1509900990099009,40,21,0.3442622950819672,-0.7388461521597044,0.1000547306158251,0.0130130858238985,W3_0-2天_鸡舍温度-平均_MEAN,0.1089637096267924
,404,1.0,323,81,0.2004950495049505,,0.2996793835679947,0.0354918989949494,W3_0-2天_鸡舍温度-平均_MEAN,0.0898680050506765
"[-inf, 0.10)",37,0.0915841584158415,26,11,0.2972972972972973,-0.5230019033271063,0.0289257254181218,0.003575062380371,W3_0-2天_探头温度标准差_MEAN,0.1038323133700046
"[0.10, 0.18)",77,0.1905940594059406,59,18,0.2337662337662337,-0.1960374825406629,0.0077551807678624,0.0009678482966529,W3_0-2天_探头温度标准差_MEAN,0.0957911793877049
"[0.18, 0.32)",163,0.4034653465346535,133,30,0.1840490797546012,0.1059485780093806,0.0043856709851377,0.0005479526127943,W3_0-2天_探头温度标准差_MEAN,0.086186294319248
"[0.32, 0.33)",22,0.0544554455445544,21,1,0.0454545454545454,1.6613192691732053,0.0875013550785719,0.0098312935629537,W3_0-2天_探头温度标准差_MEAN,0.0697202328689469
"[0.33, 0.48)",49,0.1212871287128712,42,7,0.1428571428571428,0.4085563006778372,0.0178176332635176,0.0022118422490662,W3_0-2天_探头温度标准差_MEAN,0.0875121872230748
"[0.48, inf)",56,0.1386138613861386,42,14,0.25,-0.284590879882108,0.0121829218922891,0.0015177467976222,W3_0-2天_探头温度标准差_MEAN,0.0931901671758024
,404,1.0,323,81,0.2004950495049505,,0.1585684874055008,0.0186517458994603,W3_0-2天_探头温度标准差_MEAN,0.0898680050506764
"[-inf, 2.40)",299,0.7400990099009901,239,60,0.2006688963210702,-0.0010841788408077,8.702272544036395e-07,0.0018780469483433,W3_0-2天_温度4-平均_RANGE_MEAN,0.0900173920761603
"[2.40, 2.62)",40,0.099009900990099,38,2,0.05,1.5612358106162227,0.145125768888073,0.0164971816721727,W3_0-2天_温度4-平均_RANGE_MEAN,0.0767211345902471
"[2.62, 2.92)",32,0.0792079207920792,25,7,0.21875,-0.1102374927373301,0.0009943832238661,0.0001242350034501,W3_0-2天_温度4-平均_RANGE_MEAN,0.0929889871561593
"[2.92, inf)",33,0.0816831683168316,21,12,0.3636363636363636,-0.8235873806147951,0.0684670165056445,0.0083244138786251,W3_0-2天_温度4-平均_RANGE_MEAN,0.1014236617301327
,404,1.0,323,81,0.2004950495049505,,0.2145880388448381,0.0268238775025912,W3_0-2天_温度4-平均_RANGE_MEAN,0.0898680050506764
"[-inf, 31.01)",34,0.0841584158415841,33,1,0.0294117647058823,2.1133043929162625,0.189820178242297,0.0201104241689611,W3_3-5天_鸡舍温度-平均_MEAN,0.0706099441183658
"[31.01, 31.29)",28,0.0693069306930693,23,5,0.1785714285714285,0.1428531349448316,0.0013541099058333,0.0001691199612472,W3_3-5天_鸡舍温度-平均_MEAN,0.0778700622364746
"[31.29, 32.01)",255,0.6311881188118812,203,52,0.2039215686274509,-0.0212409080898576,0.0002865894796361,0.0008555529019821,W3_3-5天_鸡舍温度-平均_MEAN,0.0915392101728902
