Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"(-inf, 2.55)",66,0.3707865168539326,52,14,0.21212121212121213,-0.060121730178982036,0.0013642646128250995,0.00017050739738224113,温度3-平均_RANGE_0,445.12088792431246
"[2.55, 2.85)",27,0.15168539325842698,23,4,0.14814814814814814,0.3768917356641084,0.019168984990741045,0.0023820412958076107,温度3-平均_RANGE_0,442.63447501748897
"[2.85, inf)",85,0.47752808988764045,67,18,0.21176470588235294,-0.05798725765034929,0.0016334438774746297,0.00020415188276870066,温度3-平均_RANGE_0,449.933284998183
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_0,
,178,1.0,142,36,0.20224719101123595,,0.022166693481040774,0.0027567005759585525,温度3-平均_RANGE_0,
"(-inf, 3.55)",118,0.6629213483146067,93,25,0.211864406779661,-0.05858445086009545,0.0023149567828128497,0.00028932822343666516,温度3-平均_RANGE_1,445.2545779657074
"[3.55, 4.15)",21,0.11797752808988764,17,4,0.19047619047619047,0.07461086379117465,0.0006421905334138666,8.025520240948153e-05,温度3-平均_RANGE_1,450.7753707260075
"[4.15, inf)",39,0.21910112359550563,32,7,0.1794871794871795,0.14751763459926237,0.004559426108506158,0.0005694120557393646,温度3-平均_RANGE_1,450.43886328519864
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_1,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_1,
,178,1.0,142,36,0.20224719101123595,,0.007516573424732874,0.0009389954815855112,温度3-平均_RANGE_1,
"(-inf, 1.85)",50,0.2808988764044944,36,14,0.28,-0.42784651030429943,0.05791662463430658,0.00718486090219508,温度3-平均_RANGE_2,446.3141898763349
"[1.85, 3.05)",31,0.17415730337078653,29,2,0.06451612903225806,1.301840530281378,0.19354436678674636,0.02261743029999377,温度3-平均_RANGE_2,450.63461027030644
"[3.05, inf)",97,0.5449438202247191,77,20,0.20618556701030927,-0.02423497084545767,0.00032237441656712113,4.029581594672e-05,温度3-平均_RANGE_2,446.2686210425374
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_2,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,温度3-平均_RANGE_2,
,178,1.0,142,36,0.20224719101123595,,0.25178336583762007,0.02984258701813557,温度3-平均_RANGE_2,
"(-inf, 1.65)",19,0.10674157303370786,13,6,0.3157894736842105,-0.5991182309116688,0.04500418635956197,0.005542869827955158,温度3-平均_RANGE_3,445.59258736125366
