Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,EEF
"[-inf, 2.85)",93,0.5224719101123596,75,18,0.1935483870967742,0.05480823649499495,0.0015438939857745037,0.0025525486931898,温度3-平均_RANGE_0,444.39902611265404
"[2.85, inf)",85,0.47752808988764045,67,18,0.21176470588235294,-0.0579872576503494,0.001633443877474632,0.0002041518827687,温度3-平均_RANGE_0,449.933284998183
,178,1.0,142,36,0.20224719101123595,,0.003177337863249136,0.0027567005759584996,温度3-平均_RANGE_0,447.04179018720436
"[-inf, 3.55)",118,0.6629213483146067,93,25,0.211864406779661,-0.058584450860095436,0.0023149567828128453,0.0002893282234366,温度3-平均_RANGE_1,445.2545779657074
"[3.55, inf)",60,0.33707865168539325,49,11,0.18333333333333332,0.12161690616710524,0.004805675869670429,0.0006496672581487816,温度3-平均_RANGE_1,450.5566408894817
,178,1.0,142,36,0.20224719101123595,,0.007120632652483274,0.0009389954815853816,温度3-平均_RANGE_1,447.04179018720436
"[-inf, 1.85)",50,0.2808988764044944,36,14,0.28,-0.42784651030429943,0.05791662463430658,0.007184860902195,温度3-平均_RANGE_2,446.3141898763349
"[1.85, 3.05)",31,0.17415730337078653,29,2,0.06451612903225806,1.301840530281378,0.19354436678674636,0.0226174302999937,温度3-平均_RANGE_2,450.6346102703064
"[3.05, inf)",97,0.5449438202247191,77,20,0.20618556701030927,-0.02423497084545784,0.0003223744165671223,4.029581594672e-05,温度3-平均_RANGE_2,446.2686210425374
,178,1.0,142,36,0.20224719101123595,,0.25178336583762007,0.02984258701813542,温度3-平均_RANGE_2,447.04179018720436
"[-inf, 4.05)",113,0.6348314606741573,86,27,0.23893805309734514,-0.21379768889597206,0.030865159312446676,0.0066360239673531,温度3-平均_RANGE_3,447.85930917884053
"[4.05, 4.65)",24,0.1348314606741573,23,1,0.041666666666666664,1.763186096783999,0.2366090888876806,0.0262564465767816,温度3-平均_RANGE_3,441.26546388230514
"[4.65, inf)",41,0.2303370786516854,33,8,0.1951219512195122,0.044757900641493625,0.00045528380934226726,5.6905726350575496e-05,温度3-平均_RANGE_3,448.1698922667823
,178,1.0,142,36,0.20224719101123595,,0.26792953200946956,0.032949376270485276,温度3-平均_RANGE_3,447.04179018720436
"[-inf, 1.85)",40,0.2247191011235955,31,9,0.225,-0.13554549199622393,0.004295455732274704,0.000536521309346,温度3-平均_RANGE_4,444.87103691423926
"[1.85, 5.25)",110,0.6179775280898876,86,24,0.21818181818181817,-0.0960146532395886,0.005860049258754233,0.0007322249187346,温度3-平均_RANGE_4,448.6949609963589
"[5.25, inf)",28,0.15730337078651685,25,3,0.10714285714285714,0.7479554170549403,0.069352673647113,0.0084724972140236,温度3-平均_RANGE_4,443.648266684048
,178,1.0,142,36,0.20224719101123595,,0.07950817863814194,0.0097412434421042,温度3-平均_RANGE_4,447.04179018720436
"[-inf, 1.95)",33,0.1853932584269663,29,4,0.12121212121212122,0.6086933497214327,0.05667801926201135,0.0069773661157068,温度3-平均_RANGE_5,440.1439667013438
"[1.95, 4.35)",78,0.43820224719101125,61,17,0.21794871794871795,-0.09464759902805563,0.00403622390221364,0.0005043397534825,温度3-平均_RANGE_5,447.5461954205246
"[4.35, 5.25)",33,0.1853932584269663,22,11,0.3333333333333333,-0.6791609385852057,0.10229928065543985,0.0125471785906257,温度3-平均_RANGE_5,453.77654015488497
"[5.25, inf)",34,0.19101123595505617,30,4,0.11764705882352941,0.6425949013971141,0.06436005272208967,0.0079093855898407,温度3-平均_RANGE_5,446.04290247840896
,178,1.0,142,36,0.20224719101123595,,0.2273735765417545,0.027938270049655697,温度3-平均_RANGE_5,447.04179018720436
"[-inf, 2.45)",36,0.20224719101123595,34,2,0.05555555555555555,1.4609052249110652,0.26863280739757456,0.0308792503405951,温度3-平均_RANGE_6,440.1851808543722
"[2.45, 3.25)",28,0.15730337078651685,23,5,0.17857142857142858,0.1537481843498986,0.003548960436871681,0.000443183632279,温度3-平均_RANGE_6,443.66707600368215
"[3.25, 4.35)",25,0.1404494382022472,17,8,0.32,-0.6185363167687706,0.06340239240744049,0.0078013291309657,温度3-平均_RANGE_6,454.6849901288376
"[4.35, 4.95)",19,0.10674157303370786,10,9,0.47368421052631576,-1.2669476034873244,0.22751523865441386,0.0266779842938994,温度3-平均_RANGE_6,457.7232278045622
"[4.95, 5.45)",30,0.16853932584269662,21,9,0.3,-0.5250102587579472,0.053610202478804464,0.0066253576172785,温度3-平均_RANGE_6,448.966083757046
"[5.45, inf)",40,0.2247191011235955,37,3,0.075,1.139997504830964,0.2020418113022014,0.0239707743589452,温度3-平均_RANGE_6,444.281135506072
,178,1.0,142,36,0.20224719101123595,,0.8187514126773066,0.09639787937396291,温度3-平均_RANGE_6,447.0417901872044
"[-inf, 2.25)",31,0.17415730337078653,22,9,0.2903225806451613,-0.4784902431230543,0.04549026959268475,0.0056326516988676,温度3-平均_RANGE_7,449.3713552989726
"[2.25, 3.45)",39,0.21910112359550563,36,3,0.07692307692307693,1.1125985306428496,0.18935068890048498,0.0225189273635012,温度3-平均_RANGE_7,437.5318333220375
"[3.45, inf)",108,0.6067415730337079,84,24,0.2222222222222222,-0.11954515064978269,0.008979917419701984,0.0011218217568568,温度3-平均_RANGE_7,449.8072698101368
,178,1.0,142,36,0.20224719101123595,,0.2438208759128717,0.029273400819225602,温度3-平均_RANGE_7,447.0417901872044
"[-inf, 3.15)",46,0.25842696629213485,40,6,0.13043478260869565,0.5248118657407307,0.060365684087548846,0.0074602900631715,温度3-平均_RANGE_8,441.36328801233486
