Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE
"(-inf, 45.15)",21,0.11797752808988764,19,2,0.09523809523809523,0.8789836794613446,0.0687780656855512,0.008330761892596591,湿度内部平均_MEAN_0,0.0339774604047986
"[45.15, 55.55)",35,0.19662921348314608,26,9,0.2571428571428571,-0.3114361584598879,0.020835517643443217,0.0025939650250590574,湿度内部平均_MEAN_0,0.03838783568995591
"[55.55, 65.85)",40,0.2247191011235955,27,13,0.325,-0.6414206106023586,0.10966385243866614,0.0134777221841735,湿度内部平均_MEAN_0,0.04202784822996711
"[65.85, 72.10)",24,0.1348314606741573,20,4,0.16666666666666666,0.23712979328894956,0.007050807625180041,0.0008792917897573662,湿度内部平均_MEAN_0,0.03354741926124422
"[72.10, inf)",58,0.3258426966292135,50,8,0.13793103448275862,0.4602733446031595,0.05978511361825076,0.007407863618815472,湿度内部平均_MEAN_0,0.03415833499988759
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_0,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_0,
,178,1.0,142,36,0.20224719101123595,,0.26611335701109134,0.03268960451040199,湿度内部平均_MEAN_0,
"(-inf, 61.70)",44,0.24719101123595505,35,9,0.20454545454545456,-0.014184634991956546,4.9945897859001276e-05,6.24318489274257e-06,湿度内部平均_MEAN_1,0.036708835240728745
"[61.70, 67.55)",29,0.16292134831460675,18,11,0.3793103448275862,-0.8798316340473564,0.15730949012505557,0.019053021761238513,湿度内部平均_MEAN_1,0.043437956227977075
"[67.55, 77.75)",62,0.34831460674157305,52,10,0.16129032258064516,0.2763505064422309,0.024434747439727778,0.0030446612663684383,湿度内部平均_MEAN_1,0.03454027414220862
"[77.75, inf)",43,0.24157303370786518,37,6,0.13953488372093023,0.4468503242710187,0.04195777692685621,0.005201518109783785,湿度内部平均_MEAN_1,0.03507325258350974
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_1,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_1,
,178,1.0,142,36,0.20224719101123595,,0.22375196038949857,0.02730544432228348,湿度内部平均_MEAN_1,
"(-inf, 66.85)",37,0.20786516853932585,36,1,0.02702702702702703,2.211210819310959,0.49916613565822515,0.05215609333477611,湿度内部平均_MEAN_2,0.031100859493484987
"[66.85, 75.05)",71,0.398876404494382,52,19,0.2676056338028169,-0.36550337973016367,0.059058253454052294,0.007341461753049006,湿度内部平均_MEAN_2,0.03869291955623632
"[75.05, 78.60)",18,0.10112359550561797,9,9,0.5,-1.3723081191451507,0.25609975462920065,0.029715537105174366,湿度内部平均_MEAN_2,0.04300209192962377
"[78.60, 81.80)",22,0.12359550561797752,17,5,0.22727272727272727,-0.14853268752303483,0.002847457624659126,0.0003556053735055435,湿度内部平均_MEAN_2,0.03673494645330753
"[81.80, inf)",30,0.16853932584269662,28,2,0.06666666666666667,1.2667492104701077,0.1794065783216663,0.02103726144082799,湿度内部平均_MEAN_2,0.03481335908845121
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_2,
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,湿度内部平均_MEAN_2,
,178,1.0,142,36,0.20224719101123595,,0.9965781796878035,0.11060595900733301,湿度内部平均_MEAN_2,
