Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,name
"(-inf, 6.74)",181,0.159471366,157,24,0.132596685,0.162469119,0.003976162,0.000496474,COST_PER_KG
"[6.74, 7.45)",407,0.358590308,327,80,0.196560197,-0.30778932,0.037707548,0.004694926,COST_PER_KG
"[7.45, 7.66)",120,0.105726872,96,24,0.2,-0.329428495,0.012826702,0.001596127,COST_PER_KG
"[7.66, 7.76)",57,0.050220264,35,22,0.385964912,-1.251417248,0.113610032,0.013341576,COST_PER_KG
"[7.76, 8.00)",92,0.081057269,73,19,0.206521739,-0.369702394,0.012548813,0.001559729,COST_PER_KG
"[8.00, 8.16)",57,0.050220264,54,3,0.052631579,1.174648902,0.045566999,0.005389456,COST_PER_KG
"[8.16, inf)",219,0.192951542,218,1,0.00456621,3.668772207,0.810178194,0.067010669,COST_PER_KG
Special,0,0,0,0,0,0,0,0,COST_PER_KG
Missing,2,0.001762115,2,0,0,0,0,0,COST_PER_KG
,1135,1,962,173,0.152422907,,1.03641445,0.094088957,COST_PER_KG
"['L3/L8' 'L5/L6' 'L6/大岭头/天河坑' '上访凹/大岗垅平' 'SZ901PLUS' '上坊凹/洋坑' '上访凹'
 'L7/下朱溪一' '大岗垅坪' '叶子琴' '南源垅/大岭头' '南源拢' '南源垅' '元岱二' '下朱溪二' '下朱溪一/天河坑'
 '大里丰' '大岗垅平' '大岭头/南源拢' '大岭头' '洋坑/南源垅' '马头洋/樟树后/L6' '金三角/洋坑' '金三角/上坊凹'
 '洋坑/金山角' '牛苦坑\n樟树后' '碗一/SZ901PLUS' '碗一' '樟树后' '洋坑/大岗垅坪' '横山' 'L5']",282,0.24845815,270,12,0.042553191,1.397792453,0.295355109,0.034179823,HESOURCE
['L1'],91,0.080176211,83,8,0.087912088,0.62367621,0.024969383,0.003071551,HESOURCE
['L4'],225,0.198237885,202,23,0.102222222,0.457050625,0.035207173,0.004362987,HESOURCE
['L3'],89,0.078414097,77,12,0.134831461,0.143175916,0.001528749,0.000190931,HESOURCE
['洋坑' 'L8'],60,0.052863436,51,9,0.15,0.018878199,1.87E-05,2.34E-06,HESOURCE
['下朱溪一' 'L7' '天河坑' '牛苦坑' '天门'],141,0.124229075,110,31,0.219858156,-0.449229695,0.029130586,0.00361101,HESOURCE
['L6' '大岗垅平/洋坑' '洋坑/大岗垅平' '梁家边' '大岗垅平/上坊凹' 'L7Plus' '洋坑/大岗垅平/上坊凹'],247,0.217621145,169,78,0.315789474,-0.942532968,0.259376945,0.031272897,HESOURCE
Special,0,0,0,0,0,0,0,0,HESOURCE
Missing,0,0,0,0,0,0,0,0,HESOURCE
,1135,1,962,173,0.152422907,,0.645586662,0.07669154,HESOURCE
['26' '27' '44' '42' '51' '63' '58' '57' '61' '67' '66' '64' '50'],130,0.114537445,126,4,0.030769231,1.73426469,0.187050408,0.020831323,HEAGE
['40'],85,0.074889868,80,5,0.058823529,1.056865866,0.057343797,0.00685196,HEAGE
['60' '54' '46'],98,0.086343612,91,7,0.071428571,0.849226501,0.045970471,0.005579631,HEAGE
['0'],62,0.054625551,56,6,0.096774194,0.517869365,0.012185454,0.001506386,HEAGE
['70' '43' '47' '39' '55'],111,0.097797357,100,11,0.099099099,0.491552057,0.019842132,0.002455594,HEAGE
['20' '28'],83,0.073127753,74,9,0.108433735,0.39111766,0.009738812,0.001209651,HEAGE
['90' '48'],107,0.094273128,94,13,0.121495327,0.262622569,0.005927021,0.000738756,HEAGE
['45' '31' '80' '41'],150,0.13215859,124,26,0.173333333,-0.153537829,0.003284311,0.000410136,HEAGE
['56' '32' '29' '49' '30'],132,0.116299559,101,31,0.234848485,-0.534589544,0.039667157,0.004900182,HEAGE
['38' '35' '10'],116,0.102202643,81,35,0.301724138,-0.876621763,0.103540036,0.012543389,HEAGE
['37' '62' '59' '33' '34' '36'],61,0.053744493,35,26,0.426229508,-1.418471333,0.161573078,0.018657333,HEAGE
Special,0,0,0,0,0,0,0,0,HEAGE
Missing,0,0,0,0,0,0,0,0,HEAGE
,1135,1,962,173,0.152422907,,0.646122677,0.075684341,HEAGE
"(-inf, 1343.78)",252,0.222026432,209,43,0.170634921,-0.13458872,0.004212519,0.000526168,GAS_COST
"[1343.78, 11634.82)",436,0.384140969,375,61,0.139908257,0.100329306,0.003733427,0.000466483,GAS_COST
"[11634.82, 15977.04)",113,0.099559471,100,13,0.115044248,0.324497972,0.009347357,0.00116332,GAS_COST
"[15977.04, 18495.07)",95,0.083700441,93,2,0.021052632,2.123729456,0.180756779,0.019122294,GAS_COST
"[18495.07, 19726.03)",65,0.057268722,54,11,0.169230769,-0.124634082,0.000928618,0.000116002,GAS_COST
"[19726.03, inf)",174,0.153303965,131,43,0.247126437,-0.601725649,0.067622095,0.008327505,GAS_COST
Special,0,0,0,0,0,0,0,0,GAS_COST
Missing,0,0,0,0,0,0,0,0,GAS_COST
,1135,1,962,173,0.152422907,,0.266600796,0.029721772,GAS_COST
['丁家宝' '张明明' '戈兆康'],84,0.074008811,83,1,0.011904762,2.703117752,0.21759622,0.021107819,FARMSUPERVISOR
['李晓' '余涛'],57,0.050220264,55,2,0.035087719,1.598463149,0.072908883,0.008252532,FARMSUPERVISOR
['薄明龙'],66,0.05814978,61,5,0.075757576,0.785713096,0.027113253,0.003304583,FARMSUPERVISOR
['王勇' '陈智'],87,0.076651982,80,7,0.08045977,0.720393629,0.030759119,0.003763849,FARMSUPERVISOR
['李明' '杨健健'],84,0.074008811,75,9,0.107142857,0.40454068,0.010493565,0.001302824,FARMSUPERVISOR
['李芳昌'],80,0.070484581,71,9,0.1125,0.349732444,0.007617681,0.000947387,FARMSUPERVISOR
['公赔河' '史成志'],112,0.098678414,98,14,0.125,0.230187293,0.00482156,0.000601368,FARMSUPERVISOR
['王志远' '丁家保' '李豪'],119,0.104845815,101,18,0.151260504,0.009025903,8.51E-06,1.06E-06,FARMSUPERVISOR
['高阳阳' '杨文杰'],114,0.100440529,95,19,0.166666667,-0.106284944,0.001176998,0.000147056,FARMSUPERVISOR
['刘乾乾' '陈铁楠'],108,0.095154185,88,20,0.185185185,-0.234118315,0.005649473,0.000704576,FARMSUPERVISOR
['罗冲' '张换吉'],57,0.050220264,42,15,0.263157895,-0.686103439,0.029534117,0.003621017,FARMSUPERVISOR
['李荣' '姚闯'],107,0.094273128,76,31,0.289719626,-0.81897672,0.08205219,0.009979167,FARMSUPERVISOR
['张玉风'],60,0.052863436,37,23,0.383333333,-1.240299159,0.11719145,0.013776729,FARMSUPERVISOR
Special,0,0,0,0,0,0,0,0,FARMSUPERVISOR
Missing,0,0,0,0,0,0,0,0,FARMSUPERVISOR
,1135,1,962,173,0.152422907,,0.606923025,0.067509971,FARMSUPERVISOR
"(-inf, 78.79)",495,0.436123348,403,92,0.185858586,-0.238574871,0.026928659,0.003358122,湿度内部平均_MEAN_19.0
"[78.79, 81.99)",117,0.1030837,97,20,0.170940171,-0.136744151,0.002020441,0.000252359,湿度内部平均_MEAN_19.0
"[81.99, 84.11)",75,0.066079295,71,4,0.053333333,1.16066266,0.058826082,0.006966457,湿度内部平均_MEAN_19.0
"[84.11, 91.18)",171,0.150660793,152,19,0.111111111,0.363718686,0.017523082,0.002178391,湿度内部平均_MEAN_19.0
"[91.18, inf)",59,0.051982379,51,8,0.13559322,0.136661235,0.00092544,0.00011559,湿度内部平均_MEAN_19.0
Special,0,0,0,0,0,0,0,0,湿度内部平均_MEAN_19.0
Missing,218,0.192070485,188,30,0.137614679,0.119521725,0.002631365,0.000328725,湿度内部平均_MEAN_19.0
,1135,1,962,173,0.152422907,,0.108855068,0.013199643,湿度内部平均_MEAN_19.0
"(-inf, -0.20)",57,0.050220264,45,12,0.210526316,-0.393967016,0.008898381,0.00110516,最低温度变化率_30.0
