name,dtype,status,selected,n_bins,iv,js,gini,quality_score
Lowest_Temn_前3天,numerical,OPTIMAL,TRUE,6,0.26498211,0.032438673,0.278233467,0.693118619
Water,numerical,OPTIMAL,TRUE,8,0.259724152,0.030906102,0.257889367,0.33070469
Lowest_Temn_前5天,numerical,OPTIMAL,TRUE,6,0.251049848,0.030418836,0.247520896,0.743941043
Highest_humidity_前3天,numerical,OPTIMAL,TRUE,7,0.157410008,0.019421103,0.219188998,0.106746693
Lowest_Temn_前7天,numerical,OPTIMAL,TRUE,7,0.264382254,0.030530076,0.21302609,0.014675288
Highest_Temp_Outside_前3天,numerical,OPTIMAL,TRUE,9,0.138106677,0.016990713,0.20400622,0.008880567
Water_前7天变化百分比,numerical,OPTIMAL,TRUE,5,0.214827658,0.025385798,0.19352537,0.149485852
Feed_前7天变化百分比,numerical,OPTIMAL,TRUE,5,0.214009519,0.025293532,0.193296102,0.118780929
Highest_Temn_前3天,numerical,OPTIMAL,TRUE,5,0.113782932,0.014027845,0.172967719,0.177952312
Highest_Temn_前7天,numerical,OPTIMAL,TRUE,7,0.13370721,0.016354849,0.172500493,0.416095067
Lowest_Temp_Outside_前3天变化百分比,numerical,OPTIMAL,TRUE,8,0.094083897,0.011666452,0.166888829,0.270801831
Highest_Temn_前1天,numerical,OPTIMAL,TRUE,9,0.143729438,0.016544452,0.159072464,0.060469008
Lowest_Temn_前7天变化,numerical,OPTIMAL,TRUE,6,0.148377463,0.017762788,0.153461617,0.050675526
最高温度变化率_前1天,numerical,OPTIMAL,FALSE,7,0.134054575,0.015236687,0.147545524,0.228165366
Lowest_Temp_Outside_前5天变化百分比,numerical,OPTIMAL,FALSE,9,0.080682771,0.010005523,0.147476017,0.090320146
每日温差_前5天,numerical,OPTIMAL,FALSE,6,0.073189247,0.009065371,0.145887268,0.243400193
Water_前7天变化,numerical,OPTIMAL,FALSE,6,0.074248418,0.009153839,0.132588047,0.226017226
温度1-平均_max,numerical,OPTIMAL,FALSE,10,0.058572766,0.007272778,0.127304219,0.011637559
最低温度变化率_前5天,numerical,OPTIMAL,FALSE,4,0.028268091,0.003518229,0.087443228,0.099517502
每日温差,numerical,OPTIMAL,FALSE,8,0.0262737,0.003266131,0.083225877,0.003227287
