index,water_per_diff,water_per_shift_diff,water_per_diff_前1天,water_per_diff_前2天,water_per_diff_前3天,water_per_diff_前5天,water_per_diff_前7天,water_per_shift_diff_前1天,water_per_shift_diff_前2天,water_per_shift_diff_前3天,water_per_shift_diff_前5天,water_per_shift_diff_前7天,Age_interval
count,721.0,721.0,721.0,719.0,714.0,690.0,656.0,719.0,714.0,704.0,673.0,636.0,13 - 15日龄
mean,2.89,4.85,-1.96,-4.01,-3.34,-1.12,1.61,2.33,-0.36,0.06,-1.72,2.34,13 - 15日龄
std,12.06,8.03,9.94,8.44,7.98,8.58,5.7,9.88,8.32,7.42,9.43,4.27,13 - 15日龄
min,-35.48,-22.74,-35.48,-35.48,-29.32,-32.11,-29.43,-22.74,-22.74,-33.51,-34.27,-18.12,13 - 15日龄
25%,-5.85,-1.55,-8.44,-9.32,-7.9,-5.78,-0.33,-4.43,-4.83,-4.28,-6.62,-0.02,13 - 15日龄
50%,3.55,5.99,-2.33,-3.49,-2.75,-0.16,0.07,0.43,-0.56,0.14,-0.51,0.65,13 - 15日龄
75%,11.84,10.56,5.08,2.31,2.27,4.02,3.95,9.62,3.23,4.04,4.09,4.41,13 - 15日龄
max,34.23,23.61,27.78,16.48,16.63,23.94,23.94,109.16,109.16,31.73,28.74,26.44,13 - 15日龄
count,741.0,741.0,741.0,732.0,729.0,722.0,707.0,732.0,729.0,726.0,717.0,691.0,16 - 18日龄
mean,7.61,-3.92,11.53,9.35,3.25,-3.81,-2.71,3.01,6.29,5.35,-0.65,-1.85,16 - 18日龄
std,12.07,7.74,10.47,10.79,12.22,8.3,7.43,9.39,7.28,9.26,8.23,8.49,16 - 18日龄
min,-35.64,-30.77,-24.25,-29.28,-35.48,-35.48,-27.86,-18.58,-11.54,-22.74,-22.74,-34.27,16 - 18日龄
25%,0.86,-9.55,5.82,3.21,-5.81,-8.84,-6.85,-1.41,1.59,-1.12,-5.01,-6.99,16 - 18日龄
50%,8.45,-2.98,12.2,10.25,3.65,-3.21,-1.64,2.3,6.37,6.26,-0.86,-1.42,16 - 18日龄
75%,15.79,1.62,18.65,16.45,12.31,2.32,2.02,6.49,10.55,10.64,2.85,3.45,16 - 18日龄
