Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -16.20)",37,0.05131761442441054,28,9,0.24324324324324326,-0.49625263942253633,0.014806537278214084,0.0018320565247649,water_per_diff,0.0010337063934985,13 - 15日龄
"[-16.20, -5.44)",153,0.21220527045769763,127,26,0.16993464052287582,-0.0451420238244114,0.0004390235332727975,5.48732825339706e-05,water_per_diff,0.0009622604188513,13 - 15日龄
"[-5.44, 0.68)",124,0.17198335644937587,109,15,0.12096774193548387,0.3520651088654131,0.01888625404811089,0.0023486643819654,water_per_diff,0.0008978206137859,13 - 15日龄
"[0.68, 3.09)",41,0.056865464632454926,40,1,0.024390243902439025,2.0576468818524156,0.11905630340650414,0.0127110659496599,water_per_diff,0.0007783619142297001,13 - 15日龄
"[3.09, inf)",366,0.507628294036061,299,67,0.1830601092896175,-0.13548161826180036,0.009746892709927147,0.0014432233098115,water_per_diff,0.0009783466444413024,13 - 15日龄
,721,1.0,603,118,0.1636615811373093,,0.16293501097602905,0.01838988344873567,water_per_diff,0.0009525526312095414,13 - 15日龄
"[-inf, 4.18)",300,0.4160887656033287,242,58,0.19333333333333333,-0.20273785665125366,0.018286695955079774,0.0022819302748803,water_per_shift_diff,0.0009834127126499,13 - 15日龄
"[4.18, 6.66)",91,0.1262135922330097,83,8,0.08791208791208792,0.7081664938552416,0.049464365664060365,0.0129864891828917,water_per_shift_diff,0.0008451824673603626,13 - 15日龄
"[6.66, 12.18)",190,0.2635228848821082,163,27,0.14210526315789473,0.16668076254091255,0.006917506981804461,0.000863688795105,water_per_shift_diff,0.0009602746642307,13 - 15日龄
"[12.18, 13.39)",38,0.052704576976421634,32,6,0.15789473684210525,0.04274386131015078,9.491427167838516e-05,1.1863380855051792e-05,water_per_shift_diff,0.000900872226322,13 - 15日龄
"[13.39, inf)",102,0.14147018030513175,83,19,0.18627450980392157,-0.15683094363136307,0.003665427934606017,0.0004577095129853,water_per_shift_diff,0.0009624480193458,13 - 15日龄
,721,1.0,603,118,0.1636615811373093,,0.07842891080722901,0.016601681146717354,water_per_shift_diff,0.000952552631209575,13 - 15日龄
"[-inf, -17.70)",41,0.056865464632454926,30,11,0.2682926829268293,-0.6279304633977358,0.027295569093644726,0.0033569734760309,water_per_diff_前1天,0.0010469204059165,13 - 15日龄
"[-17.70, -13.60)",38,0.052704576976421634,37,1,0.02631578947368421,1.9796853403827037,0.10469623543103851,0.0112969883596052,water_per_diff_前1天,0.0008452813766922001,13 - 15日龄
"[-13.60, -11.21)",39,0.05409153952843273,36,3,0.07692307692307693,0.8536740775264796,0.029262038326546416,0.0035505826829115,water_per_diff_前1天,0.0007765675626898,13 - 15日龄
"[-11.21, 2.16)",362,0.5020804438280166,307,55,0.15193370165745856,0.08828199009320564,0.0037978352822793195,0.0004745753076995,water_per_diff_前1天,0.0009401690427860999,13 - 15日龄
"[2.16, 4.19)",45,0.06241331484049931,38,7,0.15555555555555556,0.06044343840955174,0.00022341153416128567,2.7922191433210424e-05,water_per_diff_前1天,0.0010414326853239,13 - 15日龄
"[4.19, inf)",196,0.27184466019417475,155,41,0.20918367346938777,-0.30137952204658186,0.027247582220615307,0.0033931159953595,water_per_diff_前1天,0.0009910929534294,13 - 15日龄
,721,1.0,603,118,0.1636615811373093,,0.19252267188828553,0.022100158013039807,water_per_diff_前1天,0.0009525526312095539,13 - 15日龄
"[-inf, -12.55)",106,0.1474269819193324,85,21,0.19811320754716982,-0.2297814913026493,0.008395102004641474,0.002102648618789734,water_per_diff_前2天,0.0009680257265260641,13 - 15日龄
"[-12.55, -10.53)",42,0.0584144645340751,40,2,0.047619047619047616,1.3678219634844482,0.06785298044979114,0.0078252639555263,water_per_diff_前2天,0.0008562296234371,13 - 15日龄
"[-10.53, -4.27)",195,0.2712100139082058,168,27,0.13846153846153847,0.20021680332938693,0.010155106483203198,0.0012235304803176,water_per_diff_前2天,0.0009022119299892,13 - 15日龄
"[-4.27, 8.34)",339,0.4714881780250348,281,58,0.1710914454277286,-0.04999865128221649,0.0011985350289033562,0.0001700876085734,water_per_diff_前2天,0.000978399543585,13 - 15日龄
"[8.34, inf)",37,0.05146036161335188,27,10,0.2702702702702703,-0.6346585370592593,0.02527250780697916,0.0031345028147519,water_per_diff_前2天,0.0010673297788735,13 - 15日龄
,719,1.0,601,118,0.16411682892906815,,0.11287423177351832,0.014456033477958933,water_per_diff_前2天,0.0009536472109007644,13 - 15日龄
"[-inf, 2.23)",535,0.7492997198879552,442,93,0.17383177570093458,-0.060845653675242826,0.002830835212509877,0.0027106293998997,water_per_diff_前3天,0.0009702970566412871,13 - 15日龄
"[2.23, 3.94)",51,0.07142857142857142,50,1,0.0196078431372549,2.292466962828461,0.17289336780289724,0.0175633441083298,water_per_diff_前3天,0.0007546614570448,13 - 15日龄
"[3.94, 8.25)",91,0.12745098039215685,75,16,0.17582417582417584,-0.07465665130315569,0.000728222938146467,0.0001209919518935,water_per_diff_前3天,0.0009492787579221001,13 - 15日龄
"[8.25, inf)",37,0.05182072829131653,29,8,0.21621621621621623,-0.3317017542930469,0.006348404067774444,0.000841598994502,water_per_diff_前3天,0.0010389741066683,13 - 15日龄
,714,1.0,596,118,0.16526610644257703,,0.18280083002132805,0.021236564454625,water_per_diff_前3天,0.0009557746057843299,13 - 15日龄
"[-inf, -3.61)",226,0.32753623188405795,181,45,0.19911504424778761,-0.23861990630025304,0.02017258820458267,0.0024238083634481,water_per_diff_前5天,0.0010142082029592,13 - 15日龄
"[-3.61, 0.35)",161,0.23333333333333334,140,21,0.13043478260869565,0.26666553709012225,0.01514489783660868,0.0017963106791671,water_per_diff_前5天,0.0009355979349073,13 - 15日龄
"[0.35, 1.38)",47,0.06811594202898551,45,2,0.0425531914893617,1.4830608614146155,0.08941446060981968,0.0098047318873276,water_per_diff_前5天,0.0007038966187156,13 - 15日龄
"[1.38, 6.05)",139,0.20144927536231885,117,22,0.15827338129496402,0.04067703364368138,0.0003287801832827736,0.0013683662167546001,water_per_diff_前5天,0.0009470062023055605,13 - 15日龄
"[6.05, inf)",117,0.16956521739130434,94,23,0.19658119658119658,-0.22265388145490478,0.009046028925538607,0.0010877520347451,water_per_diff_前5天,0.0009951402834723,13 - 15日龄
,690,1.0,577,113,0.16376811594202897,,0.1341067557598324,0.0164809691814425,water_per_diff_前5天,0.0009579575909495937,13 - 15日龄
"[-inf, -3.62)",57,0.08689024390243902,46,11,0.19298245614035087,-0.16050946966018545,0.002358755575302171,0.0004236978547899,water_per_diff_前7天,0.0010013405140345,13 - 15日龄
"[-3.62, -1.29)",59,0.0899390243902439,55,4,0.06779661016949153,1.0297832307616706,0.06681377272071341,0.0068150200978786,water_per_diff_前7天,0.0007946368216036,13 - 15日龄
"[-1.29, -0.48)",37,0.056402439024390245,32,5,0.13513513513513514,0.2650423970147163,0.0036232756811500205,0.0003002540324523,water_per_diff_前7天,0.0008524040561717,13 - 15日龄
"[-0.48, inf)",503,0.7667682926829268,412,91,0.18091451292246521,-0.08109175051823343,0.005178236751003146,0.0032421290086666887,water_per_diff_前7天,0.0009912833585989226,13 - 15日龄
,656,1.0,545,111,0.16920731707317074,,0.07797404072816876,0.010781100993787488,water_per_diff_前7天,0.0009666378982137039,13 - 15日龄
"[-inf, -8.46)",56,0.07788595271210014,51,5,0.08928571428571429,0.6944774102206824,0.029505350362318678,0.0035753253195469,water_per_shift_diff_前1天,0.0008684838454693,13 - 15日龄
"[-8.46, 1.85)",342,0.4756606397774687,285,57,0.16666666666666666,-0.01847239763544243,0.0001633181042531143,0.00031204797053298506,water_per_shift_diff_前1天,0.0009495313898907552,13 - 15日龄
"[1.85, 3.07)",37,0.05146036161335188,25,12,0.32432432432432434,-0.8939411349893425,0.05372369662602693,0.0065380137256668,water_per_shift_diff_前1天,0.0011860704755243,13 - 15日龄
"[3.07, 15.15)",224,0.31154381084840055,185,39,0.17410714285714285,-0.07111613112086443,0.0016134952335580654,0.0002205578471315,water_per_shift_diff_前1天,0.0009875144716873,13 - 15日龄
"[15.15, inf)",60,0.08344923504867872,55,5,0.08333333333333333,0.7699849627288279,0.037838032588481986,0.0045689026776134,water_per_shift_diff_前1天,0.0007868277449395,13 - 15日龄
,719,1.0,601,118,0.16411682892906815,,0.12284389291463879,0.015214847540491586,water_per_shift_diff_前1天,0.0009536472109007557,13 - 15日龄
"[-inf, -4.67)",188,0.26330532212885155,157,31,0.16489361702127658,0.0027025582634765954,1.921395648586935e-06,2.632754649797321e-06,water_per_shift_diff_前2天,0.0009249542044852,13 - 15日龄
"[-4.67, -3.64)",37,0.05182072829131653,31,6,0.16216216216216217,0.02267169265740615,2.6434404474850715e-05,7.726275129085638e-07,water_per_shift_diff_前2天,0.0010430725182421,13 - 15日龄
"[-3.64, 0.78)",216,0.3025210084033613,184,32,0.14814814814814814,0.12964381220957405,0.004866620183046233,0.0005004002033024,water_per_shift_diff_前2天,0.0009276193234217,13 - 15日龄
"[0.78, 1.83)",38,0.05322128851540616,37,1,0.02631578947368421,1.9913618700445395,0.10674886602872134,0.0112969883596052,water_per_shift_diff_前2天,0.00074365161929,13 - 15日龄
"[1.83, 10.40)",198,0.2773109243697479,159,39,0.19696969696969696,-0.2142134865091,0.013651815017258939,0.0018829390879073,water_per_shift_diff_前2天,0.00101189657473,13 - 15日龄
"[10.40, inf)",37,0.05182072829131653,28,9,0.24324324324324326,-0.48457610976070054,0.014193874219472232,0.0018320565247649,water_per_shift_diff_前2天,0.0011069712898159,13 - 15日龄
,714,1.0,596,118,0.16526610644257703,,0.13948953124862218,0.015515789557742507,water_per_shift_diff_前2天,0.0009557746057843288,13 - 15日龄
"[-inf, -1.60)",271,0.3849431818181818,227,44,0.16236162361623616,0.007266328274804807,2.0275131673995568e-05,5.771649597069342e-06,water_per_shift_diff_前3天,0.000943991351326959,13 - 15日龄
"[-1.60, -0.56)",43,0.061079545454545456,41,2,0.046511627906976744,1.386930830856026,0.07242303607791784,0.0082134173174231,water_per_shift_diff_前3天,0.0008240137494527,13 - 15日龄
"[-0.56, 0.12)",37,0.052556818181818184,34,3,0.08108108108108109,0.794254180659715,0.02512861458852542,0.0030036282343019,water_per_shift_diff_前3天,0.0008611465988303,13 - 15日龄
"[0.12, 11.30)",312,0.4431818181818182,258,54,0.17307692307692307,-0.06951851693099356,0.0021922425948859847,0.0002502030014068,water_per_shift_diff_前3天,0.0009571098947813,13 - 15日龄
"[11.30, inf)",41,0.05823863636363636,29,12,0.2926829268292683,-0.7511048750898628,0.04139476634989972,0.0049033998158922,water_per_shift_diff_前3天,0.0012284329465117,13 - 15日龄
,704,1.0,589,115,0.16335227272727273,,0.14115893474290295,0.01637642001862107,water_per_shift_diff_前3天,0.000954688507914117,13 - 15日龄
"[-inf, 2.84)",457,0.6790490341753344,376,81,0.1772428884026258,-0.07608204551014594,0.004031021286975992,0.0007551384032496,water_per_shift_diff_前5天,0.0009732433937441,13 - 15日龄
"[2.84, 5.13)",75,0.11144130757800892,65,10,0.13333333333333333,0.2605801426739896,0.006925910973159577,0.0006914325165085,water_per_shift_diff_前5天,0.0009257438741826999,13 - 15日龄
"[5.13, 6.56)",38,0.05646359583952452,36,2,0.05263157894736842,1.2791497236685632,0.059242514894886675,0.0063168817512728,water_per_shift_diff_前5天,0.0007842779405765,13 - 15日龄
"[6.56, inf)",103,0.15304606240713226,84,19,0.18446601941747573,-0.12484421455072871,0.00248567787756178,0.0003928189766918,water_per_shift_diff_前5天,0.0010062327046765,13 - 15日龄
,673,1.0,561,112,0.1664190193164933,,0.07268512503258402,0.0081562716477227,water_per_shift_diff_前5天,0.0009623292003392908,13 - 15日龄
"[-inf, -1.68)",43,0.06761006289308176,30,13,0.3023255813953488,-0.7507170323814232,0.047709710391243644,0.0058506755975566,water_per_shift_diff_前7天,0.0011231360722486,13 - 15日龄
"[-1.68, 0.16)",232,0.36477987421383645,193,39,0.16810344827586207,0.012163486193197402,5.375277989418062e-05,4.190254517071881e-05,water_per_shift_diff_前7天,0.0009912858566865,13 - 15日龄
"[0.16, 1.03)",72,0.11320754716981132,68,4,0.05555555555555555,1.2462482874741743,0.1143443294063005,0.0111846964792016,water_per_shift_diff_前7天,0.0008449777855334,13 - 15日龄
"[1.03, inf)",289,0.45440251572327045,237,52,0.17993079584775087,-0.0701486340283379,0.0022880972799647244,0.0009550108196304105,water_per_shift_diff_前7天,0.0009547034093605138,13 - 15日龄
,636,1.0,528,108,0.16981132075471697,,0.16439588985740305,0.01803228544155933,water_per_shift_diff_前7天,0.0009670139240904891,13 - 15日龄
"[-inf, 13.61)",506,0.6828609986504723,420,86,0.16996047430830039,-0.09825404360613064,0.0068167977839839605,0.0008517571363169,water_per_diff,0.0010164512774406,16 - 18日龄
"[13.61, 16.02)",55,0.07422402159244265,48,7,0.12727272727272726,0.2411294032225407,0.003967825904061944,0.000494780143033,water_per_diff,0.0009451529875973,16 - 18日龄
"[16.02, 18.67)",54,0.0728744939271255,51,3,0.05555555555555555,1.1490518854261793,0.06404577474492677,0.0075924655169354,water_per_diff,0.0008498388865183,16 - 18日龄
"[18.67, 25.29)",83,0.11201079622132254,71,12,0.14457831325301204,0.09361176862327833,0.0009503208511273504,0.0001187467513411,water_per_diff,0.0009654451951161,16 - 18日龄
"[25.29, inf)",43,0.058029689608636977,35,8,0.18604651162790697,-0.20825493882045903,0.0027001329998790546,0.000336908022191,water_per_diff,0.0010948139361844,16 - 18日龄
,741,1.0,625,116,0.15654520917678813,,0.07848085228397908,0.009394657569817399,water_per_diff,0.0009978515668358286,16 - 18日龄
"[-inf, -1.05)",444,0.5991902834008097,371,73,0.16441441441441443,-0.05841883717099284,0.002086156819802763,0.0009937363162791043,water_per_shift_diff,0.00100486094258452,16 - 18日龄
"[-1.05, 1.56)",104,0.14035087719298245,88,16,0.15384615384615385,0.02058663360838853,5.906234193854938e-05,7.382662374364347e-06,water_per_shift_diff,0.0010588703951588,16 - 18日龄
