Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"(-inf, -13.57)",105,0.1255980861244019,78,27,0.2571428571428571,0.1336705037049446,0.0021778905423915874,0.0002720338209857287,water_per_diff,0.0008487402668424972,13 - 15日龄
"[-13.57, -8.92)",59,0.07057416267942583,52,7,0.11864406779661017,1.0781321125457959,0.06175054209272744,0.00736543949969937,water_per_diff,0.0006398558349149847,13 - 15日龄
"[-8.92, -2.50)",146,0.17464114832535885,113,33,0.22602739726027396,0.3036788002655424,0.015003931341705327,0.001868317845171101,water_per_diff,0.0008477659095972749,13 - 15日龄
"[-2.50, 5.81)",217,0.2595693779904306,157,60,0.2764976958525346,0.03469978614588898,0.00031017961454134695,3.8770506728654733e-05,water_per_diff,0.0008855234189632151,13 - 15日龄
"[5.81, 17.86)",222,0.26555023923444976,149,73,0.32882882882882886,-0.21371459218325028,0.012666642566231116,0.0015803239805084624,water_per_diff,0.000986272127172768,13 - 15日龄
"[17.86, inf)",87,0.10406698564593302,50,37,0.42528735632183906,-0.6260963641963966,0.04548320198895092,0.005594322194376547,water_per_diff,0.0013031325839322563,13 - 15日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff,,13 - 15日龄
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_diff,,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.13739238814654775,0.016719207847469865,water_per_diff,,13 - 15日龄
"(-inf, -8.97)",48,0.05741626794258373,35,13,0.2708333333333333,0.0631972470475588,0.0002261448511243059,2.826340317285637e-05,water_per_shift_diff,0.0008631897846248125,13 - 15日龄
"[-8.97, -4.46)",89,0.10645933014354067,66,23,0.25842696629213485,0.12695906911695753,0.001667889970648172,0.00020834633793509211,water_per_shift_diff,0.0007614958299370776,13 - 15日龄
"[-4.46, 1.03)",152,0.18181818181818182,115,37,0.24342105263157895,0.20681275873870741,0.007418063632759934,0.0009256089704717529,water_per_shift_diff,0.0008217582747787164,13 - 15日龄
"[1.03, 2.40)",49,0.05861244019138756,42,7,0.14285714285714285,0.8645580122477368,0.03508462563174356,0.004253901677640487,water_per_shift_diff,0.0008959136023098715,13 - 15日龄
"[2.40, 6.84)",167,0.19976076555023922,115,52,0.31137724550898205,-0.13351304719849566,0.003661280000730772,0.0004573203808818805,water_per_shift_diff,0.0009185096765445182,13 - 15日龄
"[6.84, inf)",331,0.39593301435406697,226,105,0.31722054380664655,-0.16062680786555572,0.010560005056312076,0.0013185834060544938,water_per_shift_diff,0.0010384356351669272,13 - 15日龄
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff,,13 - 15日龄
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,water_per_shift_diff,,13 - 15日龄
