Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -13.57)",105,0.1255980861244019,78,27,0.2571428571428571,0.13367050370494452,0.002177890542391587,0.0002720338209857,water_per_diff,0.0008487402668424,13 - 15日龄
"[-13.57, -8.92)",59,0.07057416267942583,52,7,0.11864406779661017,1.0781321125457959,0.06175054209272744,0.0073654394996993,water_per_diff,0.0006398558349149,13 - 15日龄
"[-8.92, -2.50)",146,0.17464114832535885,113,33,0.22602739726027396,0.3036788002655422,0.015003931341705327,0.0018683178451711,water_per_diff,0.0008477659095972,13 - 15日龄
"[-2.50, 5.81)",217,0.2595693779904306,157,60,0.2764976958525346,0.03469978614588922,0.00031017961454134793,3.877050672865473e-05,water_per_diff,0.0008855234189632,13 - 15日龄
"[5.81, 17.86)",222,0.26555023923444976,149,73,0.32882882882882886,-0.21371459218325015,0.01266664256623111,0.0015803239805084,water_per_diff,0.0009862721271727,13 - 15日龄
"[17.86, inf)",87,0.10406698564593302,50,37,0.42528735632183906,-0.6260963641963966,0.045483201988950915,0.0055943221943765,water_per_diff,0.0013031325839322,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.13739238814654772,0.016719207847469653,water_per_diff,0.0009271848971639683,13 - 15日龄
"[-inf, -8.97)",48,0.05741626794258373,35,13,0.2708333333333333,0.06319724704755877,0.00022614485112430597,2.826340317285637e-05,water_per_shift_diff,0.0008631897846248,13 - 15日龄
"[-8.97, -4.46)",89,0.10645933014354067,66,23,0.25842696629213485,0.12695906911695787,0.001667889970648173,0.000208346337935,water_per_shift_diff,0.000761495829937,13 - 15日龄
"[-4.46, 1.03)",152,0.18181818181818182,115,37,0.24342105263157895,0.20681275873870753,0.0074180636327599355,0.0009256089704717,water_per_shift_diff,0.0008217582747787,13 - 15日龄
"[1.03, 2.40)",49,0.05861244019138756,42,7,0.14285714285714285,0.8645580122477368,0.03508462563174356,0.0042539016776404,water_per_shift_diff,0.0008959136023098,13 - 15日龄
"[2.40, 6.84)",167,0.19976076555023922,115,52,0.31137724550898205,-0.13351304719849544,0.0036612800007307733,0.0004573203808818,water_per_shift_diff,0.0009185096765445001,13 - 15日龄
"[6.84, inf)",331,0.39593301435406697,226,105,0.31722054380664655,-0.1606268078655556,0.010560005056312069,0.0013185834060544,water_per_shift_diff,0.0010384356351669,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.05861800914331882,0.0071920241761561565,water_per_shift_diff,0.0009271848971639969,13 - 15日龄
"[-inf, -7.49)",257,0.30741626794258375,200,57,0.22178988326848248,0.32806464173316835,0.03063582028737497,0.0038123963818818,water_per_diff_前1天,0.0008222271202577,13 - 15日龄
"[-7.49, 6.31)",399,0.4772727272727273,291,108,0.2706766917293233,0.06399058306695479,0.0019269791608463604,0.0006458890596618,water_per_diff_前1天,0.0009120356027943965,13 - 15日龄
"[6.31, 9.84)",60,0.07177033492822966,28,32,0.5333333333333333,-1.0607328496048407,0.0936378075361035,0.0111851160238607,water_per_diff_前1天,0.0011764014747334,13 - 15日龄
