Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,feature,MORTALITY_RATE,Age_interval
"[-inf, -13.57)",105,0.1255980861244019,78,27,0.2571428571428571,0.1336705037049445,0.0021778905423915,0.0002720338209857,water_per_diff,0.0008487402668424,13 - 15日龄
"[-13.57, -8.92)",59,0.0705741626794258,52,7,0.1186440677966101,1.078132112545796,0.0617505420927274,0.0073654394996993,water_per_diff,0.0006398558349149,13 - 15日龄
"[-8.92, -2.50)",146,0.1746411483253588,113,33,0.2260273972602739,0.3036788002655422,0.0150039313417053,0.0018683178451711,water_per_diff,0.0008477659095972,13 - 15日龄
"[-2.50, 5.81)",217,0.2595693779904306,157,60,0.2764976958525346,0.0346997861458892,0.0003101796145413,3.877050672865473e-05,water_per_diff,0.0008855234189632,13 - 15日龄
"[5.81, 17.86)",222,0.2655502392344497,149,73,0.3288288288288288,-0.2137145921832501,0.0126666425662311,0.0015803239805084,water_per_diff,0.0009862721271727,13 - 15日龄
"[17.86, inf)",87,0.104066985645933,50,37,0.425287356321839,-0.6260963641963966,0.0454832019889509,0.0055943221943765,water_per_diff,0.0013031325839322,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.1373923881465477,0.0167192078474696,water_per_diff,0.0009271848971639,13 - 15日龄
"[-inf, -8.97)",48,0.0574162679425837,35,13,0.2708333333333333,0.0631972470475587,0.0002261448511243,2.826340317285637e-05,water_per_shift_diff,0.0008631897846248,13 - 15日龄
"[-8.97, -4.46)",89,0.1064593301435406,66,23,0.2584269662921348,0.1269590691169578,0.0016678899706481,0.000208346337935,water_per_shift_diff,0.000761495829937,13 - 15日龄
"[-4.46, 1.03)",152,0.1818181818181818,115,37,0.2434210526315789,0.2068127587387075,0.0074180636327599,0.0009256089704717,water_per_shift_diff,0.0008217582747787,13 - 15日龄
"[1.03, 2.40)",49,0.0586124401913875,42,7,0.1428571428571428,0.8645580122477368,0.0350846256317435,0.0042539016776404,water_per_shift_diff,0.0008959136023098,13 - 15日龄
"[2.40, 6.84)",167,0.1997607655502392,115,52,0.311377245508982,-0.1335130471984954,0.0036612800007307,0.0004573203808818,water_per_shift_diff,0.0009185096765445,13 - 15日龄
"[6.84, inf)",331,0.3959330143540669,226,105,0.3172205438066465,-0.1606268078655556,0.010560005056312,0.0013185834060544,water_per_shift_diff,0.0010384356351669,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.0586180091433188,0.0071920241761561,water_per_shift_diff,0.0009271848971639,13 - 15日龄
"[-inf, -7.49)",257,0.3074162679425837,200,57,0.2217898832684824,0.3280646417331683,0.0306358202873749,0.0038123963818818,water_per_diff_前1天,0.0008222271202577,13 - 15日龄
"[-7.49, 6.31)",399,0.4772727272727273,291,108,0.2706766917293233,0.0639905830669547,0.0019269791608463,0.0006458890596618,water_per_diff_前1天,0.0009120356027943,13 - 15日龄
"[6.31, 9.84)",60,0.0717703349282296,28,32,0.5333333333333333,-1.0607328496048407,0.0936378075361035,0.0111851160238607,water_per_diff_前1天,0.0011764014747334,13 - 15日龄
"[9.84, inf)",120,0.1435406698564593,80,40,0.3333333333333333,-0.2340542764203729,0.0082434957143894,0.0010280913551703,water_per_diff_前1天,0.0010777325843656,13 - 15日龄
,836,1.0,599,237,0.2834928229665072,,0.1344441026987142,0.0166714928205746,water_per_diff_前1天,0.0009271848971639,13 - 15日龄
"[-inf, -20.60)",64,0.0782396088019559,46,18,0.28125,-0.0064345415044168,3.2439618797335747e-06,1.1694728679712083e-06,water_per_diff_前2天,0.00085014736067,13 - 15日龄
"[-20.60, -14.73)",76,0.0929095354523227,60,16,0.2105263157894736,0.3770516598849724,0.0120651163919569,0.0016002242789366,water_per_diff_前2天,0.000805077323089,13 - 15日龄
"[-14.73, -12.00)",48,0.0586797066014669,46,2,0.0416666666666666,2.1907900358318027,0.1519638168106875,0.0157787941669001,water_per_diff_前2天,0.0005632542684902,13 - 15日龄
"[-12.00, -6.88)",124,0.1515892420537897,101,23,0.1854838709677419,0.5349221208147628,0.0380010806684933,0.0048800921183482,water_per_diff_前2天,0.0007339215794294,13 - 15日龄
"[-6.88, 7.00)",394,0.4816625916870415,270,124,0.3147208121827411,-0.1665637867040092,0.0138382262424294,0.0013487882402299,water_per_diff_前2天,0.0009823565145152,13 - 15日龄
"[7.00, inf)",112,0.1369193154034229,66,46,0.4107142857142857,-0.5836908345600165,0.0518428555395422,0.0058604765970323,water_per_diff_前2天,0.001172317065049,13 - 15日龄
,818,1.0,589,229,0.2799511002444987,,0.2677143396149892,0.029469544874315,water_per_diff_前2天,0.0009192980029081,13 - 15日龄
"[-inf, -17.23)",74,0.0925,55,19,0.2567567567567567,0.0997544300107878,0.0008996366979458,0.0001974667526013,water_per_diff_前3天,0.0008015952050967,13 - 15日龄
"[-17.23, -9.10)",162,0.2025,135,27,0.1666666666666666,0.6462981363788579,0.071731774496929,0.0093243992313308,water_per_diff_前3天,0.0007572854688346,13 - 15日龄
"[-9.10, -7.56)",42,0.0525,38,4,0.0952380952380952,1.2881520225512526,0.0612269602072282,0.0071886247542408,water_per_diff_前3天,0.0006536898673018,13 - 15日龄
"[-7.56, -6.47)",44,0.055,41,3,0.0681818181818181,1.6518200019809557,0.0945453597989083,0.0105457816803273,water_per_diff_前3天,0.0006155236792982,13 - 15日龄
"[-6.47, 4.68)",333,0.41625,237,96,0.2882882882882883,-0.0594278263879475,0.0014894226996627,2.761086634815767e-05,water_per_diff_前3天,0.0009670940451687,13 - 15日龄
"[4.68, inf)",145,0.18125,73,72,0.496551724137931,-0.9493464539229068,0.1895962662258995,0.0200785257944245,water_per_diff_前3天,0.0012144915652109,13 - 15日龄
,800,1.0,579,221,0.27625,,0.4194894201265737,0.0473624090792728,water_per_diff_前3天,0.0009183498768011,13 - 15日龄
"[-inf, -8.22)",164,0.2169312169312169,118,46,0.2804878048780488,-0.0804076997259758,0.0014288274699507,5.3841084717534855e-06,water_per_diff_前5天,0.0009469044920606,13 - 15日龄
"[-8.22, -6.41)",47,0.0621693121693121,42,5,0.1063829787234042,1.1057807781467222,0.0558856832120915,0.0069465966257791,water_per_diff_前5天,0.0007058698688252,13 - 15日龄
"[-6.41, 3.13)",379,0.5013227513227513,282,97,0.2559366754617414,0.044745164732185,0.0009930851309265,0.0010753647161881,water_per_diff_前5天,0.0009127782993923,13 - 15日龄
"[3.13, 9.21)",91,0.1203703703703703,64,27,0.2967032967032967,-0.1594047103472029,0.0031708922597842,5.676211472718253e-05,water_per_diff_前5天,0.0008629786172676,13 - 15日龄
"[9.21, inf)",75,0.0992063492063492,50,25,0.3333333333333333,-0.3293037471426004,0.0115493220670516,0.0006425570969814,water_per_diff_前5天,0.0009988874397505,13 - 15日龄
,756,1.0,556,200,0.2645502645502645,,0.0730278101398048,0.0087266646621475,water_per_diff_前5天,0.0009098661483533,13 - 15日龄
"[-inf, -0.02)",286,0.4056737588652482,217,69,0.2412587412587412,0.0902160719550725,0.0032291109737874,0.0019397057972802,water_per_diff_前7天,0.0008710720693402,13 - 15日龄
"[-0.02, 0.04)",61,0.0865248226950354,56,5,0.081967213114754,1.3603390013129213,0.1082857627481773,0.0123507205869874,water_per_diff_前7天,0.0006283731979702,13 - 15日龄
"[0.04, 0.41)",69,0.0978723404255319,59,10,0.144927536231884,0.7193775739235463,0.0416272527175308,0.0057939259831258,water_per_diff_前7天,0.0006806006734599,13 - 15日龄
"[0.41, 3.90)",153,0.2170212765957447,119,34,0.2222222222222222,0.1971881915072404,0.0080295571857422,0.0022366894698398,water_per_diff_前7天,0.0008547223031699,13 - 15日龄
"[3.90, 11.06)",91,0.1290780141843971,55,36,0.3956043956043956,-0.6317605302117666,0.0585260895027352,0.0037409618786203,water_per_diff_前7天,0.0011207302284819,13 - 15日龄
"[11.06, inf)",45,0.0638297872340425,17,28,0.6222222222222222,-1.5545659431071153,0.1886331670927151,0.0147706525090013,water_per_diff_前7天,0.0015590101719349,13 - 15日龄
,705,1.0,523,182,0.2581560283687943,,0.4083309402206883,0.0408326562248547,water_per_diff_前7天,0.0009040187862271,13 - 15日龄
"[-inf, -4.46)",173,0.2114914425427873,125,48,0.2774566473988439,0.0124085462970632,3.2474676513840696e-05,2.299152314840544e-05,water_per_shift_diff_前1天,0.0009384613721925,13 - 15日龄
"[-4.46, 2.76)",272,0.3325183374083129,197,75,0.2757352941176471,0.021011435104331,0.0001461193654248,5.981732598267292e-05,water_per_shift_diff_前1天,0.0009176549740238,13 - 15日龄
"[2.76, 3.93)",52,0.0635696821515892,47,5,0.0961538461538461,1.2960055091786111,0.0751193353456631,0.008795406804322,water_per_shift_diff_前1天,0.0006901333652682,13 - 15日龄
"[3.93, 4.99)",42,0.0513447432762836,31,11,0.2619047619047619,0.0913877515894285,0.0004200770011005,7.264060514593912e-05,water_per_shift_diff_前1天,0.0008138015455682,13 - 15日龄
"[4.99, 11.08)",154,0.1882640586797066,107,47,0.3051948051948052,-0.1220229473454994,0.0028768542089596,0.0002570182469691,water_per_shift_diff_前1天,0.0009780867575501,13 - 15日龄
"[11.08, inf)",125,0.1528117359413203,82,43,0.344,-0.2991850485266563,0.0145266040643313,0.0015630941638084,water_per_shift_diff_前1天,0.0009547026838769,13 - 15日龄
,818,1.0,589,229,0.2799511002444987,,0.0931214646619932,0.0107709686693765,water_per_shift_diff_前1天,0.0009192980029082,13 - 15日龄
"[-inf, -11.11)",43,0.05375,26,17,0.3953488372093023,-0.5382565820899765,0.0172339360015523,0.0017600102762932,water_per_shift_diff_前2天,0.0010618941896297,13 - 15日龄
"[-11.11, -5.42)",120,0.15,75,45,0.375,-0.4523141522892517,0.0335102506560859,0.0033415008876157,water_per_shift_diff_前2天,0.000985369508359,13 - 15日龄
"[-5.42, -4.46)",42,0.0525,32,10,0.238095238095238,0.2000110337504385,0.002003877376879,0.0003303970523693,water_per_shift_diff_前2天,0.0008885222158103,13 - 15日龄
"[-4.46, -3.21)",46,0.0575,41,5,0.108695652173913,1.140994378214965,0.0549814498087158,0.0065899101952654,water_per_shift_diff_前2天,0.000657025199905,13 - 15日龄
"[-3.21, 3.96)",348,0.435,257,91,0.2614942528735632,0.0750768023231273,0.002410268163579,0.0006252792549447,water_per_shift_diff_前2天,0.0009260991515887,13 - 15日龄
"[3.96, inf)",201,0.25125,148,53,0.263681592039801,0.0637805841567506,0.0010073582989925,0.0002921771476567,water_per_shift_diff_前2天,0.0009002513098068,13 - 15日龄
,800,1.0,579,221,0.27625,,0.1111471403058048,0.012939274814145,water_per_shift_diff_前2天,0.0009183498768011,13 - 15日龄
"[-inf, -8.10)",92,0.1182519280205655,71,21,0.2282608695652173,0.2231435513142097,0.0055785887828552,0.0010844724487636,water_per_shift_diff_前3天,0.0008568537596477,13 - 15日龄
"[-8.10, -2.67)",180,0.2313624678663239,147,33,0.1833333333333333,0.4989111373085734,0.0507192861418826,0.0082383706794504,water_per_shift_diff_前3天,0.0007731601602373,13 - 15日龄
"[-2.67, 6.50)",372,0.4781491002570694,264,108,0.2903225806451613,-0.1011960119815861,0.0050088971725292,6.243126159238268e-05,water_per_shift_diff_前3天,0.000947623204832,13 - 15日龄
"[6.50, 9.22)",59,0.0758354755784061,41,18,0.3050847457627119,-0.1718135791955396,0.0023248416903219,9.748255909150364e-05,water_per_shift_diff_前3天,0.0010196713532138,13 - 15日龄
