Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,name
['12'],148,0.36633663366336633,118,30,0.20270270270270271,0.0016549445233540183,1.0028447346489234e-06,1.2535557752574636e-07,HARVESTSTATUS_month
['1' '2'],256,0.6336633663366337,204,52,0.203125,-0.0009560230173659701,5.793201135380868e-07,7.241501143452861e-08,HARVESTSTATUS_month
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,HARVESTSTATUS_month
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,HARVESTSTATUS_month
,404,1.0,322,82,0.20297029702970298,,1.5821648481870103e-06,1.9777058896027497e-07,HARVESTSTATUS_month
"(-inf, 1.71)",63,0.15594059405940594,46,17,0.2698412698412698,-0.37240424584727616,0.024005151735800034,0.0029834239796302457,W3_15-17天_外部-平均_MEAN
"[1.71, 2.75)",30,0.07425742574257425,23,7,0.23333333333333334,-0.17824823140631874,0.002484295908102008,0.00031012653568689066,W3_15-17天_外部-平均_MEAN
"[2.75, 3.92)",50,0.12376237623762376,39,11,0.22,-0.1021659249488791,0.001331051287017668,0.00016630908743044777,W3_15-17天_外部-平均_MEAN
"[3.92, 5.55)",56,0.13861386138613863,46,10,0.17857142857142858,0.158224005214894,0.003307818924353187,0.00041304659895606295,W3_15-17天_外部-平均_MEAN
"[5.55, 6.58)",50,0.12376237623762376,42,8,0.16,0.29039577832337726,0.009546414769909532,0.0011891264964261862,W3_15-17天_外部-平均_MEAN
"[6.58, 8.40)",63,0.15594059405940594,60,3,0.047619047619047616,1.6278999752738357,0.24377808295079328,0.027498499818586805,W3_15-17天_外部-平均_MEAN
"[8.40, inf)",92,0.22772277227722773,66,26,0.2826086956521739,-0.4362740942752116,0.04890816993844215,0.0060654939342,W3_15-17天_外部-平均_MEAN
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_外部-平均_MEAN
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_15-17天_外部-平均_MEAN
,404,1.0,322,82,0.20297029702970298,,0.33336098551441784,0.038626026450916645,W3_15-17天_外部-平均_MEAN
"(-inf, -0.00)",37,0.09158415841584158,31,6,0.16216216216216217,0.2743954369769359,0.006339237106344911,0.0007899280256880156,W3_9-11天_平均温度变化率_MEAN
"[-0.00, -0.00)",51,0.12623762376237624,48,3,0.058823529411764705,1.404756423959626,0.15801115661112292,0.018272423079079753,W3_9-11天_平均温度变化率_MEAN
"[-0.00, 0.00)",177,0.4381188118811881,137,40,0.22598870056497175,-0.13673082656596658,0.008523668403559333,0.0010646293635134668,W3_9-11天_平均温度变化率_MEAN
"[0.00, 0.00)",35,0.08663366336633663,27,8,0.22857142857142856,-0.15143697395566202,0.002076207565972946,0.00025927824020354493,W3_9-11天_平均温度变化率_MEAN
"[0.00, inf)",104,0.25742574257425743,79,25,0.2403846153846154,-0.21726027068133447,0.01293490173879176,0.0016136902370181509,W3_9-11天_平均温度变化率_MEAN
Special,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_平均温度变化率_MEAN
Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,W3_9-11天_平均温度变化率_MEAN
,404,1.0,322,82,0.20297029702970298,,0.18788517142579186,0.02199994894550293,W3_9-11天_平均温度变化率_MEAN
